
Average loss: 9.1648 | Effect accuracy: 0.5292 | Outcome accuracy: 0.0077 | Avg accuracy: 0.2684
Average loss: 1.5070 | Effect accuracy: 0.8476 | Outcome accuracy: 0.6071 | Avg accuracy: 0.7273
Average loss: 1.4893 | Effect accuracy: 0.8493 | Outcome accuracy: 0.6130 | Avg accuracy: 0.7312
Average loss: 1.4755 | Effect accuracy: 0.8494 | Outcome accuracy: 0.6160 | Avg accuracy: 0.7327
Average loss: 1.4614 | Effect accuracy: 0.8528 | Outcome accuracy: 0.6137 | Avg accuracy: 0.7333
Average loss: 1.4465 | Effect accuracy: 0.8537 | Outcome accuracy: 0.6137 | Avg accuracy: 0.7337
Average loss: 1.4306 | Effect accuracy: 0.8591 | Outcome accuracy: 0.6167 | Avg accuracy: 0.7379
Average loss: 1.4172 | Effect accuracy: 0.8560 | Outcome accuracy: 0.6200 | Avg accuracy: 0.7380
Average loss: 1.4051 | Effect accuracy: 0.8608 | Outcome accuracy: 0.6144 | Avg accuracy: 0.7376
Average loss: 1.3944 | Effect accuracy: 0.8609 | Outcome accuracy: 0.6180 | Avg accuracy: 0.7395
Average loss: 1.3819 | Effect accuracy: 0.8638 | Outcome accuracy: 0.6153 | Avg accuracy: 0.7395
Average loss: 1.3702 | Effect accuracy: 0.8655 | Outcome accuracy: 0.6204 | Avg accuracy: 0.7429
Average loss: 1.3577 | Effect accuracy: 0.8653 | Outcome accuracy: 0.6187 | Avg accuracy: 0.7420
Average loss: 1.3448 | Effect accuracy: 0.8704 | Outcome accuracy: 0.6238 | Avg accuracy: 0.7471
Average loss: 1.3370 | Effect accuracy: 0.8663 | Outcome accuracy: 0.6231 | Avg accuracy: 0.7447
Average loss: 1.3271 | Effect accuracy: 0.8699 | Outcome accuracy: 0.6261 | Avg accuracy: 0.7480
Average loss: 1.3216 | Effect accuracy: 0.8686 | Outcome accuracy: 0.6240 | Avg accuracy: 0.7463
Average loss: 1.3083 | Effect accuracy: 0.8721 | Outcome accuracy: 0.6318 | Avg accuracy: 0.7520
Average loss: 1.2999 | Effect accuracy: 0.8709 | Outcome accuracy: 0.6232 | Avg accuracy: 0.7471
Average loss: 1.2933 | Effect accuracy: 0.8686 | Outcome accuracy: 0.6234 | Avg accuracy: 0.7460
Average loss: 1.2861 | Effect accuracy: 0.8709 | Outcome accuracy: 0.6247 | Avg accuracy: 0.7478
Average loss: 1.2764 | Effect accuracy: 0.8713 | Outcome accuracy: 0.6320 | Avg accuracy: 0.7517
Average loss: 1.2712 | Effect accuracy: 0.8702 | Outcome accuracy: 0.6291 | Avg accuracy: 0.7496
Average loss: 1.2650 | Effect accuracy: 0.8727 | Outcome accuracy: 0.6318 | Avg accuracy: 0.7522
Average loss: 1.2533 | Effect accuracy: 0.8734 | Outcome accuracy: 0.6302 | Avg accuracy: 0.7518
Average loss: 1.2507 | Effect accuracy: 0.8744 | Outcome accuracy: 0.6284 | Avg accuracy: 0.7514
Average loss: 1.2432 | Effect accuracy: 0.8724 | Outcome accuracy: 0.6293 | Avg accuracy: 0.7509
Average loss: 1.2371 | Effect accuracy: 0.8727 | Outcome accuracy: 0.6309 | Avg accuracy: 0.7518
Average loss: 1.2331 | Effect accuracy: 0.8744 | Outcome accuracy: 0.6315 | Avg accuracy: 0.7529
Average loss: 1.2250 | Effect accuracy: 0.8736 | Outcome accuracy: 0.6313 | Avg accuracy: 0.7524
Average loss: 1.2222 | Effect accuracy: 0.8734 | Outcome accuracy: 0.6306 | Avg accuracy: 0.7520
Average loss: 1.2136 | Effect accuracy: 0.8757 | Outcome accuracy: 0.6330 | Avg accuracy: 0.7544
Average loss: 1.2113 | Effect accuracy: 0.8757 | Outcome accuracy: 0.6329 | Avg accuracy: 0.7543
Average loss: 1.2087 | Effect accuracy: 0.8768 | Outcome accuracy: 0.6272 | Avg accuracy: 0.7520
Average loss: 1.2037 | Effect accuracy: 0.8763 | Outcome accuracy: 0.6312 | Avg accuracy: 0.7537
Average loss: 1.2005 | Effect accuracy: 0.8754 | Outcome accuracy: 0.6325 | Avg accuracy: 0.7539
Average loss: 1.1942 | Effect accuracy: 0.8778 | Outcome accuracy: 0.6315 | Avg accuracy: 0.7546
Average loss: 1.1907 | Effect accuracy: 0.8784 | Outcome accuracy: 0.6328 | Avg accuracy: 0.7556
Average loss: 1.1859 | Effect accuracy: 0.8775 | Outcome accuracy: 0.6296 | Avg accuracy: 0.7536
Average loss: 1.1812 | Effect accuracy: 0.8751 | Outcome accuracy: 0.6306 | Avg accuracy: 0.7529
Average loss: 1.1764 | Effect accuracy: 0.8764 | Outcome accuracy: 0.6318 | Avg accuracy: 0.7541
Average loss: 1.1747 | Effect accuracy: 0.8767 | Outcome accuracy: 0.6347 | Avg accuracy: 0.7557
Average loss: 1.1710 | Effect accuracy: 0.8760 | Outcome accuracy: 0.6310 | Avg accuracy: 0.7535
Average loss: 1.1697 | Effect accuracy: 0.8778 | Outcome accuracy: 0.6315 | Avg accuracy: 0.7546
Average loss: 1.1633 | Effect accuracy: 0.8809 | Outcome accuracy: 0.6299 | Avg accuracy: 0.7554
Average loss: 1.1645 | Effect accuracy: 0.8787 | Outcome accuracy: 0.6326 | Avg accuracy: 0.7556
Average loss: 1.1584 | Effect accuracy: 0.8775 | Outcome accuracy: 0.6333 | Avg accuracy: 0.7554
Average loss: 1.1565 | Effect accuracy: 0.8768 | Outcome accuracy: 0.6333 | Avg accuracy: 0.7551
Average loss: 8.9191 | Effect accuracy: 0.5611 | Outcome accuracy: 0.0149 | Avg accuracy: 0.2880
Average loss: 7.6998 | Effect accuracy: 0.6044 | Outcome accuracy: 0.0438 | Avg accuracy: 0.3241
Average loss: 6.9301 | Effect accuracy: 0.6240 | Outcome accuracy: 0.0885 | Avg accuracy: 0.3563
Average loss: 6.2011 | Effect accuracy: 0.6398 | Outcome accuracy: 0.1252 | Avg accuracy: 0.3825
Average loss: 5.5039 | Effect accuracy: 0.6546 | Outcome accuracy: 0.1713 | Avg accuracy: 0.4129
Average loss: 4.8262 | Effect accuracy: 0.6665 | Outcome accuracy: 0.2191 | Avg accuracy: 0.4428
Average loss: 4.1946 | Effect accuracy: 0.6787 | Outcome accuracy: 0.2865 | Avg accuracy: 0.4826
Average loss: 3.6571 | Effect accuracy: 0.6948 | Outcome accuracy: 0.3603 | Avg accuracy: 0.5275
Average loss: 3.2385 | Effect accuracy: 0.7057 | Outcome accuracy: 0.4239 | Avg accuracy: 0.5648
Average loss: 2.9333 | Effect accuracy: 0.7189 | Outcome accuracy: 0.4673 | Avg accuracy: 0.5931
Average loss: 2.7194 | Effect accuracy: 0.7234 | Outcome accuracy: 0.4926 | Avg accuracy: 0.6080
Average loss: 2.5621 | Effect accuracy: 0.7358 | Outcome accuracy: 0.5130 | Avg accuracy: 0.6244
Average loss: 2.4410 | Effect accuracy: 0.7450 | Outcome accuracy: 0.5174 | Avg accuracy: 0.6312
Average loss: 2.3359 | Effect accuracy: 0.7528 | Outcome accuracy: 0.5302 | Avg accuracy: 0.6415
Average loss: 2.2459 | Effect accuracy: 0.7623 | Outcome accuracy: 0.5394 | Avg accuracy: 0.6508
Average loss: 2.1654 | Effect accuracy: 0.7677 | Outcome accuracy: 0.5490 | Avg accuracy: 0.6584
Average loss: 2.0913 | Effect accuracy: 0.7735 | Outcome accuracy: 0.5575 | Avg accuracy: 0.6655
Average loss: 2.0255 | Effect accuracy: 0.7798 | Outcome accuracy: 0.5631 | Avg accuracy: 0.6714
Average loss: 1.9633 | Effect accuracy: 0.7864 | Outcome accuracy: 0.5693 | Avg accuracy: 0.6779
Average loss: 1.9051 | Effect accuracy: 0.7925 | Outcome accuracy: 0.5730 | Avg accuracy: 0.6828
Average loss: 1.8515 | Effect accuracy: 0.8006 | Outcome accuracy: 0.5810 | Avg accuracy: 0.6908
Average loss: 1.8018 | Effect accuracy: 0.8033 | Outcome accuracy: 0.5819 | Avg accuracy: 0.6926
Average loss: 1.7525 | Effect accuracy: 0.8096 | Outcome accuracy: 0.5933 | Avg accuracy: 0.7014
Average loss: 1.7160 | Effect accuracy: 0.8141 | Outcome accuracy: 0.5942 | Avg accuracy: 0.7041
Average loss: 1.6735 | Effect accuracy: 0.8203 | Outcome accuracy: 0.5987 | Avg accuracy: 0.7095
Average loss: 1.6355 | Effect accuracy: 0.8267 | Outcome accuracy: 0.6055 | Avg accuracy: 0.7161
Average loss: 1.6030 | Effect accuracy: 0.8282 | Outcome accuracy: 0.6058 | Avg accuracy: 0.7170
Average loss: 1.5690 | Effect accuracy: 0.8358 | Outcome accuracy: 0.6076 | Avg accuracy: 0.7217
Average loss: 1.5417 | Effect accuracy: 0.8395 | Outcome accuracy: 0.6037 | Avg accuracy: 0.7216
Average loss: 1.5116 | Effect accuracy: 0.8419 | Outcome accuracy: 0.6122 | Avg accuracy: 0.7270
Average loss: 1.4868 | Effect accuracy: 0.8476 | Outcome accuracy: 0.6149 | Avg accuracy: 0.7312
Average loss: 1.4627 | Effect accuracy: 0.8466 | Outcome accuracy: 0.6127 | Avg accuracy: 0.7297
Average loss: 1.4370 | Effect accuracy: 0.8534 | Outcome accuracy: 0.6166 | Avg accuracy: 0.7350
Average loss: 1.4138 | Effect accuracy: 0.8541 | Outcome accuracy: 0.6184 | Avg accuracy: 0.7363
Average loss: 1.3941 | Effect accuracy: 0.8580 | Outcome accuracy: 0.6223 | Avg accuracy: 0.7401
Average loss: 1.3780 | Effect accuracy: 0.8626 | Outcome accuracy: 0.6231 | Avg accuracy: 0.7429
Average loss: 1.3613 | Effect accuracy: 0.8636 | Outcome accuracy: 0.6245 | Avg accuracy: 0.7441
Average loss: 1.3447 | Effect accuracy: 0.8614 | Outcome accuracy: 0.6238 | Avg accuracy: 0.7426
Average loss: 1.3321 | Effect accuracy: 0.8673 | Outcome accuracy: 0.6305 | Avg accuracy: 0.7489
Average loss: 1.3183 | Effect accuracy: 0.8655 | Outcome accuracy: 0.6274 | Avg accuracy: 0.7464
Average loss: 1.3025 | Effect accuracy: 0.8712 | Outcome accuracy: 0.6238 | Avg accuracy: 0.7475
Average loss: 1.2933 | Effect accuracy: 0.8689 | Outcome accuracy: 0.6266 | Avg accuracy: 0.7478
Average loss: 1.2791 | Effect accuracy: 0.8710 | Outcome accuracy: 0.6303 | Avg accuracy: 0.7507
Average loss: 1.2730 | Effect accuracy: 0.8676 | Outcome accuracy: 0.6254 | Avg accuracy: 0.7465
Average loss: 1.2616 | Effect accuracy: 0.8714 | Outcome accuracy: 0.6292 | Avg accuracy: 0.7503
Average loss: 1.2540 | Effect accuracy: 0.8736 | Outcome accuracy: 0.6335 | Avg accuracy: 0.7535
Average loss: 1.2431 | Effect accuracy: 0.8746 | Outcome accuracy: 0.6274 | Avg accuracy: 0.7510
Average loss: 1.2343 | Effect accuracy: 0.8731 | Outcome accuracy: 0.6286 | Avg accuracy: 0.7509
Average loss: 1.2303 | Effect accuracy: 0.8738 | Outcome accuracy: 0.6249 | Avg accuracy: 0.7494
Average loss: 1.2253 | Effect accuracy: 0.8721 | Outcome accuracy: 0.6218 | Avg accuracy: 0.7470
Average loss: 1.2148 | Effect accuracy: 0.8737 | Outcome accuracy: 0.6293 | Avg accuracy: 0.7515
Average loss: 1.2100 | Effect accuracy: 0.8777 | Outcome accuracy: 0.6244 | Avg accuracy: 0.7510
Average loss: 1.2103 | Effect accuracy: 0.8707 | Outcome accuracy: 0.6221 | Avg accuracy: 0.7464
Average loss: 1.2000 | Effect accuracy: 0.8737 | Outcome accuracy: 0.6305 | Avg accuracy: 0.7521
Average loss: 1.1990 | Effect accuracy: 0.8751 | Outcome accuracy: 0.6278 | Avg accuracy: 0.7515
Average loss: 1.1896 | Effect accuracy: 0.8775 | Outcome accuracy: 0.6308 | Avg accuracy: 0.7542
Average loss: 1.1893 | Effect accuracy: 0.8719 | Outcome accuracy: 0.6285 | Avg accuracy: 0.7502
Average loss: 1.1836 | Effect accuracy: 0.8740 | Outcome accuracy: 0.6276 | Avg accuracy: 0.7508
Average loss: 1.1801 | Effect accuracy: 0.8723 | Outcome accuracy: 0.6255 | Avg accuracy: 0.7489
Average loss: 1.1737 | Effect accuracy: 0.8731 | Outcome accuracy: 0.6257 | Avg accuracy: 0.7494
Average loss: 1.1686 | Effect accuracy: 0.8770 | Outcome accuracy: 0.6275 | Avg accuracy: 0.7522
Average loss: 1.1699 | Effect accuracy: 0.8740 | Outcome accuracy: 0.6248 | Avg accuracy: 0.7494
Average loss: 1.1658 | Effect accuracy: 0.8746 | Outcome accuracy: 0.6271 | Avg accuracy: 0.7508
Average loss: 1.1639 | Effect accuracy: 0.8743 | Outcome accuracy: 0.6234 | Avg accuracy: 0.7488
Average loss: 1.1586 | Effect accuracy: 0.8746 | Outcome accuracy: 0.6272 | Avg accuracy: 0.7509
Average loss: 1.1572 | Effect accuracy: 0.8733 | Outcome accuracy: 0.6275 | Avg accuracy: 0.7504
Average loss: 1.1546 | Effect accuracy: 0.8771 | Outcome accuracy: 0.6268 | Avg accuracy: 0.7520
Average loss: 1.1483 | Effect accuracy: 0.8785 | Outcome accuracy: 0.6282 | Avg accuracy: 0.7534
Average loss: 1.1527 | Effect accuracy: 0.8743 | Outcome accuracy: 0.6295 | Avg accuracy: 0.7519
Average loss: 1.1416 | Effect accuracy: 0.8767 | Outcome accuracy: 0.6298 | Avg accuracy: 0.7532
Average loss: 1.1412 | Effect accuracy: 0.8764 | Outcome accuracy: 0.6286 | Avg accuracy: 0.7525
Average loss: 1.1390 | Effect accuracy: 0.8782 | Outcome accuracy: 0.6275 | Avg accuracy: 0.7529
Average loss: 1.1399 | Effect accuracy: 0.8716 | Outcome accuracy: 0.6261 | Avg accuracy: 0.7488
Average loss: 1.1393 | Effect accuracy: 0.8712 | Outcome accuracy: 0.6266 | Avg accuracy: 0.7489
Average loss: 1.1323 | Effect accuracy: 0.8755 | Outcome accuracy: 0.6264 | Avg accuracy: 0.7510
Average loss: 1.1370 | Effect accuracy: 0.8767 | Outcome accuracy: 0.6266 | Avg accuracy: 0.7517
Average loss: 1.1347 | Effect accuracy: 0.8768 | Outcome accuracy: 0.6291 | Avg accuracy: 0.7529
Average loss: 1.1309 | Effect accuracy: 0.8706 | Outcome accuracy: 0.6326 | Avg accuracy: 0.7516
Average loss: 1.1285 | Effect accuracy: 0.8755 | Outcome accuracy: 0.6259 | Avg accuracy: 0.7507
Average loss: 1.1302 | Effect accuracy: 0.8738 | Outcome accuracy: 0.6254 | Avg accuracy: 0.7496
Average loss: 1.1227 | Effect accuracy: 0.8746 | Outcome accuracy: 0.6328 | Avg accuracy: 0.7537
Average loss: 1.1236 | Effect accuracy: 0.8726 | Outcome accuracy: 0.6313 | Avg accuracy: 0.7520
Average loss: 1.1205 | Effect accuracy: 0.8738 | Outcome accuracy: 0.6325 | Avg accuracy: 0.7532
Average loss: 1.1203 | Effect accuracy: 0.8712 | Outcome accuracy: 0.6255 | Avg accuracy: 0.7483
Average loss: 1.1179 | Effect accuracy: 0.8736 | Outcome accuracy: 0.6249 | Avg accuracy: 0.7493
Average loss: 1.1164 | Effect accuracy: 0.8775 | Outcome accuracy: 0.6292 | Avg accuracy: 0.7534
Average loss: 1.1136 | Effect accuracy: 0.8734 | Outcome accuracy: 0.6244 | Avg accuracy: 0.7489
Average loss: 1.1144 | Effect accuracy: 0.8724 | Outcome accuracy: 0.6249 | Avg accuracy: 0.7487
Average loss: 1.1088 | Effect accuracy: 0.8767 | Outcome accuracy: 0.6286 | Avg accuracy: 0.7527
Average loss: 1.1112 | Effect accuracy: 0.8741 | Outcome accuracy: 0.6293 | Avg accuracy: 0.7517
Average loss: 1.1088 | Effect accuracy: 0.8763 | Outcome accuracy: 0.6293 | Avg accuracy: 0.7528
Average loss: 1.1087 | Effect accuracy: 0.8755 | Outcome accuracy: 0.6268 | Avg accuracy: 0.7512
Average loss: 1.1066 | Effect accuracy: 0.8764 | Outcome accuracy: 0.6320 | Avg accuracy: 0.7542
Average loss: 1.1046 | Effect accuracy: 0.8746 | Outcome accuracy: 0.6306 | Avg accuracy: 0.7526
Average loss: 1.1057 | Effect accuracy: 0.8727 | Outcome accuracy: 0.6325 | Avg accuracy: 0.7526
Average loss: 1.1023 | Effect accuracy: 0.8750 | Outcome accuracy: 0.6318 | Avg accuracy: 0.7534
Average loss: 1.1031 | Effect accuracy: 0.8729 | Outcome accuracy: 0.6272 | Avg accuracy: 0.7500
Average loss: 1.1025 | Effect accuracy: 0.8743 | Outcome accuracy: 0.6252 | Avg accuracy: 0.7498
Average loss: 1.0996 | Effect accuracy: 0.8741 | Outcome accuracy: 0.6282 | Avg accuracy: 0.7512
Average loss: 1.0997 | Effect accuracy: 0.8744 | Outcome accuracy: 0.6281 | Avg accuracy: 0.7512
Average loss: 8.3446 | Effect accuracy: 0.5861 | Outcome accuracy: 0.0210 | Avg accuracy: 0.3036
Average loss: 7.0122 | Effect accuracy: 0.6394 | Outcome accuracy: 0.0540 | Avg accuracy: 0.3467
Average loss: 6.2795 | Effect accuracy: 0.6615 | Outcome accuracy: 0.1037 | Avg accuracy: 0.3826
Average loss: 5.6094 | Effect accuracy: 0.6750 | Outcome accuracy: 0.1470 | Avg accuracy: 0.4110
Average loss: 4.9951 | Effect accuracy: 0.6913 | Outcome accuracy: 0.1940 | Avg accuracy: 0.4427
Average loss: 4.4510 | Effect accuracy: 0.7008 | Outcome accuracy: 0.2473 | Avg accuracy: 0.4740
Average loss: 3.9911 | Effect accuracy: 0.7174 | Outcome accuracy: 0.3018 | Avg accuracy: 0.5096
Average loss: 3.6255 | Effect accuracy: 0.7321 | Outcome accuracy: 0.3455 | Avg accuracy: 0.5388
Average loss: 3.3546 | Effect accuracy: 0.7403 | Outcome accuracy: 0.3873 | Avg accuracy: 0.5638
Average loss: 3.1365 | Effect accuracy: 0.7546 | Outcome accuracy: 0.4221 | Avg accuracy: 0.5883
Average loss: 2.9541 | Effect accuracy: 0.7601 | Outcome accuracy: 0.4386 | Avg accuracy: 0.5993
Average loss: 2.8021 | Effect accuracy: 0.7718 | Outcome accuracy: 0.4618 | Avg accuracy: 0.6168
Average loss: 2.6693 | Effect accuracy: 0.7827 | Outcome accuracy: 0.4819 | Avg accuracy: 0.6323
Average loss: 2.5433 | Effect accuracy: 0.7871 | Outcome accuracy: 0.5007 | Avg accuracy: 0.6439
Average loss: 2.4302 | Effect accuracy: 0.7957 | Outcome accuracy: 0.5143 | Avg accuracy: 0.6550
Average loss: 2.3348 | Effect accuracy: 0.8008 | Outcome accuracy: 0.5267 | Avg accuracy: 0.6638
Average loss: 2.2397 | Effect accuracy: 0.8076 | Outcome accuracy: 0.5386 | Avg accuracy: 0.6731
Average loss: 2.1544 | Effect accuracy: 0.8155 | Outcome accuracy: 0.5541 | Avg accuracy: 0.6848
Average loss: 2.0724 | Effect accuracy: 0.8197 | Outcome accuracy: 0.5614 | Avg accuracy: 0.6906
Average loss: 1.9961 | Effect accuracy: 0.8290 | Outcome accuracy: 0.5733 | Avg accuracy: 0.7012
Average loss: 1.9285 | Effect accuracy: 0.8332 | Outcome accuracy: 0.5827 | Avg accuracy: 0.7079
Average loss: 1.8617 | Effect accuracy: 0.8365 | Outcome accuracy: 0.5978 | Avg accuracy: 0.7172
Average loss: 1.8037 | Effect accuracy: 0.8451 | Outcome accuracy: 0.5997 | Avg accuracy: 0.7224
Average loss: 1.7452 | Effect accuracy: 0.8478 | Outcome accuracy: 0.6061 | Avg accuracy: 0.7270
Average loss: 1.6967 | Effect accuracy: 0.8548 | Outcome accuracy: 0.6149 | Avg accuracy: 0.7348
Average loss: 1.6451 | Effect accuracy: 0.8563 | Outcome accuracy: 0.6227 | Avg accuracy: 0.7395
Average loss: 1.5923 | Effect accuracy: 0.8619 | Outcome accuracy: 0.6324 | Avg accuracy: 0.7472
Average loss: 1.5539 | Effect accuracy: 0.8636 | Outcome accuracy: 0.6425 | Avg accuracy: 0.7530
Average loss: 1.5124 | Effect accuracy: 0.8649 | Outcome accuracy: 0.6437 | Avg accuracy: 0.7543
Average loss: 1.4749 | Effect accuracy: 0.8707 | Outcome accuracy: 0.6459 | Avg accuracy: 0.7583
Average loss: 1.4372 | Effect accuracy: 0.8734 | Outcome accuracy: 0.6448 | Avg accuracy: 0.7591
Average loss: 1.4029 | Effect accuracy: 0.8793 | Outcome accuracy: 0.6554 | Avg accuracy: 0.7674
Average loss: 1.3683 | Effect accuracy: 0.8786 | Outcome accuracy: 0.6578 | Avg accuracy: 0.7682
Average loss: 1.3428 | Effect accuracy: 0.8797 | Outcome accuracy: 0.6626 | Avg accuracy: 0.7711
Average loss: 1.3132 | Effect accuracy: 0.8850 | Outcome accuracy: 0.6688 | Avg accuracy: 0.7769
Average loss: 1.2795 | Effect accuracy: 0.8879 | Outcome accuracy: 0.6706 | Avg accuracy: 0.7793
Average loss: 1.2648 | Effect accuracy: 0.8868 | Outcome accuracy: 0.6719 | Avg accuracy: 0.7794
Average loss: 1.2417 | Effect accuracy: 0.8884 | Outcome accuracy: 0.6704 | Avg accuracy: 0.7794
Average loss: 1.2207 | Effect accuracy: 0.8917 | Outcome accuracy: 0.6736 | Avg accuracy: 0.7826
Average loss: 1.1987 | Effect accuracy: 0.8937 | Outcome accuracy: 0.6798 | Avg accuracy: 0.7868
Average loss: 1.1842 | Effect accuracy: 0.8921 | Outcome accuracy: 0.6843 | Avg accuracy: 0.7882
Average loss: 1.1593 | Effect accuracy: 0.8985 | Outcome accuracy: 0.6807 | Avg accuracy: 0.7896
Average loss: 1.1464 | Effect accuracy: 0.8952 | Outcome accuracy: 0.6842 | Avg accuracy: 0.7897
Average loss: 1.1354 | Effect accuracy: 0.8954 | Outcome accuracy: 0.6847 | Avg accuracy: 0.7901
