PharmGKB Accession Id;Drug;ATC Identifiers;Type;Clin_Var_Pathway
PA164712306;ACE INHIBITORS AND DIURETICS;C09BA;Drug Class;0:0:0
PA164712307;ACE INHIBITORS, COMBINATIONS;C09B;Drug Class;0:0:0
PA166049184;ACEMETACIN;;Drug;0:0:0
PA452632;ACENOCOUMAROL;B01AA07;Drug;17:231:1
PA164783999;ACEPROMAZINE;N05AA04;Drug;0:0:0
PA164743727;ACEPROMETAZINE;;Drug;0:0:0
PA166246281;ACETAMINOPHEN / CAFFEINE / DIHYDROCODEINE;N02AJ01;Drug;0:0:0
PA166184061;ACETAMINOPHEN / CODEINE;;Drug;0:0:0
PA165290927;ACETAMINOPHEN / PROPOXYPHENE NAPSYLATE;N02AC54;Drug;0:0:0
PA166184496;ACETAMINOPHEN / TRAMADOL;;Drug;0:6:0
PA448016;ACETANILIDE;;Drug;0:0:0
PA448021;ACETIC ACID;G01AD02, S02AA10;Drug;0:0:1
PA164712309;ACETIC ACID DERIVATIVES AND RELATED SUBSTANCES;M01AB;Drug Class;11:60:0
PA164777011;ACETOHEXAMIDE;A10BB31;Drug;0:0:0
PA164749213;ACETOHYDROXAMIC ACID;G04BX03;Drug;0:0:0
PA164781360;ACETOPHENAZINE;N05AB07;Drug;0:0:0
PA164746246;ACETYLDIGITOXIN;C01AA01;Drug;0:0:0
PA164712311;ACIDIFIERS;G04BA;Drug Class;0:0:0
PA164712310;ACID PREPARATIONS;A09AB;Drug Class;0:0:0
PA448039;ACITRETIN;D05BB02;Drug;0:2:0
PA166360341;ACORAMIDIS;;Drug;0:0:0
PA164712312;ACRIDINE DERIVATIVES;D08AA;Drug Class;0:0:0
PA166345481;ACT-1004-1239;;Drug;0:0:0
PA164712313;ACTH;H01AA;Drug Class;0:0:0
PA164712314;ACTINOMYCINES;L01DA;Drug Class;0:12:0
PA448045;ACYCLOVIR;D06BB03, J05AB01, S01AD03;Drug;0:2:1
PA164712315;ADAMANTANE DERIVATIVES;N04BB;Drug Class;1:2:0
PA448047;ADAPALENE;D10AD03;Drug;0:0:0
PA166306541;ADAVOSERTIB;;Drug;0:0:0
PA448048;ADENINE;;Drug;0:0:1
PA448049;ADENOSINE;C01EB10;Drug, Biological Intermediate;0:1:2
PA166178281;ADENOSINE DIPHOSPHATE;;Drug, Biological Intermediate;0:0:3
PA164744376;ADENOSINE MONOPHOSPHATE;;Drug, Biological Intermediate;0:0:2
PA164743471;ADENOSINE TRIPHOSPHATE;;Drug, Biological Intermediate;0:0:2
PA164783813;ADINAZOLAM;N05BA07;Drug;0:0:0
PA164712316;ADRENERGIC AND DOPAMINERGIC AGENTS;C01CA;Drug Class;5:20:0
PA164712318;ADRENERGICS AND OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES;R03AK, R03CK;Drug Class;0:0:0
PA164712317;ADRENERGICS FOR SYSTEMIC USE;R03C;Drug Class;23:74:0
PA165981139;AFATINIB DIMALEATE;;Drug;0:0:0
PA452609;AFLATOXIN B1;;Drug;0:0:1
PA166118342;AFLIBERCEPT;L01XX44;Drug;0:0:1
PA164746527;AGALSIDASE BETA;A16AB04;Drug;0:0:0
PA164712320;AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM;C09;Drug Class;122:343:0
PA164712321;AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES;P01A;Drug Class;1:3:0
PA164712322;AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS;P01C;Drug Class;0:0:0
PA164712323;AGENTS FOR TREATMENT OF HEMORRHOIDS AND;C05A;Drug Class;22:94:0
PA164776839;AJMALINE;C01BA05;Drug;0:0:0
PA164746058;ALBENDAZOLE;P02CA03;Drug;0:0:0
PA166285061;ALBIGLUTIDE;A10BJ04;Drug;0:6:0
PA166411921;ALBUVIRTIDE;J05AX33;Drug;0:0:0
PA165958399;ALCAFTADINE;S01GX11;Drug;0:0:0
PA164747650;ALCLOMETASONE;D07AB10, S01BA10;Drug;0:0:0
PA164712324;ALDEHYDES AND DERIVATIVES;N05CC;Drug Class;0:0:0
PA448081;ALDESLEUKIN;L03AC01;Drug;0:0:0
PA164712325;ALDOSE REDUCTASE INHIBITORS;A10XA;Drug Class;0:0:0
PA164712326;ALDOSTERONE ANTAGONISTS;C03DA;Drug Class;8:16:0
PA164748040;ALEFACEPT;L04AA15;Drug;0:0:0
PA164746469;ALFACALCIDOL;A11CC03;Drug;0:0:0
PA164774795;ALFUZOSIN;G04CA01;Drug;0:0:0
PA164748093;ALGLUCERASE;A16AB01;Drug;0:0:0
PA164712327;ALIMENTARY TRACT AND METABOLISM;A;Drug Class;270:1581:0
PA166159961;ALIROCUMAB;C10AX14;Drug;0:0:1
PA166165015;ALISERTIB;;Drug;0:0:0
PA143487910;ALISKIREN;C09XA02;Drug;0:0:1
PA164746900;ALITRETINOIN;D11AH04, L01XX22;Drug;0:0:0
PA164744894;ALIZAPRIDE;A03FA05;Drug;0:0:0
PA164712328;ALKALOIDS, EXCL. RAUWOLFIA;C02KA;Drug Class;0:0:0
PA164712329;ALKALOIDS, EXCL. RAUWOLFIA, IN COMBINATION WITH DIURETICS;C02LK;Drug Class;0:0:0
PA164712330;ALKYL SULFONATES;L01AB;Drug Class;5:19:0
PA164712336;ALLERGEN EXTRACTS;V01AA;Drug Class;0:0:0
PA164712337;ALLERGENS;V01, V01A;Drug Class;0:0:0
PA142320763;ALLOPREGNANOLONE;N06AX29;Drug;0:0:0
PA448320;ALLOPURINOL;M04AA01;Drug;43:208:2
PA164712332;ALL OTHER NON-THERAPEUTIC PRODUCTS;V07, V07A;Drug Class;0:0:0
PA164712334;ALL OTHER THERAPEUTIC PRODUCTS;V03, V03A;Drug Class;120:399:0
PA164745307;ALLYLESTRENOL;G03DC01;Drug;0:0:0
PA164750492;ALMITRINE;R07AB07;Drug;0:0:0
PA133888888;ALMOKALANT;;Drug;0:0:0
PA10246;ALMOTRIPTAN;N02CC05;Drug;0:7:1
PA448322;ALOE;;Drug;0:0:0
PA166368301;ALOGLIPTIN;A10BH04;Drug;0:0:0
PA164745502;ALOSETRON;A03AE01;Drug;0:0:0
PA452626;ALOX5-PATHWAY MODIFIERS;;Drug Class;0:0:0
PA10308;ALPHA-1-PROTEINASE INHIBITOR;;Drug;0:0:0
PA164712344;ALPHA-ADRENORECEPTOR ANTAGONISTS;C02CA, G04CA;Drug Class;0:17:1
PA164712346;ALPHA-ADRENORECEPTOR ANTAGONISTS AND DIURETICS;C02LE;Drug Class;0:0:0
PA164712343;ALPHA- AND BETA-ADRENORECEPTOR AGONISTS;R03CA;Drug Class;1:5:0
PA164712339;ALPHA AND BETA BLOCKING AGENTS;C07AG;Drug Class;7:63:0
PA164712340;ALPHA AND BETA BLOCKING AGENTS AND OTHER DIURETICS;C07CG;Drug Class;0:0:0
PA164712341;ALPHA AND BETA BLOCKING AGENTS AND THIAZIDES;C07BG;Drug Class;0:0:0
PA164712342;ALPHA GLUCOSIDASE INHIBITORS;A10BF;Drug Class;0:0:0
PA449384;ALPHA-LINOLENIC ACID;;Drug;0:0:0
PA147358765;ALPHA-METHYL-PARA-TYROSINE;;Drug;0:0:0
PA164750541;ALPRENOLOL;C07AA01;Drug;0:0:0
PA448334;ALPROSTADIL;C01EA01, G04BE01;Drug;0:0:0
PA164746411;ALSEROXYLON;;Drug;0:0:0
PA164776730;ALTEPLASE;B01AD02, S01XA13;Drug;0:0:0
PA164743136;ALTRETAMINE;L01XX03;Drug;0:0:0
PA164760864;ALUMINIUM;;Drug;0:0:0
PA164712347;ALUMINIUM AGENTS;D08AB;Drug Class;0:0:0
PA164712348;ALUMINIUM COMPOUNDS;A02AB;Drug Class;0:0:0
PA448348;ALUMINUM CHLORIDE;;Drug;0:0:0
PA165958393;ALUMINUM HYDROXIDE;;Drug;0:0:0
PA166234821;ALUMINUM HYDROXIDE, MAGNESIUM HYDROXIDE, DRUG COMBINATION;;Drug;0:0:0
PA164764505;ALVERINE;A03AX08;Drug;0:0:0
PA165291491;ALVESPIMYCIN;;Drug;0:0:0
PA164754864;ALVIMOPAN;A06AH02;Drug;0:0:0
PA164764601;AMBENONIUM;N07AA30;Drug;0:0:0
PA165860521;AMBRISENTAN;;Drug;0:7:0
PA164746074;AMCINONIDE;D07AC11;Drug;0:0:0
PA164754807;AMDINOCILLIN;J01CA11;Drug;0:0:0
PA166049186;AMFENAC;;Drug;0:0:0
PA164712349;AMIDES;N01BB;Drug Class;0:3:0
PA166185150;AMIFAMPRIDINE;N07XX05;Drug;0:0:0
PA166182002;AMIFAMPRIDINE PHOSPHATE;;Drug;0:0:0
PA448365;AMIFOSTINE;V03AF05;Drug;0:0:0
PA164744372;AMIKACIN;D06AX12, J01GB06, S01AA21;Drug;1:6:1
PA448372;AMINO ACIDS;;Drug, Biological Intermediate;0:0:0
PA164712351;AMINO ACIDS AND DERIVATIVES;A16AA;Drug Class;1:1:0
PA164712353;AMINO ACIDS/CARBOHYDRATES/MINERALS/VITAMINS, COMBINATIONS;V06DE;Drug Class;0:0:0
PA164712352;AMINO ACIDS, INCL. COMBINATIONS WITH POLYPEPTIDES;V06DD;Drug Class;0:0:0
PA164712354;AMINOALKYL ETHERS;R06AA;Drug Class;0:7:0
PA10247;AMINOBENZOIC ACID;;Drug;0:0:0
PA164774947;AMINOCAPROIC ACID;B02AA01;Drug;0:0:0
PA448375;AMINOGLUTETHIMIDE;L02BG01;Drug;0:0:0
PA452167;AMINOGLYCOSIDE ANTIBACTERIALS;J01G;Drug Class;27:190:0
PA134711723;AMINOHIPPURATE;V04CH30;Drug;0:1:0
PA10015;AMINOLEVULINIC ACID;L01XD04;Drug;0:0:0
PA164748135;AMINOPHENAZONE;N02BB03;Drug;0:0:0
PA164781029;AMINOPHYLLINE;R03DA05;Drug;0:0:0
PA165109541;AMINOPTERIN;;Drug;0:0:0
PA164712355;AMINOQUINOLINES;P01BA;Drug Class;7:61:0
PA448382;AMINOSALICYLIC ACID;J04AA01;Drug;0:1:0
PA164712356;AMINOSALICYLIC ACID AND DERIVATIVES;J04AA;Drug Class;0:1:0
PA164712357;AMINOSALICYLIC ACID AND SIMILAR AGENTS;A07EC;Drug Class;8:27:0
PA448385;AMITRIPTYLINE;N06AA09, N06CA01;Drug;15:75:1
PA164745310;AMLEXANOX;A01AD07, R03DX01;Drug;0:0:0
PA166183785;AMLODIPINE / ATORVASTATIN / PERINDOPRIL ARGININE;C10BX11;Drug;0:0:0
PA166131585;AMMONIA;;Drug, Metabolite;0:0:1
PA448392;AMMONIUM CHLORIDE;B05XA04, G04BA01;Drug;0:0:0
PA165958400;AMMONIUM LACTATE;;Drug;0:0:0
PA448401;AMOBARBITAL;N05CA02;Drug;0:0:0
PA448405;AMOXAPINE;N06AA17;Drug;0:0:0
PA164712358;AMPHENICOLS;J01B, J01BA;Drug Class;1:7:0
PA448415;AMPHOTERICIN B;A01AB04, A07AA07, G01AA03, J02AA01;Drug;0:0:0
PA448419;AMPICILLIN;J01CA01, S01AA19;Drug;0:1:0
PA164746803;AMRINONE;C01CE01;Drug;0:0:0
PA10309;AMSACRINE;L01XX01;Drug;0:0:0
PA166220604;AMUVATINIB;;Drug;0:0:0
PA164750570;AMYL NITRITE;V03AB22;Drug;0:0:0
PA164712360;ANABOLIC AGENTS FOR SYSTEMIC USE;A14;Drug Class;0:0:0
PA164712361;ANABOLIC STEROIDS;A14A;Drug Class;0:0:0
PA165960688;ANACETRAPIB;;Drug;0:0:0
PA164742986;ANAGRELIDE;L01XX35;Drug;0:0:0
PA10799;ANAKINRA;L04AC03;Drug;0:7:0
PA164712363;ANALGESICS AND ANESTHETICS;S02DA;Drug Class;24:81:0
PA166305821;ANAPLASTIC LYMPHOMA KINASE (ALK) INHIBITORS;L01ED;Drug Class;0:5:0
PA166335701;ANAPRAZOLE;;Drug;0:0:0
PA164712364;ANDROGEN, PROGESTOGEN AND ESTROGEN IN COMBINATION;G03EB;Drug Class;0:0:0
PA10381;ANDROGENS AND ESTROGENS;G03EA;Drug Class;0:0:0
PA164712365;ANDROGENS AND FEMALE SEX HORMONES IN COMBINATION;G03E;Drug Class;0:0:0
PA164712366;ANDROGENS AND FEMALE SEX HORMONES IN COMBINATION WITH OTHER DRUGS;G03EK;Drug Class;0:0:0
PA10733;ANDROGENS FOR TOPICAL USE;D11AE, G03B;Drug Class;1:8:0
PA164712367;ANDROSTAN DERIVATIVES;A14AA;Drug Class;0:0:0
PA164712368;ANGIOTENSIN II ANTAGONISTS AND CALCIUM CHANNEL BLOCKERS;C09DB;Drug Class;0:0:0
PA164712369;ANGIOTENSIN II ANTAGONISTS AND DIURETICS;C09DA;Drug Class;0:0:0
PA164712371;ANGIOTENSIN II ANTAGONISTS, COMBINATIONS;C09D;Drug Class;50:120:0
PA164742938;ANIDULAFUNGIN;J02AX06;Drug;0:0:0
PA166277641;ANIFROLUMAB;L04AA51;Drug;0:0:0
PA164768817;ANILERIDINE;N01AH05;Drug;0:0:0
PA164712373;ANILIDES;N02BE;Drug Class;34:73:0
PA164746467;ANISINDIONE;;Drug;0:0:0
PA164754880;ANISOTROPINE METHYLBROMIDE;;Drug;0:0:0
PA164769075;ANISTREPLASE;B01AD03;Drug;0:0:0
PA166307361;ANLOTINIB;;Drug;0:4:0
PA452298;ANTACIDS;A02A;Drug Class;0:0:0
PA164712377;ANTACIDS, OTHER COMBINATIONS;A02AX;Drug Class;0:0:0
PA164712374;ANTACIDS WITH ANTIFLATULENTS;A02AF;Drug Class;0:0:0
PA164712375;ANTACIDS WITH ANTISPASMODICS;A02AG;Drug Class;0:0:0
PA164712376;ANTACIDS WITH SODIUM BICARBONATE;A02AH;Drug Class;0:0:0
PA165958418;ANTAZOLINE;R01AC04, R06AX05;Drug;0:0:0
PA164712378;ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES;H01A;Drug Class;4:4:0
PA164712379;ANTHELMINTICS;P02;Drug Class;0:2:0
PA164712380;ANTHRAX VACCINES;J07AC;Drug Class;0:0:0
PA164712381;ANTI-ACNE PREPARATIONS;D10;Drug Class;28:91:0
PA164712382;ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE;D10B;Drug Class;0:0:0
PA164712383;ANTI-ACNE PREPARATIONS FOR TOPICAL USE;D10A;Drug Class;28:91:0
PA164712390;ANTIADRENAL PREPARATIONS;H02C;Drug Class;0:0:0
PA164712391;ANTIADRENERGIC AGENTS, CENTRALLY ACTING;C02A;Drug Class;2:6:0
PA164712392;ANTIADRENERGIC AGENTS, GANGLION-BLOCKING;C02B;Drug Class;0:0:0
PA164712393;ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING;C02C;Drug Class;6:52:0
PA164712394;ANTIALLERGIC AGENTS, EXCL. CORTICOSTEROIDS;A07EB, R01AC, R03BC;Drug Class;1:1:0
PA164712384;ANTI-ANDROGENS;L02BB;Drug Class;0:0:0
PA164712397;ANTIANDROGENS;G03H;Drug Class;0:2:0
PA164712398;ANTIANDROGENS AND ESTROGENS;G03HB;Drug Class;0:0:0
PA164712399;ANTIANDROGENS, PLAIN;G03HA;Drug Class;0:0:0
PA164712400;ANTIANEMIC PREPARATIONS;B03;Drug Class;7:24:0
PA164712402;ANTIARRHYTHMICS, CLASS IA;C01BA;Drug Class;3:11:0
PA452249;ANTIARRHYTHMICS, CLASS I AND III;C01B;Drug Class;18:76:0
PA164712403;ANTIARRHYTHMICS, CLASS IB;C01BB;Drug Class;5:9:0
PA164712404;ANTIARRHYTHMICS, CLASS IC;C01BC;Drug Class;6:25:0
PA164712401;ANTIARRHYTHMICS, CLASS III;C01BD;Drug Class;4:17:0
PA164712405;ANTIBACTERIALS FOR SYSTEMIC USE;J01;Drug Class;59:436:0
PA164712415;ANTIBIOTICS AND CHEMOTHERAPEUTICS, COMBINATIONS;D06C;Drug Class;0:0:0
PA164712414;ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE;D06;Drug Class;9:67:0
PA164712417;ANTIBIOTICS AND CORTICOSTEROIDS;G01BA;Drug Class;0:0:0
PA164712416;ANTIBIOTICS FOR TOPICAL USE;D06A;Drug Class;7:59:0
PA164712418;ANTICESTODALS;P02D;Drug Class;0:0:0
PA164712419;ANTICHOLINERGIC AGENTS;N04A;Drug Class;0:3:0
PA164712423;ANTICHOLINESTERASES;N06DA, N07AA;Drug Class;14:137:0
PA164712424;ANTICORTICOSTEROIDS;H02CA;Drug Class;0:0:0
PA164712385;ANTI-DEMENTIA DRUGS;N06D;Drug Class;15:137:0
PA164712425;ANTIDEPRESSANTS IN COMBINATION WITH PSYCHOLEPTICS;N06CA;Drug Class;15:71:0
PA164712426;ANTIDIARRHEAL MICROORGANISMS;A07F, A07FA;Drug Class;0:0:0
PA164712428;ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE;A07;Drug Class;42:268:0
PA164712429;ANTIDOTES;V03AB;Drug Class;99:331:0
PA164712431;ANTIEMETICS AND ANTINAUSEANTS;A04, A04A;Drug Class;17:83:0
PA143485705;ANTIEPILEPTICS;N03, N03A;Drug Class;197:1388:0
PA164712386;ANTI-ESTROGENS;L02BA;Drug Class;21:262:0
PA164712433;ANTIFIBRINOLYTICS;B02A;Drug Class;0:0:0
PA164712434;ANTIFUNGALS FOR DERMATOLOGICAL USE;D01;Drug Class;0:31:0
PA164712435;ANTIFUNGALS FOR SYSTEMIC USE;D01B, D01BA;Drug Class;0:4:0
PA164712436;ANTIFUNGALS FOR TOPICAL USE;D01A;Drug Class;0:31:0
PA10393;ANTIGLAUCOMA PREPARATIONS AND MIOTICS;S01E;Drug Class;13:37:0
PA164712387;ANTI-GONADOTROPIN-RELEASING HORMONES;H01CC;Drug Class;0:0:0
PA164712438;ANTIGONADOTROPINS AND SIMILAR AGENTS;G03XA;Drug Class;0:0:0
PA164712440;ANTIGOUT PREPARATIONS;M04, M04A;Drug Class;48:217:0
PA164712441;ANTIGROWTH HORMONES;H01CB;Drug Class;0:0:0
PA164750168;ANTIHEMOPHILIC FACTOR;;Drug;0:0:0
PA164712442;ANTIHEMORRHAGICS;B02;Drug Class;0:1:0
PA164712443;ANTIHIDROTICS;D11AA;Drug Class;0:0:0
PA164712444;ANTIHISTAMINES FOR SYSTEMIC USE;D04AA, R06, R06A;Drug Class;4:25:0
PA164712447;ANTIINFECTIVES;B05CA, S01A, S02A, S02AA, S03A, S03AA;Drug Class;20:110:0
PA164712453;ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS;G01A;Drug Class;54:147:0
PA164712455;ANTIINFECTIVES AND ANTISEPTICS FOR LOCAL ORAL TREATMENT;A01AB;Drug Class;3:9:0
PA164712457;ANTIINFECTIVES/ANTISEPTICS IN COMBINATION WITH CORTICOSTEROIDS;G01B;Drug Class;0:0:0
PA164712454;ANTIINFECTIVES FOR SYSTEMIC USE;J;Drug Class;373:2753:0
PA164712456;ANTIINFECTIVES FOR TREATMENT OF ACNE;D10AF;Drug Class;5:14:0
PA164712458;ANTIINFLAMMATORY AGENTS;S01B, V10A;Drug Class;36:177:0
PA164712460;ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION;S01C;Drug Class;18:74:0
PA164712463;ANTIINFLAMMATORY AGENTS, NON-STEROIDS AND ANTIINFECTIVES IN COMBINATION;S01CC;Drug Class;0:0:0
PA164712461;ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS;M01;Drug Class;36:204:0
PA10384;ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS;M01A;Drug Class;41:232:1
PA164712466;ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMBINATION;M01B;Drug Class;0:0:0
PA164712467;ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMBINATION WITH CORTICOSTEROIDS;M01BA;Drug Class;0:0:0
PA164712464;ANTIINFLAMMATORY PREPARATIONS, NON-STEROIDS FOR TOPICAL USE;M02AA;Drug Class;22:136:0
PA164712465;ANTIINFLAMMATORY PRODUCTS FOR VAGINAL ADMINISTRATION;G02CC;Drug Class;9:43:0
PA164712468;ANTIMALARIALS;P01B;Drug Class;11:97:0
PA452622;ANTIMETABOLITES;L01B;Drug Class;661:3534:0
PA164712469;ANTIMIGRAINE PREPARATIONS;N02C;Drug Class;9:23:0
PA164712470;ANTIMONY COMPOUNDS;P01CB;Drug Class;0:0:0
PA448452;ANTIMONY POTASSIUM TARTRATE;;Drug;0:0:0
PA164712471;ANTIMYCOBACTERIALS;J04;Drug Class;71:676:0
PA164712473;ANTIMYCOTICS FOR SYSTEMIC USE;J02, J02A;Drug Class;4:197:0
PA164712474;ANTINEMATODAL AGENTS;P02C;Drug Class;0:1:0
PA164712475;ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS;L;Drug Class;2096:10963:0
PA164712476;ANTINEOVASCULARISATION AGENTS;S01LA;Drug Class;8:80:0
PA164712478;ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS;A08, A08A;Drug Class;1:2:0
PA164712479;ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS;P;Drug Class;17:101:0
PA164712388;ANTI-PARATHYROID AGENTS;H05B;Drug Class;0:1:0
PA164712389;ANTI-PARKINSON DRUGS;N04;Drug Class;12:46:0
PA164712480;ANTIPROGESTOGENS;G03XB;Drug Class;0:0:0
PA164712482;ANTIPROPULSIVES;A07D, A07DA;Drug Class;0:4:0
PA164712483;ANTIPROTOZOALS;P01;Drug Class;12:86:0
PA164712484;ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.;D04, D04A;Drug Class;0:11:0
PA164712486;ANTIPSORIATICS;D05;Drug Class;1:8:0
PA164712487;ANTIPSORIATICS FOR SYSTEMIC USE;D05B;Drug Class;1:4:0
PA164712488;ANTIPSORIATICS FOR TOPICAL USE;D05A;Drug Class;1:6:0
PA448453;ANTIPYRINE;N02BB01, S02DA03;Drug;0:0:0
PA164712489;ANTISEPTICS;R02AA;Drug Class;0:0:0
PA164712492;ANTISEPTICS AND CORTICOSTEROIDS;G01BD;Drug Class;0:0:0
PA164712491;ANTISEPTICS AND DISINFECTANTS;D08, D08A;Drug Class;93:317:0
PA164712493;ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS;A03E;Drug Class;0:0:0
PA164712494;ANTISPASMODICS IN COMBINATION WITH ANALGESICS;A03D;Drug Class;0:0:0
PA164712496;ANTISPASMODICS IN COMBINATION WITH OTHER DRUGS;A03ED;Drug Class;0:0:0
PA164712495;ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS;A03C;Drug Class;0:0:0
PA164712497;ANTISPASMODICS, PSYCHOLEPTICS AND ANALGESICS IN COMBINATION;A03EA;Drug Class;0:0:0
PA452200;ANTITHROMBOTIC AGENTS;B01, B01A;Drug Class;278:2975:0
PA164712500;ANTITREMATODALS;P02B;Drug Class;0:1:0
PA164712501;ANTIVARICOSE THERAPY;C05B;Drug Class;1:1:0
PA164712502;ANTIVERTIGO PREPARATIONS;N07C, N07CA;Drug Class;0:0:0
PA452174;ANTIVIRALS;D06BB, S01AD;Drug Class;3:8:0
PA164712504;ANTIVIRALS FOR SYSTEMIC USE;J05;Drug Class;241:1500:0
PA164712506;ANTRACEN DERIVATIVES;D05AC;Drug Class;0:0:0
PA164784000;ANTRAFENINE;;Drug;0:0:0
PA164712507;ANXIOLYTICS;N05B;Drug Class;11:53:0
PA166316721;APATINIB;;Drug;0:3:1
PA166209601;APL-9;;Drug;0:0:0
PA164781163;APOMORPHINE;G04BE07, N04BC07;Drug;0:0:0
PA164712508;APPETITE STIMULANTS;A15;Drug Class;0:0:0
PA166183406;APPLE JUICE;;Drug;0:0:1
PA164748866;APRACLONIDINE;S01EA03;Drug;0:0:0
PA166220442;APREMILAST;;Drug;0:10:0
PA164747039;APREPITANT;A04AD12;Drug;0:3:1
PA164764496;APRINDINE;C01BB04;Drug;0:0:0
PA164754809;APROBARBITAL;N05CA05;Drug;0:0:0
PA448472;APROTININ;B02AB01;Drug;0:0:0
PA165958370;ARBEKACIN;J01GB12;Drug;0:0:0
PA164747979;ARBUTAMINE;C01CA22;Drug;0:0:0
PA164746540;ARCITUMOMAB;;Drug;0:0:0
PA164754878;ARDEPARIN;;Drug;0:0:0
PA164745516;ARGATROBAN;B01AE03;Drug;0:0:0
PA166400062;ARIMOCLOMOL;N07XX17;Drug;0:0:0
PA10026;ARIPIPRAZOLE;N05AX12;Drug;11:104:1
PA166161216;ARIPIPRAZOLE LAUROXIL;N05AX;Prodrug;0:0:1
PA164712509;ARSENIC COMPOUNDS;G01AB, P01AR, P01CD;Drug Class;0:3:0
PA452638;ARSENITE;;Drug;0:0:0
PA165260403;ARTEETHER;P01BE04;Drug;0:0:1
PA165111696;ARTEMISININ;P01BE01;Drug;0:1:1
PA143485261;ARTEMISININ AND DERIVATIVES;P01BE;Drug Class;1:4:0
PA164712512;ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON;C02D;Drug Class;4:34:0
PA166182731;ARTICAINE;N01BB08;Drug;0:0:0
PA166182783;ARTICAINE / EPINEPHRINE;N01BB58;Drug;0:0:0
