FLUORURO SODICO;SODIUM FLUORIDE
BISMUTO SUBCITRATO + TETRACICLINA + METRONIDAZOL; BISMUTH SUBCITRATE + TETRACYCLINE + METRONIDAZOLE
CARBENOXOLONA; CARBENOXOLONE
SUCRALFATO; Sucralfate
PIRENZEPINA;PIRENZEPINE
BISMUTO SUBCITRATO; BISMUTH SUBCITRATE
PROGLUMIDA; PROGLUMIDE
GEFARNATO; GEFARNATO
ALGINICO ACIDO; ALGINIC ACID
GEFARNATO EN ASOCIACION; GEFARNATO IN ASSOCIATION
ZINC ACEXAMATO; ZINC ACEXAMATE
DOSMALFATO; DOSMALFATE
OTROS ANTIULCERA PEPTICA Y REFLUJO GASTROESOFAGICO NE; OTHER ANTI-PEPTIC ULCER AND GASTROESOPHAGEAL REFLUX NE
MEBEVERINA; MEBEVERINA
TRIMEBUTINA; TRIMEBUTINE
DICICLOVERINA; Dicycloverine
GLICOPIRRONIO; GLYCOPYRRONIUM
OTILONIO BROMURO; OTILONIUM BROMIDE
FENPIVERINIO; FENPIVERINIUM
PAPAVERINA; PAPAVERINE
ALOSETRON; ALOSETRON
TEGASEROD; TEGASEROD
CILANSETRON; CILANSETRON
PRUCALOPRIDE; PRUCALOPRIDE
PINAVERIO BROMURO; PINAVERIUM BROMIDE
PROXAZOL; PROXAZOL
SILICONAS; SILICONES
OTROS MEDIC.PADECIMIENTOS FUNCIONALES DEL ESTOMAGO NE; OTHER MEDIC.FUNCTIONAL STOMACH DISEASES NE
ATROPINA; ATROPINE
BUTILESCOPOLAMINA BROMURO; BUTYLSCOPOLAMINE BROMIDE
OCTATROPINA METILBROMURO; OCTATROPINE METHYLBROMIDE
METILESCOPOLAMINA ASOC. A PSICOLEPTICO; METHYLSCOPOLAMINA ASOC. A PSYCHOLEPTIC
ATROPINA ASOC. A PSICOLEPTICO; ATROPINE ASSOCIATED WITH PSYCHOLEPTIC
METILHOMATROPINA ASOC. A PSICOLEPTICO; METHYLHOMATROPINE ASOC. A PSYCHOLEPTIC
PITOFENONA ASOC. A ANALGESICO; PITOFENONE ASSOCIATED WITH ANALGESIC
DROFENINA ASOC. A ANALGESICO; DROFENINA ASSOCIATED WITH ANALGESIC
OCTATROPINA METILBROMURO+ANAGESICO; OCTATROPINE METHYLBROMIDE+ANAGESIC
BUTILESCOPOLAMINA BROMURO+ANALGESICO; BUTYLESCOPOLAMINE BROMIDE+ANALGESIC
ATROPINA ASOC. A ANALGESICO; ATROPINE ASSOCIATED WITH ANALGESIC
ATROPINA+PAPAVERINA ASOC. A ANALGESICO; ATROPINE+PAPAVERINE ASOC. A ANALGESIC
PAPAVERINA ASOC. A ANALGESICO; Papaverine associated with analgesic
PRAMIVERINA ASOC. A ANALGESICO;PRAMIVERINA ASOC. A ANALGESIC
PAPAVERINA+MAGNESIO SULFATO; PAPAVERINE+MAGNESIUM SULFATE
BUTILESCOPOLAMINA BROMURO+METOCLOPRAMIDA; Butylscopolamine bromide + metoclopramide
METILESCOPOLAMINA ASOC. A OTRAS SUSTANCIAS; METHYLESCOPOLAMINE ASSOCIATED WITH OTHER SUBSTANCES
METOCLOPRAMIDA; Metoclopramide
CISAPRIDA; CISAPRIDE
DOMPERIDONA; DOMPERIDONE
BROMOPRIDA; BROMOPRIDE
ALIZAPRIDA; ALIZAPRIDE
CLEBOPRIDA; CLEBOPRIDE
CINITAPRIDA; CINITAPRIDA
METOCLOPRAMIDA EN ASOCIACION; METOCLOPRAMIDE IN ASSOCIATION
CLEBOPRIDA EN ASOCIACION; CLEBOPRIDA IN ASSOCIATION
CINITAPRIDA; CINITAPRIDA
PROPULSIVOS NE; NE PROPULSIVES
ONDANSETRON; ONDANSETRON
GRANISETRON; GRANISETRON
TROPISETRON; TROPISETRON
DOLASETRON; DOLASETRON
PALONOSETRON; PALONOSETRON
PALONOSETRON, COMBINACIONES; PALONOSETRON, COMBINATIONS
ESCOPOLAMINA (HIOSCINA); SCOPOLAMINE (HYOSCINE)
CERIO OXALATO; Cerium Oxalate
METOPIMAZINA; METOPIMAZINE
DRONABINOL; DRONABINOL
NABILONA; NABILONE
APREPITANT; APREPITANT
CASOPITANT; CASOPITANT
ROLAPITANT; ROLAPITANT
LEVOSULPIRIDA; LEVOSULPIRIDE
DIXIRAZINA EN ASOCIACION; DIXIRAZINE IN ASSOCIATION
LOBULO ANTERIOR HIPOFISIS EXTO; ANTERIOR LOBE EXTERIOR PYPOPHYSIS
ALCALOIDES BELLADONA EN ASOCIACION; BELLADONNA ALKALOIDS IN ASSOCIATION
CORTEZA SUPRARRENAL EN ASOCIACION; ADRENAL CORTEX IN ASSOCIATION
OTROS ANTIEMETICOS NE; OTHER ANTI-EMETICS NE
QUENODESOXICOLICO ACIDO; CHENODEOXYCHOLIC ACID
URSODESOXICOLICO ACIDO; URSODEOXYCHOLIC ACID
ACIDO COLICO; Cholic acid
ACIDO OBETICOLICO; OBETICHOLIC ACID
HIMECROMONA; HYMECHROMONA
CICLOBUTIROL EN ASOCIACION; CYCLOBUTYROL IN ASSOCIATION
DIMECROTICO ACIDO; Dimecrotic Acid
EMODINA EN ASOCIACION; EMODINA IN ASSOCIATION
OTROS MEDICAMENTOS PARA LA TERAPIA BILIAR NE;OTHER MEDICINES FOR BILIARY THERAPY NE
SILIMARINA; SILYMARIN
TERAPIA HEPATICA NE; NE LIVER THERAPY
TERAPIA BILIAR Y LIPOTROPICOS EN ASOCIACION; BILIARY THERAPY AND LIPOTROPICS IN ASSOCIATION
TERAPIA BILIAR Y LIPOTROPICOS EN ASOCIACION NE NE; BILIARY THERAPY AND LIPOTROPICS IN ASSOCIATION NE NE
PARAFINA LIQUIDA; LIQUID PARAFFIN
DOCUSATO SODICO; DOCUSATE SODIUM
PARAFINA FLUIDA EN ASOCIACION; FLUID PARAFFIN IN ASSOCIATION
OXIFENISATINA; Oxyphenisatin
BISACODILO; BISACODYL
FENOFTALEINA; PHENOPHTHALEIN
ACEITE DE RICINO; CASTOR OIL
SENOSIDOS A-B; SENNOSIDES AB
CASCARA; PEEL
SODIO PICOSULFATO; SODIUM PICOSULFATE
LAXANTES DE CONTACTO EN ASOCIACION; CONTACT LAXATIVES IN ASSOCIATION
LAXANTES DE CONTACTO ASOCIADOS A ALCALOIDES BELLADONA; CONTACT LAXATIVES ASSOCIATED WITH BELLADONNA ALKALOIDS
SENOSIDOS EN ASOCIACION; SENNOSIDES IN ASSOCIATION
CASCARA SAGRADA EN ASOCIACION; Cascara Sagrada in Association
PICOSULFATO SODICO EN ASOCIACION; SODIUM PICOSULFATE IN ASSOCIATION
LAXANTES DE CONTACTO NE; CONTACT LAXATIVES NE
ISPAGHULA; ISPAGHULA
STERCULIA; STERCULIA
METILCELULOSA; METHYLCELLULOSE
POLICARBOFIL CALCICO; Calcium Polycarbophyll
ISPAGHULA EN ASOCIACION; ISPAGHULA IN ASSOCIATION
LAXANTES INCREMENTADORES DEL BOLO INTESTINAL NE; LAXATIVES THAT INCREASE INTESTINAL BOLUS NE
SALES DE MAGNESIO EN ASOCIACION; MAGNESIUM SALTS IN ASSOCIATION
LACTULOSA; Lactulose
LACTITOL; LACTITOL
SODIO SULFATO; SODIUM SULFATE
MACROGOL; MACROGOAL
MANITOL; MANNITOL
SODIO FOSFATO; SODIUM PHOSPHATE
SORBITOL; SORBITOL
MACROGOL EN ASOCIACION; MACROGOAL IN ASSOCIATION
MAGNESIO HIDROXIDO; MAGNESIUM HYDROXIDE
SALES DE MAGNESIO ASOC A MANITOL;MAGNESIUM SALTS ASSOCIATED WITH MANNITOL
LAXANTES OSMOTICOS NE; OSMOTIC LAXATIVES NE
SODIO FOSFATO; SODIUM PHOSPHATE
GLICEROL; GLYCEROL
DOCUSATO DE SODIO; DOCUSATE SODIUM
LAURILSULFATO, INCLUIDO ASOCIACIONES; LAURYLSULFATE, INCLUDING ASSOCIATIONS
ENEMAS, COMBINACIONES CON; ENEMAS, COMBINATIONS WITH
ENEMA SOLUCION FISIOLOGICA; ENEMA PHYSIOLOGICAL SOLUTION
ENEMAS NE; NE ENEMAS
METILNALTREXONA BROMURO; METHYLNALTREXONE BROMIDE
ALVIMOPAN; ALVIMOPAN
NALOXEGOL; NALOXEGOL
ANTAGONISTAS PERIFERICOS DE LOS RECEPTORES OPIACEOS NE; Peripheral opioid receptor antagonists NE
LAXANTES NE NE; LAXATIVES NE NE
GLICEROL; GLYCEROL
LUBIPROSTONA; LUBIPROSTONE
LIMECLOTIDA; Limeclotide
PRUCALOPRIDA; PRUCALOPRIDE
OTROS LAXANTES NE; OTHER LAXATIVES NE
NEOMICINA; NEOMYCIN
NISTATINA; Nystatin
POLIMIXINA B; POLYMYXIN B
PAROMOMICINA; PAROMOMYCIN
VANCOMICINA; VANCOMYCIN
COLISTINA; COLISTIN
RIFAXIMINA; RIFAXIMIN
FIDAXOMICINA; FIDAXOMYCIN
NEOMICINA EN ASOCIACION; NEOMYCIN IN ASSOCIATION
PAROMOMICINA EN ASOCIACION; PAROMOMYCIN IN ASSOCIATION
DIHIDROESTREPTOMICINA; DIHYDROSTREPTOMYCIN
ANTIBIOTICOS (ANTIINFECCIOSOS INTESTINALES) NE; ANTIBIOTICS (INTESTINAL ANTIINFECTIOUS) NE
OTROS ANTINFECCIOSOS INTESTINALES NE; OTHER INTESTINAL ANTIFECTIVES NE
CARBON ACTIVADO MEDICINAL; MEDICINAL ACTIVATED CHARCOAL
PECTINA; PECTIN
DIOSMECTITA; Diosmectite
OTROS ADSORBENTES INTESTINALES NE; OTHER INTESTINAL ADSORBENTS NE
SALES PARA REHIDRATACION ORAL; ORAL REHYDRATION SALTS
FORMULACIONES DE SALES PARA REHIDRATACION ORAL NE; ORAL REHYDRATION SALT FORMULATIONS NE
DIFENOXILATO; Diphenoxylate
OPIO EXTO; OPIUM EXTRACT
LOPERAMIDA; LOPERAMIDE
ELUXADOLINA; ELUXADOLINE
OPIO EXTO. EN ASOCIACION; OPIUM EXTRACT. IN ASSOCIATION
LOPERAMIDA EN ASOCIACION; LOPERAMIDE IN ASSOCIATION
ETILMORFINA EN ASOCIACION;ETHYLMORPHINE IN ASSOCIATION
ANTIPROPULSIVOS NE; ANTIPROPULSIVES NE
TIXOCORTOL; TIXOCORTOL
BUDESONIDA; BUDESONIDE
BECLOMETASONA; BECLOMETHASONE
TRIAMCINOLONA; TRIAMCINOLONE
CROMOGLICICO ACIDO; Cromoglycic Acid
SULFASALAZINA; SULFASALAZINE
MESALAZINA; Mesalazine
OLSALAZINA; OLSALAZINE
BALSALAZIDA; BALSALAZIDE
MICROORGANISMOS PRODUCT. ACIDO LACTICO; MICROORGANISMS PRODUCING LACTIC ACID
SACCHAROMYCES BOULARDII; SACCHAROMYCES BOULARDII
MICROORGANISMOS PRODUCTORES ACIDO LACTICO EN ASOCIACION; MICROORGANISMS PRODUCING LACTIC ACID IN ASSOCIATION
TANATO ALBUMINA; TANNATO ALBUMIN
RACECADOTRILO; RACECADOTRYL
TELOTRISTAT; TELOTRISTAT
FENFLURAMINA; Fenfluramine
AMFEPRAMONA; AMFEPRAMONE
DEXFENFLURAMINA; Dexfenfluramine
MAZINDOL; MAZINDOL
CLOBENZOREX; CLOBENZOREX
SIBUTRAMINA; SIBUTRAMIN
BUPROPION Y NALTREXONA; BUPROPION AND NALTREXONE
PREPARADOS CONTRA LA OBESIDAD DE ACCION SOBRE EL SNC NE; PREPARATIONS AGAINST OBESITY WITH ACTION ON THE CNS
ORLISTAT; ORLISTAT
RIMONABANT; RIMONABANT
OTROS PREPARADOS CONTRA LA OBESIDAD NE; OTHER PREPARATIONS AGAINST OBESITY NE
MULTIENZIMAS (LIPASA,PROTEASA,AMILASA); MULTIENZYMES (LIPASE, PROTEASE, AMYLASE)
TILACTASE; TILACTASE
MULTIENZIMAS ASOC. A OTRAS SUSTANCIAS; MULTIENZYMES ASSOCIATED WITH OTHER SUBSTANCES
PAPAINA; PAPAIN
PANCREAS EXTO SECO; PANCREAS DRY EXTREMA
ENZIMAS DIGESTIVOS NE; DIGESTIVE ENZYMES NE
PEPSINA EN ASOCIACION CON ACIDOS; PEPSIN IN ASSOCIATION WITH ACIDS
ASOCIACIONES DE ENZIMAS Y ACIDOS NE; ASSOCIATIONS OF ENZYMES AND NE ACIDS
INSULINA HUMANA ACCION RAPIDA; Rapid Acting Human Insulin
INSULINA TERNERA ACCION RAPIDA; Rapid-acting beef insulin
INSULINA CERDO ACCION RAPIDA; FAST ACTING PORK INSULIN
INSULINA LISPRO ACCION RAPIDA;INSULIN LISPRO FAST ACTING
INSULINA ASPART ACCION RAPIDA; INSULIN ASPART FAST ACTING
INSULINA GLULISINA; INSULIN GLULISINE
INSULINAS EN ASOCIACION ACCION RAPIDA; INSULINS IN ASSOCIATION FAST ACTION
INSULINA HUMANA ACCION INTERMEDIA; INTERMEDIATE ACTING HUMAN INSULIN
INSULINA TERNERA ACCION INTERMEDIA; INTERMEDIATE ACTING CALF INSULIN
INSULINA CERDO ACCION INTERMEDIA; PORK INSULIN INTERMEDIATE ACTION
INSULINA LISPRO ACCION INTERMEDIA; INSULIN LISPRO INTERMEDIATE ACTING
INSULINAS EN ASOCIACION ACCION INTERMEDIA; INSULINS IN ASSOCIATION INTERMEDIATE ACTION
INSULINA HUMANA ACCION INTERMEDIA+RAPIDA; INTERMEDIATE+RAPID ACTING HUMAN INSULIN
INSULINA TERNERA ACCION INTERMEDIA+RAPIDA; CALF INSULIN INTERMEDIATE+RAPID ACTING
INSULINA CERDO ACCION INTERMEDIA+RAPIDA; PORK INSULIN INTERMEDIATE+RAPID ACTING
INSULINA LISPRO ACCION INTERMEDIA+RAPIDA; INSULIN LISPRO INTERMEDIATE+RAPID ACTING
INSULINA ASPART ACCION INTERMEDIA+RAPIDA; INSULIN ASPART INTERMEDIATE+RAPID ACTING
INSULINA DEGLUDEC E INSULINA ASPARTA; INSULIN DEGLUDEC AND INSULIN ASPARTA
INSULINAS EN ASOCIACION ACCION INTERMEDIA+RAPIDA; INSULINS IN ASSOCIATION INTERMEDIATE+RAPID ACTION
INSULINA HUMANA ACCION LENTA; SLOW-ACTING HUMAN INSULIN
INSULINA TERNERA ACCION LENTA; SLOW-ACTING CALF INSULIN
INSULINA CERDO ACCION LENTA; SLOW-ACTING PORK INSULIN
INSULINA GLARGINA ACCION LENTA; Slow-acting insulin glargine
INSULINA DETEMIR; INSULIN DETEMIR
INSULINA DEGLUDEC; INSULIN DEGLUDEC
INSULINAS EN ASOCIACION ACCION LENTA; INSULINS IN ASSOCIATION SLOW ACTION
INSULINA GLARGINA Y LIXISENATIDA; INSULIN GLARGINE AND LIXISENATIDE
INSULINA DEGLUDEC Y LIRAGLUTIDA; INSULIN DEGLUDEC AND LIRAGLUTIDE
INSULINAS Y ANALOGOS ACCION LENTA PARA INYECCION NE;INSULINS AND ANALOGUES SLOW ACTION FOR NE INJECTION
INSULINA INHALADA HUMANA; HUMAN INHALED INSULIN
FENFORMINA; Phenformin
METFORMINA; Metformin
BUFORMINA; BUFORMIN
GLIBENCLAMIDA; Glibenclamide
CLORPROPAMIDA; Chlorpropamide
TOLBUTAMIDA; TOLBUTAMIDE
GLIPIZIDA; GLIPIZIDE
GLIQUIDONA; Gliquidone
GLICLAZIDA; GLICLAZIDE
GLIMEPIRIDA; GLIMEPIRIDE
GLISENTIDA; GLISENTIDA
SULFONILUREAS (ANTIDIABETICOS ORALES) NE; SULFONYLUREAS (ORAL ANTIDIABETICS) NE
METFORMINA + GLIBENCAMIDA; Metformin + Glibencamide
METFORMINA + ROSIGLITAZONA; Metformin + Rosiglitazone
GLIMEPIRIDA + ROSIGLITAZONA; GLIMEPIRIDE + ROSIGLITAZONE
METFORMINA + PIOGLITAZONA; Metformin + Pioglitazone
GLIMEPIRIDA + PIOGLITAZONA; GLIMEPIRIDE + PIOGLITAZONE
METFORMINA + SITAGLIPTINA; Metformin + Sitagliptin
METFORMINA + VILDAGLIPTINA; Metformin + Vildagliptin
PIOGLITAZONA + ALOGLIPTINA; PIOGLITAZONE + ALOGLIPTIN
METFORMINA + SAXAGLIPTINA; Metformin + Saxagliptin
METFORMINA Y LINAGLIPTINA; Metformin and Linagliptin
METFORMINA Y ALOGLIPTINA; Metformin and Alogliptin
METFORMINA Y DAPAGLIFLOZINA; Metformin and Dapagliflozin
METFORMINA Y CANAGLIFLOZINA; Metformin and Canagliflozin
LINAGLIPTINA Y EMPAGLIFLOZINA; LINAGLIPTIN AND EMPAGLIFLOZIN
METFORMINA Y EMPAGLIFLOZINA; Metformin and Empagliflozin
SAXAGLIPTINA Y DAPAGLIFLOZINA; SAXAGLIPTIN AND DAPAGLIFLOZIN
METFORMINA Y ERTUGLIFLOZINA; Metformin and Ertugliflozin
HIPOGLUCEMIANTES ORALES EN ASOCIACION NE; ORAL HYPOGLYCEMIC AGENTS IN ASSOCIATION WITH NE
ACARBOSA; ACARBOSE
MIGLITOL; MIGLITOL
VOGLIBOSA; VOGLIBOSA
TROGLITAZONA; Troglitazone
ROSIGLITAZONA; ROSIGLITAZONE
PIOGLITAZONA;PIOGLITAZONE
SITAGLIPTINA; SITAGLIPTIN
VILDAGLIPTINA; VILDAGLIPTIN
SAXAGLIPTINA; SAXAGLYPTIN
ALOGLIPTINA; ALOGLIPTIN
LINAGLIPTINA; LINAGLIPTIN
EXENATIDA; EXENATIDE
LIRAGLUTIDA; LIRAGLUTIDE
LIXISENATIDA; LIXISENATIDE
ALBIGLUTIDA; ALBIGLUTIDE
DULAGLUTIDA; DULAGLUTIDE
SEMAGLUTIDA; SEMAGLUTIDE
DAPAGLIFLOZINA; DAPAGLIFLOZIN
CANAGLIFLOZINA; CANAGLIFLOZIN
EMPAGLIFLOZINA; EMPAGLIFLOZIN
ERTUGLIFLOZINA; ERTUGLIFLOZIN
GOMA GUAR; GUAR GUM
REPAGLINIDA; REPAGLINIDE
NATEGLINIDA; NATEGLINIDE
BENFLUOREX; BENFLUOREX
LIRAGLUTIDA; LIRAGLUTIDE
MITIGLINIDA; MITIGLINIDE
DAPAGLIFOZINA; DAPAGLIFOZINE
LIXISENATIDA; LIXISENATIDE
ALBIGLUTIDA; ALBIGLUTIDE
OTROS ANTIDIABETICOS ORALES, EXCLUIDAS INSULINAS NE; OTHER ORAL ANTIDIABETICS, EXCLUDING INSULINS NE
MULTIVITAMINAS CON CALCIO; MULTIVITAMINS WITH CALCIUM
MULTIVITAMINAS CON MINERALES; MULTIVITAMINS WITH MINERALS
MULTIVITAMINAS CON OLIGOELEMENTOS; MULTIVITAMINS WITH TRACE ELEMENTS
MULTIVITAMINAS CON MINERALES NE; MULTIVITAMINS WITH MINERALS NE
MULTIVITAMÃ¯Â¿Â½NICOS Y OLIGOELEMENTOS; MULTIVITAMINS AND TRACE ELEMENTS
OTRAS COMBINACIONES DE MULTIVITAMINAS NE; OTHER MULTIVITAMIN COMBINATIONS NE
VITAMINA A + E; Vitamin A + E
MULTIVITAMINAS SOLAS; MULTIVITAMINS ALONE
MULTIVITAMINAS SOLAS NE; MULTIVITAMINS ONLY NE
RETINOL; RETINOL
RETINOL+ERGOCALCIFEROL; RETINOL+ERGOCALCIFEROL
VITAMINAS A Y D ASOCIADAS NE; Vitamins A and D associated with NE
ERGOCALCIFEROL; ERGOCALCIFEROL
ALFACALCIDOL; ALFACALCIDOL
CALCITRIOL; CALCITRIOL
COLECALCIFEROL; Cholecalciferol
CALCIFEDIOL; CALCIFEDIOL
PARICALCITOL; PARICALCITOL
TIAMINA; THIAMINE
SULBUTIAMINA; SULBUTHIAMINE
BENFOTIAMINA; Benfotiamine
VITAMINA B1+B6+B12; Vitamin B1+B6+B12
VITAMINA B1 ASOCIADA CON B6 Y/O B12 NE;VITAMIN B1 ASSOCIATED WITH B6 AND/OR B12 NE
VITAMINAS DEL COMPLEJO B SOLAS NE; B COMPLEX VITAMINS ONLY NE
VITAMINAS DEL COMPLEJO B CON VITAMINA C NE; B COMPLEX VITAMINS WITH VITAMIN C NE
VITAMINAS COMPLEJO B + GLUTAMINA; B COMPLEX VITAMINS + GLUTAMINE
OTRAS ASOCIACIONES DE VITAMINAS DEL COMPLEJO B NE; OTHER ASSOCIATIONS OF B COMPLEX VITAMINS NE
ASCORBICO ACIDO; ASCORBIC ACID
VITAMINA C + VITAMINA A; VITAMIN C + VITAMIN A
VITAMINA C EN ASOCIACION NE; VITAMIN C IN NE ASSOCIATION
NICOTINAMIDA; NICOTINAMIDE
PIRIDOXINA; PYRIDOXINE
TOCOFEROL; TOCOPHEROL
RIBOFLAVINA (VITAMINA B2); RIBOFLAVIN (VITAMIN B2)
BIOTINA; BIOTIN
PIRIDOXAL FOSFATO; PYRIDOXAL PHOSPHATE
INOSITOL; INOSITOL
TOCOFERSOLAN; TOCOPHERSOLAN
DEXPANTENOL; DEXPANTHENOL
PANTETINA; PANTETHINE
AMINOBENZOICO ACIDO; AMINOBENZOIC ACID
NADIDA; NOTHING
PIRIDOXINA+PIRIDOXAL FOSFATO+PIRIDOXAMINA; PYRIDOXINE+PIRIDOXAL PHOSPHATE+PYRIDOXAMINE
COMPLEJOS MULTIVITAMINICOS; MULTIVITAMIN COMPLEXES
ASOCIACIONES DE VITAMINAS NE; VITAMIN ASSOCIATIONS NE
VITAMINAS CON MINERALES NE; VITAMINS WITH MINERALS NE
VITAMINAS, OTRAS COMBINACIONES NE; VITAMINS, OTHER COMBINATIONS NE
CALCIO FOSFATO; CALCIUM PHOSPHATE
CALCIO GLUBIONATO; CALCIUM GLUBIONATE
CALCIO GLUCONATO; CALCIUM GLUCONATE
CALCIO CARBONATO; Calcium Carbonate
CALCIO LACTATO; CALCIUM LACTATE
LACTATO Y GLUCONATO DE CALCIO; Calcium lactate and gluconate
CALCIO GLUCOHEPTONATO; CALCIUM GLUCOHEPTONATE
CALCIO ACETATO ANHIDRO; CALCIUM ACETATE ANHYDROUS
CALCIO SALES EN ASOCIACION; CALCIUM SALTS IN ASSOCIATION
CALCIO PIDOLATO; CALCIUM PIDOLATE
COMPLEJO OSEINA-HIDROXIAPATITA; OSEIN-HYDROXYAPATITE COMPLEX
CALCIO NE; CALCIUM NE
CALCIO FOSFATO+COLECALCIFEROL;CALCIUM PHOSPHATE+CHOLECALCIFEROL
CALCIO LACTATO+COLECALCIFEROL; CALCIUM LACTATE+CHOLECALCIFEROL
CALCIO CARBONATO+COLECALCIFEROL; CALCIUM CARBONATE+CHOLECALCIFEROL
CALCIO GLUCOHEPTONATO+COLECALCIFEROL; CALCIUM GLUCOHEPTONATE+CHOLECALCIFEROL
CALCIO PIDOLATO+COLECALCIFEROL; CALCIUM PIDOLATE+CHOLECALCIFEROL
OTRAS ASOCIACIONES DE CALCIO; OTHER CALCIUM ASSOCIATIONS
CALCIO ASOCIADO A OTRAS SUSTANCIAS NE; CALCIUM ASSOCIATED WITH OTHER SUBSTANCES NE
