drug	gene
daclatasvir	IFNL3
daclatasvir	IFNL4
forskolin	NR1I2
terbutaline	ADRB2
metoclopramide	CYB5R4
metoclopramide	CYB5R1
metoclopramide	CYB5R2
metoclopramide	CYB5R3
metoclopramide	G6PD
norethindrone	CYP2C19
ledipasvir	IFNL3
ledipasvir	IFNL4
arachidonic_acid	CYP4F2
quinacrine	G6PD
ivermectin	ABCB1
Enzyme_inhibitors	CYP19A1
mefloquine	ABCB1
amprenavir	SLCO1B1
amprenavir	ABCB1
salbutamol	COL22A1
salbutamol	CLOCK
salbutamol	CRHR2
salbutamol	DUSP1
salbutamol	ADRB2
pyrilamine	KCNH2
emapalumab	UNC13D
emapalumab	XIAP
emapalumab	PRF1
emapalumab	RAB27A
emapalumab	SH2D1A
emapalumab	STX11
emapalumab	STXBP2
leflunomide	CYP2C19
leflunomide	ESR1
leflunomide	CYP1A2
leflunomide	DHODH
pindolol	GRK5
pindolol	GRK4
pindolol	ADRA2C
pindolol	ADRB1
pindolol	ADRB2
acetaminophen_/_caffeine_/_dihydrocodeine	CYP2D6
zoledronate	CYP2C8
zoledronate	PPCDC
zoledronate	FDPS
dipyridamole	ABCB1
fludarabine	CYP2E1
fludarabine	SLCO1B1
fludarabine	CXCL12
fludarabine	SULT2B1
fludarabine	SLC22A12
encorafenib	BRAF
encorafenib	HRAS
encorafenib	KRAS
encorafenib	NRAS
doxepin	CYP2C19
doxepin	CYP2C9
doxepin	CYP3A4
doxepin	KCNH2
doxepin	CYP1A2
pazopanib	CYP2C8
pazopanib	CYP3A4
pazopanib	CXCL8
pazopanib	KDR
pazopanib	HLA-B
pazopanib	ABCG2
pazopanib	UGT1A1
selpercatinib	RET
s-adenosylmethionine	TPMT
chlorambucil	CXCL12
acetaldehyde	ADH1A
acetaldehyde	ADH1B
acetaldehyde	ALDH2
acetaldehyde	PGM1
etonogestrel	CYP3A7
tamoxifen	ABCC2
tamoxifen	E2F7
tamoxifen	LRMDA
tamoxifen	ZNF423
tamoxifen	ESR1
tamoxifen	F2
tamoxifen	F5
tamoxifen	FMO1
tamoxifen	FMO3
tamoxifen	BRCA1
tamoxifen	PGR
tamoxifen	ABCB1
tamoxifen	CYP19A1
tamoxifen	CYP1A2
tamoxifen	ESR2
tamoxifen	NCOA1
tamoxifen	RRAS2
tamoxifen	NR1I2
tamoxifen	CCNA2
butorphanol	COMT
butorphanol	OPRK1
etodolac	PTGS2
cabotegravir_/_rilpivirine	HLA-B
cabotegravir_/_rilpivirine	UGT1A1
Angiotensin_II_Antagonists	NOS3
Angiotensin_II_Antagonists	ADRB1
Angiotensin_II_Antagonists	ADRB2
fluvoxamine	COMT
fluvoxamine	MDGA2
fluvoxamine	HTR1A
fluvoxamine	HTR2A
fluvoxamine	ABCB1
fluvoxamine	CYP1A2
fluvoxamine	FGF2
ifosfamide	CYP2B6
ifosfamide	NR1I2
propafenone	CYP3A4
propafenone	KCNH2
propafenone	ABCB1
propafenone	SCN5A
botulinum_toxin_type_a	CALCA
botulinum_toxin_type_a	TRPV1
combinations_excl._Psycholeptics_(Vicks_MediNait_Sirup)_Paracetamol	CYP2D6
combinations_excl._Psycholeptics_(Vicks_MediNait_Sirup)_Paracetamol	G6PD
vorinostat	CHD4
vorinostat	UGT2B17
dextromethorphan_/_quinidine	CYP2D6
Selective_serotonin_reuptake_inhibitors	COMT
Selective_serotonin_reuptake_inhibitors	TPH2
Selective_serotonin_reuptake_inhibitors	HTR1A
Selective_serotonin_reuptake_inhibitors	HTR2A
Selective_serotonin_reuptake_inhibitors	ABCB1
Selective_serotonin_reuptake_inhibitors	DRD2
Selective_serotonin_reuptake_inhibitors	FKBP5
Selective_serotonin_reuptake_inhibitors	GABRA6
Selective_serotonin_reuptake_inhibitors	GABRP
Selective_serotonin_reuptake_inhibitors	GAL
Selective_serotonin_reuptake_inhibitors	GRIA3
Selective_serotonin_reuptake_inhibitors	HTR7
Selective_serotonin_reuptake_inhibitors	SLC6A4
Selective_serotonin_reuptake_inhibitors	BDNF
Selective_serotonin_reuptake_inhibitors	PLCB1
Selective_serotonin_reuptake_inhibitors	ADRA2A
Selective_serotonin_reuptake_inhibitors	TPH1
Selective_serotonin_reuptake_inhibitors	SLC1A1
mitomycin	ABCB1
vinblastine	CYP3A4
vinblastine	GSTM1
vinblastine	NR1I2
vitamin_a	ALDH1A1
Analgesics	COMT
Analgesics	DBH
Analgesics	HTR2A
Analgesics	DRD2
Analgesics	KCNJ6
Analgesics	BDNF
Analgesics	OPRM1
thioguanosine_diphosphate	TPMT
amantadine	SLC22A1
atomoxetine	SLC6A2
rituximab	IL2
rituximab	IL6
rituximab	ABCB1
rituximab	FCGR2A
rituximab	FCGR3A
rituximab	GSTA1
rituximab	IL10
rituximab	MS4A1
rituximab	TGFB1
rituximab	CXCL13
rituximab	CXCL12
trofinetide	MECP2
cerivastatin	CYP2C8
cerivastatin	SLCO1B1
cerivastatin	RYR2
bucillamine	HLA-DQB1
bucillamine	HLA-DRB1
darunavir	CYP3A4
duloxetine	TEX10
duloxetine	TREML4
duloxetine	SKIC3
duloxetine	ZNF385D
duloxetine	ATP10A
duloxetine	ANO2
duloxetine	DRD3
duloxetine	FCN2
duloxetine	NCAM1
duloxetine	NRXN1
duloxetine	MIEF2
duloxetine	INVS
duloxetine	KMT2E
thioxanthine	XDH
methacholine	ADRB2
Drugs_For_Treatment_Of_Tuberculosis	ABCC2
Drugs_For_Treatment_Of_Tuberculosis	CYP2B6
Drugs_For_Treatment_Of_Tuberculosis	CYP2E1
Drugs_For_Treatment_Of_Tuberculosis	RIPOR2
Drugs_For_Treatment_Of_Tuberculosis	NAT2
Drugs_For_Treatment_Of_Tuberculosis	ABCB1
Drugs_For_Treatment_Of_Tuberculosis	HLA-C
Drugs_For_Treatment_Of_Tuberculosis	HLA-DQA1
Drugs_For_Treatment_Of_Tuberculosis	HLA-DQB1
Drugs_For_Treatment_Of_Tuberculosis	XPO1
trihexyphenidyl	COMT
rizatriptan	DRD2
clarithromycin	CYP3A4
clarithromycin	CYP3A5
clarithromycin	ABCB1
prednisolone	CYP3A4
prednisolone	DSE
prednisolone	ABCB1
prednisolone	TSPYL1
prednisolone	PNPLA3
pimozide	CYP2D6
cabazitaxel	CYP3A4
mizolastine	FCER1A
sitamaquine	G6PD
Actinomycines	ABCB1
asparaginase	C18orf56
asparaginase	ATL2
asparaginase	ASNS
asparaginase	CPA2
asparaginase	GATA3
asparaginase	GRIA1
asparaginase	MYBBP1A
asparaginase	NFATC2
asparaginase	PYGL
asparaginase	HLA-DRB1
asparaginase	TYMS
asparaginase	SOD2
asparaginase	PNPLA3
cyanocobalamin	MTHFR
cyanocobalamin	ABCB1
zolbetuximab	CLDN18
zolbetuximab	ERBB2
chlorproguanil	G6PD
cefadroxil	NR1I2
nifedipine	CYP3A5
nifedipine	ADRA1A
nifedipine	SLC14A2
nifedipine	NR1I2
cetuximab	AREG
cetuximab	BRAF
cetuximab	BTC
cetuximab	HBEGF
cetuximab	EGF
cetuximab	EREG
cetuximab	FCGR2A
cetuximab	FCGR3A
cetuximab	KRAS
cetuximab	MGAT4A
cetuximab	NRAS
cetuximab	NRG1
cetuximab	NRG2
cetuximab	NRG3
cetuximab	RASSF1
cetuximab	TGFA
cetuximab	VEGFA
cetuximab	CCND1
bumetanide	ACE
bumetanide	NPPA-AS1
bumetanide	GNB3
bumetanide	ADD1
bumetanide	SLC12A3
tislelizumab	CD274
afatinib	EGFR
lithium	COMT
lithium	RABEP1
lithium	GRAMD1B
lithium	SH2B1
lithium	DRD1
lithium	FAM177A1
lithium	FAM178B
lithium	ZNF804A
lithium	ASIC2
lithium	ADCY1
lithium	CACNG2
lithium	CLOCK
lithium	ABCB1
lithium	CREB1
lithium	CRY1
lithium	EPHX2
lithium	FKBP5
lithium	GSK3B
lithium	HTR1B
lithium	SCN5A
lithium	MYO1H
lithium	NR1D1
lithium	NTRK2
lithium	BDNF
lithium	OR52E2
lithium	OR52J2P
lithium	OR52J3
lithium	TPH1
lithium	THRA
difluorodeoxyuridine	CDA
ketoprofen	CYP2C9
ketoprofen	CYP2D6
tramadol	WBP2NL
tramadol	RFPL4B
tramadol	RGL4
tramadol	SEPTIN3
tramadol	CYP2A7P1
tramadol	ICA1
tramadol	OPRD1
tramadol	SULT1A3
tramadol	ARRB2
tramadol	HCN1
mafenide	G6PD
yohimbine	CYP2D6
yohimbine	ADRA2A
yohimbine	ADRA2B
yohimbine	ADRA2C
ivacaftor_/_tezacaftor	CFTR
adefovir_dipivoxil	AK4
adefovir_dipivoxil	AK2
adefovir_dipivoxil	NME1
adefovir_dipivoxil	NME2
adefovir_dipivoxil	SLC26A8
adefovir_dipivoxil	SLC22A6
adefovir_dipivoxil	ABCC4
sertraline	COMT
sertraline	REEP5
sertraline	P3H3
sertraline	ACE
sertraline	GNB3
sertraline	HTR1A
sertraline	ABCB1
sertraline	SRP19
etidronic_acid	IL1B
risedronate	IL1B
cabergoline	DRD2
Calcium_channel_blockers	TANC2
Calcium_channel_blockers	KCNH2
Calcium_channel_blockers	NUMA1
Calcium_channel_blockers	PICALM
Calcium_channel_blockers	CACNA1C
rucaparib	CYP2D6
rucaparib	BRCA1
rucaparib	BRCA2
rucaparib	CYP1A2
olaparib	ESR1
olaparib	BRCA1
olaparib	BRCA2
olaparib	PGR
olaparib	ERBB2
olaparib	ESR2
olaparib	PPP2R2A
tranilast	UGT1A1
nortriptyline	SLC39A14
nortriptyline	GNB3
nortriptyline	NOS3
nortriptyline	ABCB1
nortriptyline	BDNF
nortriptyline	UST
atazanavir	ABCC2
atazanavir	CYP3A4
atazanavir	SORCS2
atazanavir	UGT1A3
atazanavir	UGT1A7
atazanavir	NR1I2
chorionic_gonadotropin	FSHR
maraviroc	CYP3A5
maraviroc	CCR5
sulfisoxazole	G6PD
sulfisoxazole	NR1I2
tebentafusp	HLA-A
abemaciclib	ESR1
abemaciclib	PGR
abemaciclib	ERBB2
abemaciclib	ESR2
abemaciclib	MKI67
hydroxocobalamin	ABCB1
busulfan	CYP2B6
busulfan	CYP2C19
busulfan	CYP2C9
busulfan	GSTM1
busulfan	ABL1
busulfan	BCR
busulfan	CTH
busulfan	GSTA1
busulfan	GSTP1
midostaurin	FLT3
midostaurin	KIT
midostaurin	NPM1
purine_analogues	ITPA
purine_analogues	RAC1
purine_analogues	ABCC4
normeperidine	CYP2C19
methylphenidate	CES1
methylphenidate	COMT
methylphenidate	FARP2
methylphenidate	CORO7
methylphenidate	SENP3
methylphenidate	ADGRL3
methylphenidate	ZNF565
methylphenidate	CHURC1
methylphenidate	SPSB2
methylphenidate	ELP5
methylphenidate	DRD1
methylphenidate	RRP7A
methylphenidate	HTT
methylphenidate	PYROXD2
methylphenidate	PEBP4
methylphenidate	ESYT2
methylphenidate	ARHGEF28
methylphenidate	ARHGAP12
methylphenidate	ARSA
methylphenidate	TRIB3
methylphenidate	CDH23
methylphenidate	ABCB1
methylphenidate	DRD2
methylphenidate	DRD3
methylphenidate	ETFDH
methylphenidate	ALDH1L1
methylphenidate	FXR2
methylphenidate	SLC6A2
methylphenidate	SLC6A3
methylphenidate	NFIB
methylphenidate	OPCML
methylphenidate	PDIA2
methylphenidate	PURA
methylphenidate	ADRA2A
methylphenidate	TH
methylphenidate	ZNF134
methylphenidate	ZNF211
methylphenidate	STRBP
methylphenidate	ZDHHC7
methylphenidate	PIGM
methylphenidate	CMTM8
methylphenidate	GGH
Ergot_alkaloids	COMT
Ergot_alkaloids	DBH
Ergot_alkaloids	HTR2A
Ergot_alkaloids	DRD2
Ergot_alkaloids	BDNF
Ergot_alkaloids	OPRM1
levomethadone	COMT
levomethadone	OPRM1
mobocertinib	EGFR
nutlin-3	MDM2
antipsychotics	COMT
antipsychotics	INSIG2
antipsychotics	BDNF-AS
antipsychotics	ZNF804A
antipsychotics	HTR1A
antipsychotics	HTR2A
antipsychotics	HTR2C
antipsychotics	KCNE1
antipsychotics	LEP
antipsychotics	LEPR
antipsychotics	MTHFR
antipsychotics	ADCY2
antipsychotics	CLCN6
antipsychotics	ABCB1
antipsychotics	CYP1A2
antipsychotics	DGKB
antipsychotics	DRD2
antipsychotics	GABRG3
antipsychotics	GRIK3
antipsychotics	GRM3
antipsychotics	HSPG2
antipsychotics	IL1B
antipsychotics	MC4R
antipsychotics	SLC6A4
antipsychotics	NRG1
antipsychotics	NRXN1
antipsychotics	BDNF
antipsychotics	OPRM1
antipsychotics	SLC18A2
antipsychotics	RGS2
antipsychotics	RGS4
nefazodone	CYP2D6
nefazodone	ABCB1
nefazodone	FKBP5
nefazodone	HTR1B
FEC100	PPCDC
ethambutol	CYP2B6
ethambutol	CYP2C19
ethambutol	CYP2C9
ethambutol	NAT2
ethambutol	TNF
trifluridine	SLC29A1
flibanserin	CYP2C19
flibanserin	CYP2C9
flibanserin	CYP2D6
dextromethorphan_hydrobromide_/_bupropion_hydrochloride	CYP2D6
mianserin	CYP2D6
mianserin	CYP3A4
blonanserin	CYP3A4
angiotensin_II	AGTR1
amifampridine	NAT2
oseltamivir	ABCB1
lidocaine_/_prilocaine	CYB5R3
lidocaine_/_prilocaine	G6PD
sodium_phenylbutyrate	ASS1
sodium_phenylbutyrate	CPS1
sodium_phenylbutyrate	OTC
diclofenac	CYP2C9
diclofenac	PLA2G4A
diclofenac	CYP2J2
diclofenac	PTGS2
diclofenac	LTA
diclofenac	PLCG1
diclofenac	SLC22A7
diclofenac	TNFRSF11A
diclofenac	UGT2B17
diclofenac	LST1
diclofenac	TNF
chlorpropamide	G6PD
lidocaine	CYP3A4
lidocaine	SCN5A
estradiol	TCL1A
motesanib	FLT1
motesanib	KDR
6beta-hydroxytestosterone	CYP2C19
sulfamethazine	NAT2
sulfamethazine	G6PD
sulfamethazine	NR1I2
pilocarpine	CYP2A6
benzodiazepine_derivatives	CYP2C19
benzodiazepine_derivatives	GAL
benzodiazepine_derivatives	OPRM1
elexacaftor	CFTR
Alpha-adrenoreceptor_antagonists	ADRA1D
Alpha-adrenoreceptor_antagonists	ADRA1B
Alpha-adrenoreceptor_antagonists	ADRA1A
atorvastatin	CETP
atorvastatin	ABCC2
atorvastatin	CYP2C19
atorvastatin	CYP2D6
atorvastatin	CYP3A4
atorvastatin	CYP7A1
atorvastatin	KIF6
atorvastatin	MYLIP
atorvastatin	IFNL3
atorvastatin	ACE
atorvastatin	COQ2
atorvastatin	SCAP
atorvastatin	MTTP
atorvastatin	IFNL4
atorvastatin	HMGCR
atorvastatin	LDLR
atorvastatin	LEPR
atorvastatin	ABCA1
atorvastatin	ABCG8
atorvastatin	APOA5
atorvastatin	ABCB1
atorvastatin	FDPS
atorvastatin	HTR3B
atorvastatin	HTR7
atorvastatin	RYR2
atorvastatin	PON1
atorvastatin	POR
atorvastatin	HLA-DRB1
atorvastatin	UGT1A3
atorvastatin	NR1I2
atorvastatin	ABCG2
atorvastatin	AGTR1
atorvastatin	TNF
atorvastatin	APOE
atorvastatin	BDKRB2
atorvastatin	SCARB1
cephalexin	NR1I2
sodium_nitrate	G6PD
testosterone	CYP3A4
testosterone	CYP3A5
Drugs_used_in_alcohol_dependence	GATA4
lornoxicam	CYP2C9
erlotinib	ABCB1
erlotinib	CYP1A2
erlotinib	ERBB2
erlotinib	ERBB3
erlotinib	ERBB4
erlotinib	MAP3K1
erlotinib	UGT1A1
erlotinib	EGFR
daniquidone	NAT2
vardenafil	CYP3A5
torasemide	ACE
torasemide	NPPA-AS1
torasemide	GNB3
torasemide	ADD1
torasemide	SLC12A3
cilostazol	CYP3A5
chlorpromazine	CYP2D6
chlorpromazine	ABCB1
chlorpromazine	EPM2A
chlorpromazine	NR1I2
ripretinib	CYP3A4
fluconazole	CYP2C9
inotuzumab_ozogamicin	ABL1
inotuzumab_ozogamicin	BCR
3-aminopyridine-2-carboxaldehyde_thiosemicarbazone	G6PD
candesartan	CYP11B2
candesartan	PLEKHJ1
candesartan	DOT1L
candesartan	SH2B3
candesartan	SULT1C3
candesartan	GPR83
candesartan	KCNK3
candesartan	AGTR1
Plain_Ace_Inhibitors	KCNIP4
Plain_Ace_Inhibitors	KCNMA1
Plain_Ace_Inhibitors	ABO
Plain_Ace_Inhibitors	NOS3
Plain_Ace_Inhibitors	PTGER3
Plain_Ace_Inhibitors	MME
Plain_Ace_Inhibitors	XPNPEP2
Plain_Ace_Inhibitors	ADRB1
Plain_Ace_Inhibitors	ADRB2
Plain_Ace_Inhibitors	AGT
Plain_Ace_Inhibitors	AGTR1
quizartinib	FLT3
mipomersen	LDLR
norclobazam	CYP2C19
norclobazam	GABRA2
sodium_ascorbate	G6PD
OC144-093	ABCB1
solanidine	CYP2D6
ivabradine	CYP3A4
nimesulide	PTGS2
carmustine	G6PD
avelumab	CD274
2-hydroxymethyl_olanzapine	CYP2D6
3-cyano-7-ethoxycoumarin	CYP2C19
alprazolam	CYP3A4
alprazolam	CYP3A5
isoproterenol	ADRA1D
isoproterenol	ADRA1B
isoproterenol	ADRA1A
isoproterenol	ADRA2A
isoproterenol	ADRA2B
isoproterenol	ADRA2C
isoproterenol	ADRB1
isoproterenol	ADRB2
digoxin	NOS1AP
digoxin	NOS3
digoxin	ADRB1
digoxin	ADRB2
levothyroxine	SLCO1B1
levothyroxine	NKX2-5
levothyroxine	IRS4
levothyroxine	PAX8
levothyroxine	TBL1X
levothyroxine	TSHB
progesterone	CYP3A5
progesterone	ABCB1
progesterone	NR1I2
Quinolone_Antibacterials	G6PD
benzene	NQO1
pemetrexed	ABCC2
pemetrexed	CD274
pemetrexed	DHFR
pemetrexed	MTHFR
pemetrexed	ALK
pemetrexed	FOLR3
pemetrexed	SLC19A1
pemetrexed	SLC22A8
pemetrexed	GGH
pemetrexed	EGFR
nicardipine	CYP3A4
nicardipine	ABCB1
nicardipine	NR1I2
osimertinib	EGFR
moclobemide	CYP2C19
Parathyroid_Hormones_And_Analogues	CASR
ezetimibe_/_rosuvastatin	SLCO1B1
ezetimibe_/_rosuvastatin	ABCG2
rifabutin	NR1I2
inebilizumab	AQP4
timbetasin	TMSB4X
sacituzumab_govitecan	ESR1
sacituzumab_govitecan	BRCA1
sacituzumab_govitecan	BRCA2
sacituzumab_govitecan	ERBB2
sacituzumab_govitecan	ESR2
sacituzumab_govitecan	UGT1A1
berberine	SLC6A4
aliskiren	ABCB1
pemigatinib	FGFR1
pemigatinib	FGFR2
econazole	NR1I2
ibritumomab	MS4A1
bisoprolol_fumarate_/_perindopril_arginine	G6PD
thioguanosine_monophosphate	TPMT
corticosteroids	TAAR6
corticosteroids	DCAF4
corticosteroids	BCL2L11
corticosteroids	ABCB1
corticosteroids	CRHR1
corticosteroids	FKBP5
corticosteroids	HDAC1
corticosteroids	ST13
corticosteroids	TBX21
corticosteroids	NR1I2
corticosteroids	ADRB2
isepamicin	MT-ND1
isepamicin	MT-RNR1
lansoprazole	CYP3A5
lansoprazole	SLCO1B1
lansoprazole	ABCB1
lansoprazole	CYP1A2
lansoprazole	IL1B
lansoprazole	NR1I2
lansoprazole	SLC22A6
lansoprazole	SLC22A8
letrozole	CYP2A6
letrozole	ESR1
letrozole	PGR
letrozole	CYP19A1
letrozole	ESR2
letrozole	TNFRSF11B
letrozole	TNFSF11
gefitinib	CYP2C9
gefitinib	IKBKE
gefitinib	ABCB1
gefitinib	ERBB2
gefitinib	ERBB3
gefitinib	ERBB4
gefitinib	RELA
gefitinib	IKBKB
gefitinib	MAP3K1
gefitinib	TAB2
gefitinib	NFKBIA
gefitinib	NFKBIB
gefitinib	NR1H2
gefitinib	SIRT2
gefitinib	ABCG2
gefitinib	EGFR
sunitinib	CYP3A4
sunitinib	IL13
sunitinib	ABCB1
sunitinib	FLT1
sunitinib	FLT3
sunitinib	FLT4
sunitinib	CXCL8
sunitinib	KDR
sunitinib	KIT
sunitinib	PDGFRB
sunitinib	POR
sunitinib	RET
sunitinib	SLCO1B3
sunitinib	VEGFA
sunitinib	NR1I2
sunitinib	ABCG2
sunitinib	NR1I3
deferiprone	UGT1A6
droperidol	KCNH2
bupivacaine	CYB5R3
bupivacaine	G6PD
omacetaxine	ABL1
omacetaxine	BCR
selegiline	CYP2B6
selegiline	CYP3A4
selegiline	SLC22A1
deoxy-thioguanosine_triphosphate	TPMT
chlorpheniramine	CYP2D6
chlorpheniramine	CYP3A5
alirocumab	LDLR
alpha-MSH	POMC
mavorixafor	CXCR4
hydroxyphenytoin	CYP2C9
eptifibatide	FGB
eptifibatide	ITGB3
eptifibatide	ITGA2B
eptifibatide	FGA
eptifibatide	FGG
capmatinib	MET
valbenazine	CYP2D6
tipiracil_hydrochloride	SLC29A1
quinidine	CYP2D6
quinidine	CYP3A4
quinidine	KCNE1
quinidine	KCNH2
quinidine	ABCB1
quinidine	SCN5A
betaine	MMADHC
betaine	MTHFR
betaine	CBS
zilucoplan	CHRNA3
zilucoplan	CHRNA7
zilucoplan	CHRNA1
zilucoplan	CHRNA4
zilucoplan	CHRNA5
zilucoplan	CHRNA6
zilucoplan	CHRNB1
zilucoplan	CHRNE
permethrin	NR1I2
amodiaquine	CYP2C8
amodiaquine	CYP1A1
amodiaquine	CYP1B1
amodiaquine	G6PD
allopurinol	TRIB2
allopurinol	TBL1XR1
allopurinol	GREM2
allopurinol	CYCSP5
allopurinol	NTNG1
allopurinol	AOX1
allopurinol	MYT1L
allopurinol	NOTCH4
allopurinol	PKD2
allopurinol	POU5F1
allopurinol	PSORS1C1
allopurinol	PSORS1C3
allopurinol	UGT1A10
allopurinol	UGT1A3
allopurinol	UGT1A4
allopurinol	UGT1A5
allopurinol	UGT1A6
allopurinol	UGT1A7
allopurinol	UGT1A8
allopurinol	XDH
allopurinol	ABCG2
allopurinol	UGT1A9
allopurinol	UGT1A1
ospemifene	CYP2B6
ospemifene	CYP2C9
nadolol	GRK5
nadolol	GRK4
nadolol	SLCO1A2
nadolol	ADRA2C
nadolol	ADRB1
nadolol	ADRB2
topiramate	CYP2C19
topiramate	INSR
topiramate	CA12
topiramate	ABCB1
topiramate	GRIK1
topiramate	SCN2A
topiramate	NR1I2
propofol	CYP2C9
propofol	ABCB1
propofol	ADRB2
propofol	UGT1A9
aminoglycoside_antibacterials	MT-ND1
aminoglycoside_antibacterials	MT-RNR1
bilirubin	UGT1A
bilirubin	UGT1A1
raltegravir	UGT1A9
mitotane	CYP2B6
eplontersen	TTR
tolperisone	CYP2D6
taxanes	GSTM1
taxanes	ABCB1
taxanes	GSR
taxanes	SCN10A
taxanes	VEGFA
taxanes	NR1I2
taxanes	ATP7B
prasugrel	P2RY12
prasugrel	PEAR1
prasugrel	NTRK1
Beta_Blocking_Agents	GNB3
Beta_Blocking_Agents	GRK5
Beta_Blocking_Agents	NOS3
Beta_Blocking_Agents	PPARA
Beta_Blocking_Agents	KL
Beta_Blocking_Agents	ADRB1
Beta_Blocking_Agents	ADRB2
terazosin	CYP3A5
etanercept	IL6
etanercept	NFKB1
etanercept	ATP5F1E
etanercept	CD84
etanercept	FCGR2A
etanercept	FCGR3A
etanercept	KLRC1
etanercept	KLRD1
etanercept	PSORS1C1
etanercept	PTPRC
etanercept	HLA-DRB1
etanercept	HLA-E
etanercept	STAT4
