pmid	cid
12386647	12386647.0
12386647	12386647.0
21332312	N/A
11207001	11207001.0
11207001	11207001.0
32112986	N/A
21332314	N/A
27885916	N/A
27885915	N/A
21332319	21332319.0
21332319	21332319.0
24052064	24052064.0
24052064	24052064.0
39453028	N/A
7438695	7438695.0
7438695	7438695.0
26968424	26968424.0
26968424	26968424.0
38076777	N/A
17989996	N/A
21528942	21528942.0
21528942	21528942.0
17367411	792091.0
17367411	792091.0
36503926	N/A
21430647	21430647.0
21430647	21430647.0
37454203	N/A
11207035	11207035.0
11207035	11207035.0
29852030	29852030.0
29852030	29852030.0
38797695	N/A
21430657	N/A
31654273	N/A
21102981	21102981.0
21102981	21102981.0
18055561	18055561.0
18055561	18055561.0
12190096	12190096.0
12190096	12190096.0
23167378	N/A
38896022	N/A
24117654	24117654.0
24117654	24117654.0
28246425	N/A
21692828	21692828.0
21692828	21692828.0
19661214	19661214.0
19661214	19661214.0
24117666	24117666.0
24117666	24117666.0
25592234	25592234.0
25592234	25592234.0
26804652	N/A
25428396	N/A
29196725	N/A
15729081	15729081.0
15729081	15729081.0
19628476	19628476.0
19628476	19628476.0
34406845	N/A
11338173	11338173.0
11338173	11338173.0
24019397	24019397.0
24019397	24019397.0
21037509	21037509.0
21037509	21037509.0
26608082	N/A
36798930	N/A
16679388	16679388.0
16679388	16679388.0
20513247	20513248.0
20513247	20513248.0
32080354	N/A
32342502	N/A
20447721	20447721.0
20447721	20447721.0
27427311	N/A
15565299	15565299.0
15565299	15565299.0
7471604	7471604.0
7471604	7471604.0
37061107	N/A
30048756	N/A
16581111	16581111.0
16581111	16581111.0
25461246	N/A
25461247	25461247.0
25461247	25461247.0
25461249	25461249.0
25461249	25461249.0
21266946	N/A
17400324	17400324.0
17400324	17400324.0
19825159	19825159.0
19825159	19825159.0
35389962	N/A
31588879	31588879.0
31588879	31588879.0
24576527	24576527.0
24576527	24576527.0
21398039	21398039.0
21398039	21398039.0
30704156	30704156.0
30704156	30704156.0
15729180	15729180.0
15729180	15729180.0
28115488	N/A
28049954	N/A
25428516	N/A
35947050	35947050.0
35947050	35947050.0
23757359	23757359.0
23757359	23757359.0
23757361	23757361.0
23757361	23757361.0
26313268	N/A
40665658	N/A
38568509	N/A
29459008	N/A
11207233	11207233.0
11207233	11207233.0
27099716	N/A
37749323	37749323.0
37749323	37749323.0
29327948	29327948.0
29327948	29327948.0
19530321	19530321.0
19530321	19530321.0
16876132	4914875.0
16876132	4914875.0
23855716	23855716.0
23855716	23855716.0
29327975	N/A
26739304	N/A
34079337	N/A
40632937	N/A
16450155	16450155.0
16450155	16450155.0
6488689	N/A
29196917	N/A
26935927	N/A
25330300	25330300.0
25330300	25330300.0
28181117	N/A
39846525	39846525.0
39846525	39846525.0
22348415	22348415.0
22348415	22348415.0
16417409	16417409.0
16417409	16417409.0
16024198	16024198.0
16024198	16024198.0
22348435	1031.0
22348435	1031.0
26083990	N/A
29950617	N/A
21070507	21070507.0
21070507	21070507.0
25658027	N/A
18023090	18023090.0
18023090	18023090.0
19268276	19268276.0
19268276	19268276.0
19628728	19628728.0
19628728	19628728.0
26968770	N/A
18580170	18580170.0
18580170	18580170.0
15467211	N/A
12419790	N/A
27624150	N/A
26968791	N/A
19104471	19104471.0
19104471	19104471.0
17728214	N/A
22020825	22020825.0
22020825	22020825.0
22676192	N/A
22676192	N/A
22053601	22053601.0
22053601	22053601.0
22676194	N/A
22676193	N/A
22676193	N/A
26903268	N/A
9831149	9831149.0
9831149	9831149.0
35455734	N/A
28181240	N/A
25264897	25264897.0
25264897	25264897.0
38142723	N/A
17105675	N/A
26313485	N/A
26313486	N/A
26313487	N/A
29098786	29098786.0
29098786	29098786.0
8946471	8946471.0
8946471	8946471.0
31490856	N/A
24019752	24019752.0
24019752	24019752.0
24019753	24019753.0
24019753	24019753.0
36766510	N/A
30704436	N/A
38470454	N/A
26411831	26411831.0
26411831	26411831.0
12124989	N/A
38994750	38994750.0
38994750	38994750.0
39617342	N/A
34505535	N/A
36569923	N/A
21824325	21824325.0
21824325	21824325.0
21857094	21857094.0
21857094	21857094.0
30016335	N/A
37880658	N/A
22053728	22053728.0
22053728	22053728.0
16679777	16679777.0
16679777	16679777.0
30114658	N/A
9470816	9470816.0
9470816	9470816.0
11699055	11699055.0
11699055	11699055.0
40239986	N/A
23692149	N/A
37159804	N/A
38634369	38634369.0
38634369	38634369.0
23364483	23364483.0
23364483	23364483.0
39060355	39060355.0
39060355	39060355.0
21169036	21169036.0
21169036	21169036.0
19071885	19071885.0
19071885	19071885.0
37946254	N/A
19104657	19104657.0
19104657	19104657.0
22414228	22414228.0
22414228	22414228.0
23462807	N/A
15860653	N/A
14975928	N/A
29393850	N/A
33850298	N/A
29295555	29295555.0
29295555	29295555.0
28640195	N/A
29230023	N/A
28378058	28378058.0
28378058	28378058.0
11994059	11994059.0
11994059	11994059.0
16909270	16909270.0
16909270	16909270.0
19858398	19858398.0
19858398	19858398.0
8946657	8946657.0
8946657	8946657.0
36701157	N/A
18285546	18285546.0
18285546	18285546.0
17564651	17564651.0
17564651	17564651.0
25986028	25986028.0
25986028	25986028.0
18285551	18285551.0
18285551	18285551.0
25560051	25560051.0
25560051	25560051.0
15205367	N/A
28247033	N/A
21038076	21038076.0
21038076	21038076.0
27558924	N/A
19104789	19104789.0
19104789	19104789.0
25789467	N/A
24118301	24118301.0
24118301	24118301.0
26739746	N/A
31327267	N/A
24445991	24445991.0
24445991	24445991.0
3769385	3769385.0
3769385	3769385.0
21726252	21726252.0
21726252	21726252.0
20841522	N/A
39126072	39126072.0
39126072	39126072.0
9241659	9241659.0
9241659	9241659.0
27296832	N/A
26641474	26641474.0
26641474	26641474.0
23692359	11420252.0
23692359	11420252.0
20415561	20415561.0
20415561	20415561.0
20415563	20415563.0
20415563	20415563.0
32015454	N/A
32015455	N/A
32015456	N/A
21562465	N/A
24577123	24577123.0
24577123	24577123.0
11895907	11895907.0
11895907	11895907.0
22840423	N/A
38863977	N/A
21562485	N/A
23233654	23233654.0
23233654	23233654.0
40371326	N/A
23233662	23233662.0
23233662	23233662.0
19268736	19268736.0
19268736	19268736.0
25658497	25658497.0
25658497	25658497.0
11928716	11928716.0
11928716	11928716.0
19924111	19924111.0
19924111	19924111.0
23692434	426410.0
23692434	426410.0
19694741	N/A
23069858	23069858.0
23069858	23069858.0
17597605	17597605.0
17597605	17597605.0
25920679	N/A
23364775	23364775.0
23364775	23364775.0
26870959	26870959.0
26870959	26870959.0
24642735	24642735.0
24642735	24642735.0
17401013	17401013.0
17401013	17401013.0
20350136	20350136.0
20350136	20350136.0
29394111	N/A
19694795	N/A
19530960	19530960.0
19530960	19530960.0
19530961	19530961.0
19530961	19530961.0
15205592	15205592.0
15205592	15205592.0
38765788	N/A
22217949	22217949.0
22217949	22217949.0
36373739	N/A
25560300	25560300.0
25560300	25560300.0
23364847	23364847.0
23364847	23364847.0
19825907	N/A
12059893	N/A
17335544	17335544.0
17335544	17335544.0
28673279	28673279.0
28673279	28673279.0
17925385	17925385.0
17925385	17925385.0
28673292	N/A
21103886	21103886.0
21103886	21103886.0
17597712	17597712.0
17597712	17597712.0
38044950	N/A
32736537	32736537.0
32736537	32736537.0
20514076	20514076.0
20514076	20514076.0
20514079	20514079.0
20514079	20514079.0
29689130	N/A
15861035	N/A
15861036	N/A
15861037	N/A
15861039	N/A
22480177	22480177.0
22480177	22480177.0
31720756	N/A
26019129	26019129.0
26019129	26019129.0
29099333	N/A
12485958	12485958.0
12485958	12485958.0
17827141	17827141.0
17827141	17827141.0
19858760	19858760.0
19858760	19858760.0
27428168	N/A
21071176	21071176.0
21071176	21071176.0
18187595	18187595.0
18187595	18187595.0
18253134	18253134.0
18253134	18253134.0
29099344	N/A
21038416	21038416.0
21038416	21038416.0
26445138	N/A
15795539	N/A
12059987	12059987.0
12059987	12059987.0
28476759	28476759.0
28476759	28476759.0
23922007	23922007.0
23922007	23922007.0
8422746	8422746.0
8422746	8422746.0
19858780	19858780.0
19858780	19858780.0
19891551	N/A
19891552	N/A
19891553	19891553.0
19891553	19891553.0
38765922	N/A
24446315	24446315.0
24446315	24446315.0
19596663	19596663.0
19596663	19596663.0
38372728	N/A
20809084	20809084.0
20809084	20809084.0
25331073	25331073.0
25331073	25331073.0
18810246	18810246.0
18810246	18810246.0
26674571	N/A
18580877	18580877.0
18580877	18580877.0
25560468	N/A
25560469	25560469.0
25560469	25560469.0
10880412	10880412.0
10880412	10880412.0
11699614	11699615.0
11699614	11699615.0
35456416	N/A
28181923	N/A
11503011	11503011.0
11503011	11503011.0
11503014	11503014.0
11503014	11503014.0
37914023	N/A
16385453	16385453.0
16385453	16385453.0
16319918	16319918.0
16319918	16319918.0
17761710	17761710.0
17761710	17761710.0
34407866	N/A
25232828	25232828.0
25232828	25232828.0
40207808	N/A
25953735	N/A
28050888	N/A
17696202	N/A
31393228	N/A
39093709	N/A
12682708	N/A
10683861	10683861.0
10683861	10683861.0
40469972	N/A
38438359	N/A
16778723	16778723.0
16778723	16778723.0
18482659	18482659.0
18482659	18482659.0
23266789	23266789.0
23266789	23266789.0
25069034	25069034.0
25069034	25069034.0
20383212	N/A
30672376	N/A
28509689	N/A
30672383	N/A
30672385	N/A
34965002	N/A
17106442	N/A
11240974	11240974.0
11240974	11240974.0
18548238	18548238.0
18548238	18548238.0
19564049	19564049.0
19564049	19564049.0
11240980	11240980.0
11240980	11240980.0
19891732	N/A
35259926	N/A
20022809	20022809.0
20022809	20022809.0
18187806	18187698.0
18187806	18187698.0
20153897	12399.0
20153897	12399.0
18417193	18417193.0
18417193	18417193.0
10716719	10716719.0
10716719	10716719.0
23529007	23529007.0
23529007	23529007.0
22808112	22808112.0
22808112	22808112.0
40109622	N/A
27199033	N/A
21825083	21825083.0
21825083	21825083.0
23135803	23135803.0
23135803	23135803.0
15533655	N/A
32802391	N/A
20547162	N/A
20547162	N/A
15500895	N/A
26314341	N/A
25003625	25003625.0
25003625	25003625.0
27035242	N/A
29066864	N/A
37815926	N/A
22283902	N/A
24643204	24643204.0
24643204	24643204.0
27035272	N/A
19859084	19859084.0
19859084	19859084.0
20809362	20809362.0
20809362	20809362.0
22906516	22906516.0
22906516	22906516.0
22349464	22349464.0
22349464	22349464.0
38143640	38143640.0
38143640	38143640.0
25921178	N/A
26543771	N/A
25298588	N/A
38504095	N/A
38930092	N/A
17761971	N/A
24970932	24970932.0
24970932	24970932.0
31557306	N/A
40732356	40732356.0
40732356	40732356.0
39356102	39356102.0
39356102	39356102.0
19203783	19203783.0
19203783	19203783.0
19138248	19138248.0
19138248	19138248.0
28346059	N/A
37947089	N/A
23856853	23856853.0
23856853	23856853.0
23856854	23856854.0
23856854	23856854.0
29099735	N/A
40863448	N/A
21989078	21989078.0
21989078	21989078.0
26445541	N/A
14681830	14681830.0
14681830	14681830.0
4818663	4818663.0
4818663	4818663.0
29198060	N/A
22775532	22775532.0
22775532	22775532.0
21628662	21628662.0
21628662	21628662.0
21628669	21628669.0
21628669	21628669.0
26216193	N/A
30902024	N/A
28444425	N/A
23299853	N/A
21923605	21923605.0
21923605	21923605.0
14747421	14747421.0
14747421	14747421.0
37553950	N/A
29263648	N/A
20383528	20383528.0
20383528	20383528.0
19695401	19695401.0
19695401	19695401.0
12846892	N/A
30967597	30967597.0
30967597	30967597.0
21628721	21628721.0
21628721	21628721.0
29525816	N/A
21104443	21104443.0
21104443	21104443.0
11929404	11929405.0
11929404	11929405.0
17434445	17434445.0
17434445	17434445.0
9111378	9111378.0
9111378	9111378.0
26937172	N/A
26871639	26871639.0
26871639	26871639.0
28739427	28739427.0
28739427	28739427.0
41027428	41027428.0
41027428	41027428.0
39978853	N/A
31033190	N/A
16123753	16123753.0
16123753	16123753.0
22480748	N/A
16123758	16123758.0
16123758	16123758.0
25495407	N/A
25495409	25495409.0
25495409	25495409.0
25495410	25495410.0
25495410	25495410.0
25495411	N/A
19236730	19236730.0
19236730	19236730.0
21366650	21366650.0
21366650	21366650.0
21170047	21170047.0
21170047	21170047.0
14583680	N/A
14583682	N/A
40437642	40437642.0
40437642	40437642.0
16418702	16418702.0
16418702	16418702.0
15992732	15992732.0
15992732	15992732.0
25069475	25069475.0
25069475	25069475.0
22153130	22153130.0
22153130	22153130.0
31066027	N/A
26773420	26773420.0
26773420	26773420.0
18515891	N/A
27527109	N/A
26544071	N/A
23332809	23332809.0
23332809	23332809.0
20416460	20416460.0
20416460	20416460.0
17008591	17008591.0
17008591	17008591.0
21989330	21989330.0
21989330	21989330.0
12191703	12191703.0
12191703	12191703.0
18941913	18941913.0
18941913	18941913.0
40699872	40699872.0
40699872	40699872.0
27035618	N/A
12453860	12453860.0
12453860	12453860.0
11208681	11208681.0
11208681	11208681.0
25102313	25102313.0
25102313	25102313.0
39159789	N/A
25266159	25266159.0
25266159	25266159.0
19204081	19204081.0
19204081	19204081.0
24086514	24086514.0
24086514	24086514.0
16844790	N/A
15632378	N/A
28837897	N/A
21956618	21956618.0
21956618	21956618.0
23726091	23726091.0
23726091	23726091.0
20547595	20547595.0
20547595	20547595.0
26937359	N/A
34834450	N/A
28346387	N/A
34048027	N/A
25430046	N/A
19400747	19400747.0
19400747	19400747.0
21694509	N/A
11372592	11372592.0
11372592	11372592.0
24643635	24643635.0
24643635	24643635.0
29427770	N/A
33622083	N/A
37521485	37521485.0
37521485	37521485.0
19433561	19433561.0
19433561	19433561.0
24152157	N/A
24217698	24217698.0
24217698	24217698.0
33097827	N/A
36833383	N/A
28182634	N/A
36210801	N/A
19531897	19531897.0
19531897	19531897.0
24316028	N/A
40470653	40470653.0
40470653	40470653.0
12814461	N/A
21301380	21301380.0
21301380	21301380.0
40142989	40142989.0
40142989	40142989.0
28117133	N/A
11470994	11470994.0
11470994	11470994.0
11470997	11470997.0
11470997	11470997.0
9177237	9177237.0
9177237	9177237.0
37357724	N/A
25266342	25266342.0
25266342	25266342.0
25987243	N/A
22415532	22415532.0
22415532	22415532.0
16877740	N/A
15337646	N/A
18483375	18483375.0
18483375	18483375.0
31099054	31099054.0
31099054	31099054.0
12912815	12912815.0
12912815	12912815.0
17008819	17008819.0
17008819	17008819.0
22546611	22546611.0
22546611	22546611.0
39979195	N/A
24152261	24152261.0
24152261	24152261.0
19531981	19531981.0
19531981	19531981.0
21334226	21334226.0
21334226	21334226.0
19761367	N/A
27298017	N/A
30181602	N/A
24021217	24021217.0
24021217	24021217.0
26216687	N/A
20809970	20809970.0
20809970	20809970.0
26806518	N/A
38963454	N/A
32082176	N/A
22022402	N/A
29755652	N/A
1247492	1247492.0
1247492	1247492.0
37554438	N/A
23922954	23922954.0
23922954	23922954.0
7964939	7964939.0
7964939	7964939.0
23431434	N/A
15206669	N/A
26020121	26020121.0
26020121	26020121.0
21072155	N/A
22350108	22350108.0
22350108	22350108.0
19106083	N/A
19106083	N/A
19106084	19106084.0
19106084	19106084.0
17434921	17434922.0
17434921	17434922.0
26872113	N/A
18057531	18057531.0
18057531	18057531.0
37194045	37194045.0
37194045	37194045.0
35457347	N/A
26249541	N/A
26937673	N/A
21072201	N/A
21072201	N/A
40733022	40733022.0
40733022	40733022.0
22940005	22940005.0
22940005	22940005.0
35916133	N/A
12421483	12421483.0
12421483	12421483.0
17697139	N/A
11012469	11012469.0
11012469	11012469.0
22940027	22940027.0
22940027	22940027.0
29624706	N/A
27756942	27756942.0
27756942	27756942.0
41126293	41126293.0
41126293	41126293.0
20580759	20580759.0
20580759	20580759.0
40405401	N/A
17467803	17467803.0
17467803	17467803.0
17467808	17467808.0
17467808	17467808.0
26282401	N/A
18024866	18024866.0
18024866	18024866.0
31721892	N/A
29100455	N/A
40995240	N/A
22120873	N/A
18188716	18188716.0
18188716	18188716.0
19302829	19302829.0
19302829	19302829.0
24447405	24447405.0
24447405	24447405.0
9439663	9439664.0
9439663	9439664.0
25823661	25823661.0
25823661	25823661.0
25889207	N/A
27527610	N/A
8554938	8554939.0
8554938	8554939.0
28117434	28117434.0
28117434	28117434.0
31066578	N/A
32344532	N/A
26282453	N/A
19827168	N/A
39913956	N/A
36145636	N/A
37456358	N/A
19794411	19794411.0
19794411	19794411.0
19794412	N/A
39619061	N/A
25266679	25266679.0
25266679	25266679.0
25266681	25266681.0
25266681	25266681.0
18156033	18156033.0
18156033	18156033.0
28445187	N/A
28445188	N/A
20089352	20089352.0
20089352	20089352.0
23267855	23267855.0
23267855	23267855.0
23267857	23267857.0
23267857	23267857.0
21039637	N/A
28871191	N/A
36145690	N/A
21498394	21498394.0
21498394	21498394.0
27888155	27888155.0
27888155	27888155.0
33589790	33589790.0
33589790	33589790.0
33589792	N/A
25823781	N/A
25823782	N/A
26774055	N/A
25823783	N/A
25823785	25823785.0
25823785	25823785.0
25823784	N/A
33851947	N/A
25823787	N/A
25823786	N/A
21826085	21826085.0
21826085	21826085.0
21826087	21826087.0
21826087	21826087.0
39488053	N/A
32344632	N/A
24709690	24709690.0
24709690	24709690.0
22252093	22252093.0
22252093	22252093.0
12847678	N/A
23071293	N/A
23071293	N/A
21269061	21269061.0
21269061	21269061.0
23628358	23628358.0
23628358	23628358.0
25987655	25987655.0
25987655	25987655.0
26151496	N/A
24709712	24709712.0
24709712	24709712.0
9931346	9931346.0
9931346	9931346.0
27069012	N/A
19434072	19434072.0
19434072	19434072.0
11602521	11602521.0
11602521	11602521.0
19434073	19434074.0
19434073	19434074.0
38996572	N/A
23530079	23530079.0
23530079	23530079.0
23562852	23562852.0
23562852	23562852.0
17697394	N/A
19270263	19270263.0
19270263	19270263.0
22186618	22186618.0
22186618	22186618.0
23136901	N/A
33131142	N/A
20220551	20220551.0
20220551	20220551.0
25201288	N/A
9472650	9472650.0
9472650	9472650.0
30345879	N/A
36571802	N/A
12880540	N/A
28084894	N/A
28084903	N/A
26151596	N/A
23857836	23857836.0
23857836	23857836.0
20941486	20941486.0
20941486	20941486.0
17828532	N/A
9865912	9865912.0
9865912	9865912.0
29264572	29264572.0
29264572	29264572.0
32606912	N/A
18451141	18451141.0
18451141	18451141.0
22481606	11989723.0
22481606	11989723.0
18057928	18057928.0
18057928	18057928.0
22547144	22547144.0
22547144	22547144.0
21596874	21596874.0
21596874	21596874.0
17337040	N/A
1346258	1346258.0
1346258	1346258.0
35752658	35752658.0
35752658	35752658.0
18615004	18615004.0
18615004	18615004.0
30870237	N/A
26184414	26184414.0
26184414	26184414.0
23628510	136862705.0
23628510	136862705.0
28379874	N/A
27396837	27396837.0
27396837	27396837.0
20548327	20548327.0
20548327	20548327.0
36211438	N/A
16583408	16583408.0
16583408	16583408.0
11668216	11668216.0
11668216	11668216.0
11668218	11668218.0
11668218	11668218.0
11668219	11668219.0
11668219	11668219.0
18221820	18221820.0
18221820	18221820.0
23104259	23104260.0
23104259	23104260.0
30870275	30870275.0
30870275	30870275.0
26544900	N/A
26086150	N/A
23071495	10081035.0
23071495	10081035.0
20351750	20351750.0
20351750	20351750.0
41028360	41028360.0
41028360	41028360.0
7408395	N/A
18385676	18385676.0
18385676	18385676.0
12651279	N/A
40962832	40962832.0
40962832	40962832.0
37653272	N/A
29723426	N/A
17959715	N/A
19204908	19204908.0
19204908	19204908.0
22612784	22612784.0
22612784	22612784.0
19663669	19663669.0
19663669	19663669.0
38636352	38636352.0
38636352	38636352.0
26905411	N/A
28740425	28740425.0
28740425	28740425.0
37686089	N/A
18385739	18385739.0
18385739	18385739.0
30706508	30706508.0
30706508	30706508.0
32475982	N/A
38341456	N/A
22907730	22907730.0
22907730	22907730.0
22907731	22907732.0
22907731	22907732.0
22907732	22907732.0
22907732	22907732.0
36309848	N/A
39652193	N/A
27528039	N/A
34081644	N/A
16386926	16386926.0
16386926	16386926.0
30739312	N/A
22285168	22285168.0
22285168	22285168.0
18484082	18484082.0
18484082	18484082.0
40766322	N/A
18615156	18615156.0
18615156	18615156.0
36768629	N/A
1510267	1510267.0
1510267	1510267.0
18680700	18680700.0
18680700	18680700.0
37489533	N/A
15108991	15108991.0
15108991	15108991.0
15731587	N/A
15731589	N/A
15731591	N/A
27593608	N/A
30051214	N/A
24710034	24710034.0
24710034	24710034.0
28609430	N/A
18713495	18713495.0
18713495	18713495.0
21892003	21892003.0
21892003	21892003.0
9014200	N/A
29756345	29756345.0
29756345	29756345.0
9014204	N/A
24120259	24120259.0
24120259	24120259.0
28347333	28347333.0
28347333	28347333.0
19663817	19663817.0
19663817	19663817.0
10652619	10652619.0
10652619	10652619.0
26086348	N/A
26086347	N/A
17370067	17370067.0
17370067	17370067.0
17632216	N/A
25988058	25988058.0
25988058	25988058.0
33000414	N/A
24251363	24251363.0
24251363	24251363.0
16452582	16452582.0
16452582	16452582.0
33262574	N/A
22285300	22285300.0
22285300	22285300.0
16944116	16944116.0
16944116	16944116.0
15993850	15993850.0
15993850	15993850.0
25594874	25594874.0
25594874	25594874.0
26774523	N/A
37686266	N/A
25529343	25529343.0
25529343	25529343.0
15993855	15993855.0
15993855	15993855.0
12782596	12782596.0
12782596	12782596.0
28838926	N/A
2231320	2231320.0
2231320	2231320.0
25365528	25365528.0
25365528	25365528.0
31755291	N/A
20515869	N/A
19926050	N/A
39717930	39717930.0
39717930	39717930.0
28806186	N/A
38669362	N/A
19500084	19500084.0
19500084	19500084.0
22383668	22383668.0
22383668	22383668.0
19696695	N/A
22776887	22776887.0
22776887	22776887.0
22383676	22383676.0
22383676	22383676.0
25594941	N/A
7474246	7474246.0
7474246	7474246.0
20712527	20712528.0
20712527	20712528.0
20712529	20712529.0
20712529	20712529.0
16321621	16321621.0
16321621	16321621.0
34114646	N/A
10751073	10751073.0
10751073	10751073.0
39816293	N/A
18058343	18058343.0
18058343	18058343.0
26250343	N/A
8195181	8195181.0
8195181	8195181.0
7965806	N/A
33393779	N/A
37882999	N/A
39586937	N/A
26774659	N/A
24382596	24382596.0
24382596	24382596.0
31624332	N/A
31624333	N/A
20417680	20417680.0
20417680	20417680.0
23399569	N/A
23989394	23989394.0
23989394	23989394.0
11668625	11668625.0
11668625	11668625.0
36015253	N/A
19696792	19696792.0
19696792	19696792.0
19696793	19696793.0
19696793	19696793.0
24513691	24513691.0
24513691	24513691.0
18713756	N/A
15666332	N/A
26348712	N/A
39718059	N/A
8653995	8653995.0
8653995	8653995.0
37194923	N/A
18320559	N/A
19795123	19795123.0
19795123	19795123.0
25398452	25398452.0
25398452	25398452.0
32378051	N/A
24906949	N/A
29232328	N/A
37555408	N/A
21597399	21597399.0
21597399	21597399.0
15830237	N/A
18779360	N/A
18779360	N/A
19238117	19238117.0
19238117	19238117.0
30969062	30969062.0
30969062	30969062.0
15764711	N/A
27561198	N/A
11046127	11046127.0
11046127	11046127.0
17698030	N/A
38440181	N/A
40176889	N/A
31853823	31853823.0
31853823	31853823.0
26316040	N/A
18222353	18222353.0
18222353	18222353.0
18582803	18582803.0
18582803	18582803.0
26873108	N/A
37424405	37424405.0
37424405	37424405.0
22088980	22088980.0
22088980	22088980.0
18222355	18222355.0
18222355	18222355.0
29723928	N/A
20679960	20679960.0
20679960	20679960.0
20679962	20679962.0
20679962	20679962.0
31362332	N/A
12651805	N/A
36572447	N/A
26807589	N/A
36932910	36932910.0
36932910	36932910.0
18713907	18713907.0
18713907	18713907.0
18025780	18025780.0
18025780	18025780.0
20647221	20647221.0
20647221	20647221.0
37817654	N/A
39488825	N/A
20352314	N/A
31493434	N/A
12127547	N/A
16911680	N/A
19860800	19860800.0
19860800	19860800.0
16911688	N/A
12356937	12356937.0
12356937	12356937.0
19893579	19893579.0
19893579	19893579.0
18812236	18812236.0
18812236	18812236.0
11767116	11767116.0
11767116	11767116.0
20680028	20680028.0
20680028	20680028.0
1969501	1969501.0
1969501	1969501.0
29855074	N/A
27168100	N/A
22547813	22547813.0
22547813	22547813.0
27168101	N/A
23629159	23629159.0
23629159	23629159.0
22941032	9963018.0
22941032	9963018.0
24612202	24612202.0
24612202	24612202.0
17206635	17206636.0
17206635	17206636.0
27463022	N/A
28314991	N/A
33230203	N/A
16387451	16387451.0
16387451	16387451.0
15502717	N/A
16158080	16158080.0
16158080	16158080.0
28347776	28347776.0
28347776	28347776.0
12684679	N/A
24448396	24448396.0
24448396	24448396.0
26381711	26381711.0
26381711	26381711.0
25955730	25955730.0
25955730	25955730.0
26906009	26906009.0
26906009	26906009.0
36408735	N/A
16453024	16453024.0
16453024	16453024.0
27987364	N/A
17534376	17534376.0
17534376	17534376.0
26086825	26086825.0
26086825	26086825.0
19467705	19467705.0
19467705	19467705.0
36277691	N/A
21958076	21958076.0
21958076	21958076.0
23891399	23891399.0
23891399	23891399.0
26021325	N/A
27233747	27233747.0
27233747	27233747.0
24907224	N/A
29101530	29101530.0
29101530	29101530.0
29265379	N/A
19303909	19303909.0
19303909	19303909.0
22875622	N/A
28380657	28380657.0
28380657	28380657.0
12848631	12848631.0
