Input Name	PubChem Name	CID	Molecular Formula	Molecular Weight	SMILES_code	SMILES_connectivity	Status	Notes	Name	Type	ID	Mol_Weight	LogP	sID
7-Hydroxy-R-warfarin	4,7-dihydroxy-3-[(1R)-3-oxo-1-phenylbutyl]chromen-2-one	54732122.0	C19H16O5	324.3	CC(=O)C[C@H](C1=CC=CC=C1)C2=C(C3=C(C=C(C=C3)O)OC2=O)O	CC(=O)CC(C1=CC=CC=C1)C2=C(C3=C(C=C(C=C3)O)OC2=O)O	Found in Compounds	Auto-corrected from 6-hydroxy r-warfarin						
7-Hydroxy-R-warfarin	4,7-dihydroxy-3-[(1R)-3-oxo-1-phenylbutyl]chromen-2-one	54732122.0	C19H16O5	324.3	CC(=O)C[C@H](C1=CC=CC=C1)C2=C(C3=C(C=C(C=C3)O)OC2=O)O	CC(=O)CC(C1=CC=CC=C1)C2=C(C3=C(C=C(C=C3)O)OC2=O)O	Found in Compounds	Auto-corrected from 6-hydroxy s-warfarin						
5,6-Orthoquinone Primaquine Dihydrobromide	8-(5-aminopentan-2-ylamino)quinoline-5,6-dione;dihydrobromide	168450245.0	C14H19Br2N3O2	421.13	CC(CCCN)NC1=CC(=O)C(=O)C2=C1N=CC=C2.Br.Br	CC(CCCN)NC1=CC(=O)C(=O)C2=C1N=CC=C2.Br.Br	Found in Compounds	Auto-corrected from 6-orthoquinone						
6beta-hydroxyprogesterone	(6R,8S,9S,10R,13S,14S,17S)-17-acetyl-6-hydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one	200149.0	C21H30O3	330.5	CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C[C@H](C4=CC(=O)CC[C@]34C)O)C	CC(=O)C1CCC2C1(CCC3C2CC(C4=CC(=O)CCC34C)O)C	Found in Compounds							
6beta-hydroxytestosterone	(6R,8R,9S,10R,13S,14S,17S)-6,17-dihydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one	65543.0	C19H28O3	304.4	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)C[C@H](C4=CC(=O)CC[C@]34C)O	CC12CCC3C(C1CCC2O)CC(C4=CC(=O)CCC34C)O	Found in Compounds							
7-Hydroxy-R-warfarin	4,7-dihydroxy-3-[(1R)-3-oxo-1-phenylbutyl]chromen-2-one	54732122.0	C19H16O5	324.3	CC(=O)C[C@H](C1=CC=CC=C1)C2=C(C3=C(C=C(C=C3)O)OC2=O)O	CC(=O)CC(C1=CC=CC=C1)C2=C(C3=C(C=C(C=C3)O)OC2=O)O	Found in Compounds	Auto-corrected from 7-hydroxy r-warfarin						
7-Hydroxy-R-warfarin	4,7-dihydroxy-3-[(1R)-3-oxo-1-phenylbutyl]chromen-2-one	54732122.0	C19H16O5	324.3	CC(=O)C[C@H](C1=CC=CC=C1)C2=C(C3=C(C=C(C=C3)O)OC2=O)O	CC(=O)CC(C1=CC=CC=C1)C2=C(C3=C(C=C(C=C3)O)OC2=O)O	Found in Compounds	Auto-corrected from 7-hydroxy s-warfarin						
8-oxo-dgtp	[[(2R,3S,5R)-5-(2-amino-6,8-dioxo-1,7-dihydropurin-9-yl)-3-hydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate	135398565.0	C10H16N5O14P3	523.18	C1[C@@H]([C@H](O[C@H]1N2C3=C(C(=O)NC(=N3)N)NC2=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O	C1C(C(OC1N2C3=C(C(=O)NC(=N3)N)NC2=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O	Found in Compounds							
Estrogenic substances (conjugated)	sodium [(8R,9S,13S,14S)-13-methyl-17-oxo-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-yl] sulfate	23667301.0	C18H21NaO5S	372.4	C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)[O-].[Na+]	CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)[O-].[Na+]	Found in Compounds	Auto-corrected from a synthetic conjugated estrogens						
abacavir	[(1S,4R)-4-[2-amino-6-(cyclopropylamino)purin-9-yl]cyclopent-2-en-1-yl]methanol	441300.0	C14H18N6O	286.33	C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)[C@@H]4C[C@@H](C=C4)CO	C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO	Found in Compounds							
							Found in Substances (No Structure)		abatacept	Biologic/Complex		N/A (Biologic)	N/A (Biologic)	46509198
							Found in Substances (No Structure)		abciximab	Biologic/Complex		N/A (Biologic)	N/A (Biologic)	7978624
abemaciclib	N-[5-[(4-ethylpiperazin-1-yl)methyl]-2-pyridinyl]-5-fluoro-4-(7-fluoro-2-methyl-3-propan-2-ylbenzimidazol-5-yl)pyrimidin-2-amine	46220502.0	C27H32F2N8	506.6	CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F	CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F	Found in Compounds							
abiraterone	(3S,8R,9S,10R,13S,14S)-10,13-dimethyl-17-pyridin-3-yl-2,3,4,7,8,9,11,12,14,15-decahydro-1H-cyclopenta[a]phenanthren-3-ol	132971.0	C24H31NO	349.5	C[C@]12CC[C@@H](CC1=CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC=C4C5=CN=CC=C5)C)O	CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O	Found in Compounds							
abrocitinib	N-[3-[methyl(7H-pyrrolo[2,3-d]pyrimidin-4-yl)amino]cyclobutyl]propane-1-sulfonamide	78323835.0	C14H21N5O2S	323.42	CCCS(=O)(=O)NC1CC(C1)N(C)C2=NC=NC3=C2C=CN3	CCCS(=O)(=O)NC1CC(C1)N(C)C2=NC=NC3=C2C=CN3	Found in Compounds							
abt-751	N-[2-(4-hydroxyanilino)-3-pyridinyl]-4-methoxybenzenesulfonamide	3035714.0	C18H17N3O4S	371.4	COC1=CC=C(C=C1)S(=O)(=O)NC2=C(N=CC=C2)NC3=CC=C(C=C3)O	COC1=CC=C(C=C1)S(=O)(=O)NC2=C(N=CC=C2)NC3=CC=C(C=C3)O	Found in Compounds							
acalabrutinib	4-[8-amino-3-[(2S)-1-but-2-ynoylpyrrolidin-2-yl]imidazo[1,5-a]pyrazin-1-yl]-N-pyridin-2-ylbenzamide	71226662.0	C26H23N7O2	465.5	CC#CC(=O)N1CCC[C@H]1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5	CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5	Found in Compounds							
acamprosate	3-acetamidopropane-1-sulfonic acid	71158.0	C5H11NO4S	181.21	CC(=O)NCCCS(=O)(=O)O	CC(=O)NCCCS(=O)(=O)O	Found in Compounds							
ace inhibitors	(2S)-1-[(2S)-1-[(2S,3S)-2-[[(2S)-5-amino-2-[[(2S)-1-[(2S)-5-(diaminomethylideneamino)-2-[[(2S)-1-[(2S)-3-(1H-indol-3-yl)-2-[[(2S)-5-oxopyrrolidine-2-carbonyl]amino]propanoyl]pyrrolidine-2-carbonyl]amino]pentanoyl]pyrrolidine-2-carbonyl]amino]-5-oxopentanoyl]amino]-3-methylpentanoyl]pyrrolidine-2-carbonyl]pyrrolidine-2-carboxylic acid	443376.0	C53H76N14O12	1101.3	CC[C@H](C)[C@@H](C(=O)N1CCC[C@H]1C(=O)N2CCC[C@H]2C(=O)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@@H]7CCC(=O)N7	CCC(C)C(C(=O)N1CCCC1C(=O)N2CCCC2C(=O)O)NC(=O)C(CCC(=O)N)NC(=O)C3CCCN3C(=O)C(CCCN=C(N)N)NC(=O)C4CCCN4C(=O)C(CC5=CNC6=CC=CC=C65)NC(=O)C7CCC(=O)N7	Found in Subs							
acebutolol	N-[3-acetyl-4-[2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl]butanamide	1978.0	C18H28N2O4	336.4	CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C	CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C	Found in Compounds							
aceclofenac	2-[2-[2-(2,6-dichloroanilino)phenyl]acetyl]oxyacetic acid	71771.0	C16H13Cl2NO4	354.2	C1=CC=C(C(=C1)CC(=O)OCC(=O)O)NC2=C(C=CC=C2Cl)Cl	C1=CC=C(C(=C1)CC(=O)OCC(=O)O)NC2=C(C=CC=C2Cl)Cl	Found in Compounds							
acenocoumarol	4-hydroxy-3-[1-(4-nitrophenyl)-3-oxobutyl]chromen-2-one	54676537.0	C19H15NO6	353.3	CC(=O)CC(C1=CC=C(C=C1)[N+](=O)[O-])C2=C(C3=CC=CC=C3OC2=O)O	CC(=O)CC(C1=CC=C(C=C1)[N+](=O)[O-])C2=C(C3=CC=CC=C3OC2=O)O	Found in Compounds							
acetaldehyde	acetaldehyde	177.0	C2H4O	44.05	CC=O	CC=O	Found in Compounds							
acetaminophen	N-(4-hydroxyphenyl)acetamide	1983.0	C8H9NO2	151.16	CC(=O)NC1=CC=C(C=C1)O	CC(=O)NC1=CC=C(C=C1)O	Found in Compounds							
acetaminophen / caffeine / dihydrocodeine	(4R,4aR,7S,7aR,12bS)-9-methoxy-3-methyl-2,4,4a,5,6,7,7a,13-octahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-ol;N-(4-hydroxyphenyl)acetamide;1,3,7-trimethylpurine-2,6-dione	56841818.0	C34H42N6O7	646.7	CC(=O)NC1=CC=C(C=C1)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](CC4)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C	CC(=O)NC1=CC=C(C=C1)O.CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(CC4)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C	Found in Compounds							
							Not Found		acetaminophen / codeine	Unknown				
							Not Found		acetaminophen / tramadol	Unknown				
acetaminophen sulfate	(4-acetamidophenyl) hydrogen sulfate	83939.0	C8H9NO5S	231.23	CC(=O)NC1=CC=C(C=C1)OS(=O)(=O)O	CC(=O)NC1=CC=C(C=C1)OS(=O)(=O)O	Found in Compounds							
acetazolamide	N-(5-sulfamoyl-1,3,4-thiadiazol-2-yl)acetamide	1986.0	C4H6N4O3S2	222.3	CC(=O)NC1=NN=C(S1)S(=O)(=O)N	CC(=O)NC1=NN=C(S1)S(=O)(=O)N	Found in Compounds							
acetylcholine	2-acetyloxyethyl(trimethyl)azanium	187.0	C7H16NO2+	146.21	CC(=O)OCC[N+](C)(C)C	CC(=O)OCC[N+](C)(C)C	Found in Compounds							
acetylcysteine	(2R)-2-acetamido-3-sulfanylpropanoic acid	12035.0	C5H9NO3S	163.2	CC(=O)N[C@@H](CS)C(=O)O	CC(=O)NC(CS)C(=O)O	Found in Compounds							
Acetylisoniazid	N'-acetylpyridine-4-carbohydrazide	71602.0	C8H9N3O2	179.18	CC(=O)NNC(=O)C1=CC=NC=C1	CC(=O)NNC(=O)C1=CC=NC=C1	Found in Compounds	Auto-corrected from acetylisoniazid(isoniazid)						
actinomycin D	2-amino-4,6-dimethyl-3-oxo-1-N,9-N-bis[(3R,6S,7R,10S,16S)-7,11,14-trimethyl-2,5,9,12,15-pentaoxo-3,10-di(propan-2-yl)-8-oxa-1,4,11,14-tetrazabicyclo[14.3.0]nonadecan-6-yl]phenoxazine-1,9-dicarboxamide	457193.0	C62H86N12O16	1255.4	C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C	CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C	Found in Compounds	Auto-corrected from actinomycines						
acyclovir	2-amino-9-(2-hydroxyethoxymethyl)-1H-purin-6-one	135398513.0	C8H11N5O3	225.2	C1=NC2=C(N1COCCO)N=C(NC2=O)N	C1=NC2=C(N1COCCO)N=C(NC2=O)N	Found in Compounds							
