Effect_subcat;Entity_Affected
;OTHER:KIDNEY_TRANSPLANTATION
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:KIDNEY_TRANSPLANTATION
;OTHER:EPILEPSY
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:KIDNEY_TRANSPLANTATION
;OTHER:DEPRESSIVE_DISORDER
;DISEASE:KIDNEY_TRANSPLANTATION
;OTHER:DEPRESSIVE_DISORDER
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:ORGAN_TRANSPLANTATION
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:KIDNEY_TRANSPLANTATION
;
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:ULCERATIVE_COLITIS
;
;DISEASE:TOBACCO_USE_DISORDER
;DISEASE:TUBERCULOSIS
;OTHER:BREAST_NEOPLASMS
;
;OTHER:OPIOID-RELATED_DISORDERS
;
;DISEASE:HEART_DISEASES
;DISEASE:VENOUS_THROMBOEMBOLISM
;
;
;
;DISEASE:ATRIAL_FIBRILLATION
;
;
;DISEASE:BREAST_NEOPLASMS
;
;OTHER:HEART_VALVE_REPLACEMENT, OTHER:ATRIAL_FIBRILLATION,OTHER:STROKE, OTHER:PULMONARY_EMBOLISM, OTHER:VENOUS_THROMBOSIS
;OTHER:HEART_VALVE_REPLACEMENT, OTHER:ATRIAL_FIBRILLATION,OTHER:STROKE, OTHER:PULMONARY_EMBOLISM, OTHER:VENOUS_THROMBOSIS
;
;OTHER:ATRIAL_FIBRILLATION
;OTHER:ATRIAL_FIBRILLATION
;
;DISEASE:RHEUMATOID_ARTHRITIS
;DISEASE:ACUTE_LYMPHOBLASTIC_LEUKEMIA
;DISEASE:ACUTE_LYMPHOBLASTIC_LEUKEMIA
;OTHER:RHEUMATOID_ARTHRITIS
;EFFICACY:MAJOR_DEPRESSIVE_DISORDER
;OTHER:SCHIZOPHRENIA, OTHER:SCHIZOAFFECTIVE_DISORDER,OTHER:BIPOLAR_DISORDER, OTHER:DEPRESSIVE_DISORDER
;DISEASE:NEOPLASMS
;
;OTHER:HEART_VALVE_REPLACEMENT
;DISEASE:GASTROESOPHAGEAL_REFLUX
;DISEASE:HEART_TRANSPLANTATION
;DISEASE:FUNGAL_INFECTIOUS_DISEASE
;OTHER:DIABETES_MELLITUS_T2
;OTHER:NEPHROTIC_SYNDROME
;
;DISEASE:HEART_TRANSPLANTATION
;OTHER:EPILEPSY
;
;DISEASE:LIVER_TRANSPLANTATION
;OTHER:ATTENTION_DEFICIT_DISORDER_WITH_HYPERACTIVITY
;
;DISEASE:LIVER_TRANSPLANTATION
;DISEASE:LIVER_TRANSPLANTATION
;DISEASE:KIDNEY_TRANSPLANTATION
;
;DISEASE:KIDNEY_TRANSPLANTATION
;OTHER:NON-HODGKIN_LYMPHOMA
;OTHER:NON-HODGKIN_LYMPHOMA
;
;
;DISEASE:NEOPLASMS, DISEASE:PAIN
;
;
;
;DISEASE:VENOUS_THROMBOEMBOLISM
;
;
;
;
;OTHER:KIDNEY_TRANSPLANTATION
;
;DISEASE:CHRONIC_HEPATITIS_C_VIRUS_INFECTION
;OTHER:TOBACCO_USE_DISORDER
;
;OTHER:DIABETES_MELLITUS, OTHER:HYPERCHOLESTEROLEMIA
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;
;DISEASE:PAIN
;
;
;DISEASE:PANIC_DISORDER
;DISEASE:CYSTIC_FIBROSIS
;
;OTHER:NON-SMALL_CELL_LUNG_CARCINOMA
;DISEASE:CYSTIC_FIBROSIS
;
;OTHER:HYPERTENSION
;OTHER:MYOTONIC_DYSTROPHY, OTHER:NONDYSTROPHIC_MYOTONIA
;
;
;
;
;DISEASE:POSTOPERATIVE_PAIN
;
;
;
;
;DISEASE:KIDNEY_TRANSPLANTATION
;OTHER:EPILEPSY
;
;
;
;
;
;OTHER:VENOUS_THROMBOEMBOLISM
;OTHER:HEART_VALVE_REPLACEMENT
;OTHER:SCHISTOSOMIASIS
;OTHER:SCHISTOSOMIASIS
;OTHER:TIC_DISORDERS
;OTHER:TIC_DISORDERS
;
;OTHER:TIC_DISORDERS
;OTHER:CHRONIC_B-CELL_LYMPHOCITIC_LEUKEMIA,
;OTHER:CHRONIC_B-CELL_LYMPHOCITIC_LEUKEMIA,
;
;DISEASE:INFLAMMATORY_BOWEL_DISEASES
;
;
;OTHER:LIVER_TRANSPLANTATION
;OTHER:LIVER_TRANSPLANTATION
;OTHER:LIVER_TRANSPLANTATION
;
;OTHER:DIABETES_MELLITUS, OTHER:HYPERCHOLESTEROLEMIA
;DISEASE:LIVER_TRANSPLANTATION
;
;DISEASE:LIVER_TRANSPLANTATION
;
;OTHER:DIABETES_MELLITUS_T2, OTHER:FATTY_LIVER_DISEASE,OTHER:BODY_WEIGHT_CHANGES
;OTHER:HYPERTENSION
;DISEASE:CYSTIC_FIBROSIS
;OTHER:OBSESSIVE_COMPULSIVE_DISORDER
;
;OTHER:OBSESSIVE_COMPULSIVE_DISORDER
;OTHER:SCHIZOPHRENIA
;DISEASE:KIDNEY_TRANSPLANTATION
;
;DISEASE:CYSTIC_FIBROSIS
;DISEASE:HIV_INFECTIOUS_DISEASE
;DISEASE:CYSTIC_FIBROSIS
;OTHER:EPILEPSY
;DISEASE:DEPRESSIVE_DISORDER
;OTHER:SYPHILIS
;DISEASE:ACUTE_CORONARY_SYNDROME
;
;OTHER:SYPHILIS
;DISEASE:CYSTIC_FIBROSIS
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;OTHER:TUBERCULOSIS
;DISEASE:HYPERCHOLESTEROLEMIA
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;
;
;DISEASE:LIVER_TRANSPLANTATION
;
;DISEASE:CYSTIC_FIBROSIS
;
;
;
;
;
;OTHER:ACUTE_MYELOID_LEUKEMIA
;OTHER:SCHIZOPHRENIA
;
;
;
;OTHER:KIDNEY_TRANSPLANTATION
;OTHER:KIDNEY_TRANSPLANTATION
;DISEASE:GASTROESOPHAGEAL_REFLUX
;DISEASE:GASTROESOPHAGEAL_REFLUX
;OTHER:ATTENTION_DEFICIT_DISORDER_WITH_HYPERACTIVITY
;
;
;DISEASE:LUPUS_NEPHRITIS
;DISEASE:BIPOLAR_DISORDER
;
;DISEASE:HIV_INFECTIOUS_DISEASE
;OTHER:GASTROINTESTINAL_NEOPLASMS, OTHER:POSTOPERATIVE_PAIN
;OTHER:TOBACCO_USE_DISORDER
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:BREAST_NEOPLASMS
;DISEASE:DIABETES_MELLITUS_T2
;
;DISEASE:ACUTE_LYMPHOBLASTIC_LEUKEMIA
;DISEASE:HIV_INFECTIOUS_DISEASE
;DISEASE:CORONARY_DISEASE
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:ESSENTIAL_HYPERTENSION
;
;OTHER:TOBACCO_USE_DISORDER
;DISEASE:KIDNEY_TRANSPLANTATION
;
;DISEASE:ACUTE_LYMPHOBLASTIC_LEUKEMIA
;DISEASE:HEART_VALVE_REPLACEMENT
;DISEASE:NEPHROTIC_SYNDROME
;DISEASE:BREAST_NEOPLASMS
;
;DISEASE:ULCERATIVE_COLITIS, DISEASE:CROHN_DISEASE,DISEASE:INFLAMMATORY_BOWEL_DISEASES
;
;DISEASE:ULCERATIVE_COLITIS
;DISEASE:ORGAN_TRANSPLANTATION
;DISEASE:ORGAN_TRANSPLANTATION
;
;DISEASE:BREAST_NEOPLASMS
;
;DISEASE:HEART_TRANSPLANTATION
;DISEASE:SCHIZOPHRENIA
;DISEASE:SCHIZOPHRENIA
;DISEASE:HEART_FAILURE
;DISEASE:COLORECTAL_NEOPLASMS
;OTHER:NEOPLASMS
;DISEASE:HELICOBACTER_INFECTIONS
;
;DISEASE:HELICOBACTER_INFECTIONS
;DISEASE:HELICOBACTER_INFECTIONS
;
;DISEASE:RHEUMATOID_ARTHRITIS, DISEASE:ULCERATIVE_COLITIS
;DISEASE:ULCERATIVE_COLITIS
;OTHER:NEOPLASMS
;
;
;
;DISEASE:HELICOBACTER_INFECTIONS
;
;
;DISEASE:HELICOBACTER_INFECTIONS
;
;
;
;DISEASE:KIDNEY_TRANSPLANTATION
;
;OTHER:BREAST_NEOPLASMS
;OTHER:TOTAL_KNEE_OR_HIP_ARTHROPLASTY
;
;DISEASE:HEART_DISEASES
;DISEASE:HELICOBACTER_INFECTIONS
;
;DISEASE:DEPRESSION
;DISEASE:KIDNEY_TRANSPLANTATION
;OTHER:COCAINE_DEPENDENCE
;
;OTHER:TOTAL_KNEE_OR_HIP_ARTHROPLASTY
;DISEASE:DIABETES_MELLITUS
;DISEASE:PSYCHOTIC_DISORDER
;
;
;DISEASE:CROHN_DISEASE
;DISEASE:ULCERATIVE_COLITIS
;DISEASE:MALARIA
;DISEASE:ACUTE_LYMPHOBLASTIC_LEUKEMIA
;
;
;
;DISEASE:SCHIZOAFFECTIVE_DISORDER, DISEASE:SCHIZOPHRENIA
;DISEASE:SCHIZOAFFECTIVE_DISORDER, DISEASE:SCHIZOPHRENIA
;DISEASE:HIV_INFECTIOUS_DISEASE
;DISEASE:NON-HODGKIN_LYMPHOMA
;DISEASE:NON-HODGKIN_LYMPHOMA
;DISEASE:NON-HODGKIN_LYMPHOMA
;DISEASE:HELICOBACTER_INFECTIONS
;
;DISEASE:NON-HODGKIN_LYMPHOMA
;DISEASE:CORONARY_ARTERY_DISEASE
;DISEASE:NON-HODGKIN_LYMPHOMA
;DISEASE:ATRIAL_FIBRILLATION, DISEASE:VENOUS_THROMBOEMBOLISM
;
;DISEASE:NON-HODGKIN_LYMPHOMA
;OTHER:HYPERTENSION
;
;
;DISEASE:CYSTIC_FIBROSIS
;DISEASE:MENTAL_DISORDERS
;
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:MENTAL_DISORDERS
;DISEASE:CHRONIC_OBSTRUCTIVE_PULMONARY_DISEASE
;DISEASE:LIVER_TRANSPLANTATION
;DISEASE:NEOPLASMS
;
;DISEASE:LIVER_TRANSPLANTATION
;DISEASE:HYPERTENSION
;OTHER:CORONARY_DISEASE
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:NEOPLASMS
;DISEASE:KIDNEY_TRANSPLANTATION
;EFFICACY:RHEUMATOID_ARTHRITIS
;DISEASE:HYPERTENSION
;DISEASE:NEOPLASMS
;OTHER:EOSINOPHILIC_ESOPHAGITIS
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:NEOPLASMS
;DISEASE:NEOPLASMS
;DISEASE:CHRONIC_OBSTRUCTIVE_PULMONARY_DISEASE
;
;DISEASE:CYSTIC_FIBROSIS
;OTHER:HEART_VALVE_REPLACEMENT
;
;
;OTHER:HYPERTENSION
;OTHER:DIABETES_MELLITUS_T2
;DISEASE:HIV_INFECTIOUS_DISEASE
;OTHER:EPILEPSY
;DISEASE:SCHIZOPHRENIA
;DISEASE:SCHIZOPHRENIA
;OTHER:SCHIZOPHRENIA
;
;
;DISEASE:ACUTE_LYMPHOBLASTIC_LEUKEMIA
;DISEASE:POSTOPERATIVE_PAIN
;DISEASE:RHEUMATOID_ARTHRITIS
;DISEASE:POSTOPERATIVE_PAIN
;
;OTHER:POSTOPERATIVE_PAIN
;DISEASE:PAIN
;DISEASE:PAIN
;DISEASE:KIDNEY_TRANSPLANTATION
;OTHER:POSTOPERATIVE_PAIN
;OTHER:POSTOPERATIVE_PAIN
;DISEASE:POSTOPERATIVE_PAIN
;OTHER:CORONARY_ARTERY_DISEASE
;DISEASE:MULTIPLE_SCLEROSIS
;
;DISEASE:HEPATITIS_C_VIRUS_INFECTION
;OTHER:HIV_INFECTIOUS_DISEASE
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:PSORIASIS
;DISEASE:PSORIASIS
;DISEASE:POSTOPERATIVE_PAIN
;
;DISEASE:HEPATITIS_C_VIRUS_INFECTION
;
;
;
;DISEASE:MULTIPLE_SCLEROSIS
;OTHER:RHEUMATOID_ARTHRITIS
;
;
;
;
;
;
;DISEASE:KIDNEY_TRANSPLANTATION
;SIDE_EFFECT:RHEUMATOID_ARTHRITIS
;
;
;
;OTHER:OPIOID-RELATED_DISORDERS
;OTHER:COCAINE_DEPENDENCE
;
;
;
;
;
;
;
;OTHER:HYPERCHOLESTEROLEMIA
;OTHER:TUBERCULOSIS
;
;
;
;DISEASE:LIVER_TRANSPLANTATION
;
;DISEASE:HYPERCHOLESTEROLEMIA
;
;DISEASE:ACUTE_LYMPHOBLASTIC_LEUKEMIA
;DISEASE:ACUTE_LYMPHOBLASTIC_LEUKEMIA
;DISEASE:MENOPAUSE
;DISEASE:ACUTE_LYMPHOBLASTIC_LEUKEMIA
;
;
;OTHER:STROKE
;DISEASE:ACUTE_LYMPHOBLASTIC_LEUKEMIA
;
;
;
;OTHER:HYPERCHOLESTEROLEMIA
;
;
;OTHER:TRANSPLANTATION
;OTHER:CEREBRAL_INFARCTION
;OTHER:CARDIOMYOPATHY, DILATED
;
;
;OTHER:ATTENTION_DEFICIT_DISORDER_WITH_HYPERACTIVITY
;DISEASE:PROSTATIC_NEOPLASMS
;OTHER:ATTENTION_DEFICIT_DISORDER_WITH_HYPERACTIVITY
;OTHER:ATTENTION_DEFICIT_DISORDER_WITH_HYPERACTIVITY
;
;OTHER:BIPOLAR_DISORDER
;OTHER:ACUTE_LYMPHOBLASTIC_LEUKEMIA
;OTHER:KIDNEY_TRANSPLANTATION
;
;
;OTHER:KIDNEY_TRANSPLANTATION
;OTHER:HEAD_AND_NECK_NEOPLASMS
;
;OTHER:MAJOR_DEPRESSIVE_DISORDER
;OTHER:ANXIETY_DISORDERS
;OTHER:DEPRESSION
;SIDE_EFFECT:RHEUMATOID_ARTHRITIS
;OTHER:POSTOPERATIVE_PAIN
;OTHER:POSTOPERATIVE_PAIN
;DISEASE:COLORECTAL_NEOPLASMS
;OTHER:PANIC_DISORDER
;OTHER:BREAST_NEOPLASMS
;OTHER:NEOPLASMS
;OTHER:BREAST_NEOPLASMS
;OTHER:DIABETES_MELLITUS_T2
;OTHER:KIDNEY_TRANSPLANTATION
;
;
;
;OTHER:LUNG_TRANSPLANTATION
;
;
;DISEASE:OVARIAN_NEOPLASMS
;
;OTHER:SCHIZOPHRENIA
;
;OTHER:SCHIZOPHRENIA
;
;
;OTHER:ALCOHOL_ABUSE
;
;
;
;
;
;
;
;
;
;
;
;DISEASE:COLORECTAL_NEOPLASMS
;OTHER:ALCOHOL_ABUSE, OTHER:ANXIETY_DISORDERS
;DISEASE:LIVER_TRANSPLANTATION
;DISEASE:LIVER_TRANSPLANTATION
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:POSTOPERATIVE_PAIN
;OTHER:BREAST_NEOPLASMS
;OTHER:KIDNEY_TRANSPLANTATION
;
;DISEASE:SCHIZOPHRENIA
;OTHER:HIV_INFECTIOUS_DISEASE
;OTHER:PERCUTANEOUS_CORONARY_INTERVENTIONS_AND_DRUG-ELUTING_STENTS
;OTHER:SCOLIOSIS
;DISEASE:ACUTE_LYMPHOBLASTIC_LEUKEMIA
;DISEASE:ACUTE_LYMPHOBLASTIC_LEUKEMIA
;
;OTHER:HYPERTENSION
;OTHER:ATRIAL_FIBRILLATION
;OTHER:ACUTE_LYMPHOBLASTIC_LEUKEMIA_OTHER:LYMPHOMA,OTHER:ACUTE_MYELOID_LEUKEMIA
;
;OTHER:HYPERTENSION
;OTHER:ELDERLY_ADULT
;OTHER:ELDERLY_ADULT
;OTHER:GROWTH_HORMONE_DEFICIENCY
;DISEASE:BREAST_NEOPLASMS
;
;
;OTHER:MAJOR_DEPRESSIVE_DISORDER
;
;
;OTHER:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:ATTENTION_DEFICIT_DISORDER_WITH_HYPERACTIVITY
;SIDE_EFFECT:KIDNEY_TRANSPLANTATION
;
;
;OTHER:MIGRAINE_WITHOUT_AURA
;DISEASE:HIV_INFECTIOUS_DISEASE
;
;
;OTHER:TOBACCO_USE_DISORDER
;DISEASE:AUTISM
;
;
;
;
;
;
;DISEASE:CYSTIC_FIBROSIS
;DISEASE:PANIC_DISORDER
;
;
;
;
;
;OTHER:HYPERTENSION
;DISEASE:TRANSPLANTATION
;DISEASE:HIV_INFECTIOUS_DISEASE
;DISEASE:MYOCARDIAL_INFARCTION
;DISEASE:SICKLE_CELL_ANEMIA
;
;
;DISEASE:KIDNEY_TRANSPLANTATION
;
;DISEASE:CYSTIC_FIBROSIS, DISEASE:LUNG_TRANSPLANTATION
;
;
;
;
;DISEASE:KIDNEY_TRANSPLANTATION
;
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:KIDNEY_TRANSPLANTATION
;
;DISEASE:HELICOBACTER_INFECTIONS
;
;DISEASE:GASTROESOPHAGEAL_REFLUX
;DISEASE:CYSTIC_FIBROSIS, DISEASE:LUNG_TRANSPLANTATION
;
;
;DISEASE:BREAST_NEOPLASMS
;DISEASE:GASTROESOPHAGEAL_REFLUX
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:KIDNEY_TRANSPLANTATION
;
;
;DISEASE:GASTROESOPHAGEAL_REFLUX
;
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:GASTROESOPHAGEAL_REFLUX
;DISEASE:KIDNEY_TRANSPLANTATION
;
;DISEASE:LIVER_TRANSPLANTATION
;
;DISEASE:DEPRESSION
;
;
;OTHER:CORONARY_DISEASE
;
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:EPILEPSY
;DISEASE:MYASTHENIA_GRAVIS
;
;DISEASE:EPILEPSY
;
;DISEASE:LIVER_TRANSPLANTATION
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:LIVER_TRANSPLANTATION
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:LIVER_TRANSPLANTATION
;DISEASE:KIDNEY_TRANSPLANTATION
;
;DISEASE:DEPRESSION
;
;
;DISEASE:KIDNEY_TRANSPLANTATION
;OTHER:POSTOPERATIVE_PAIN
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:KIDNEY_TRANSPLANTATION
;
;DISEASE:BREAST_NEOPLASMS
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:LOW_BACK_PAIN, DISEASE:OSTEOARTHRITIS
;
;DISEASE:DEPRESSIVE_DISORDER
;DISEASE:TUBERCULOSIS
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:FUNGAL_INFECTIOUS_DISEASE
;
;
;
;DISEASE:CHRONIC_HEPATITIS_C_VIRUS_INFECTION
;
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:FUNGAL_INFECTIOUS_DISEASE
;
;DISEASE:HYPERTENSION
;
;
;DISEASE:KIDNEY_TRANSPLANTATION
;
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:CARDIOVASCULAR_DISEASE
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:LIVER_TRANSPLANTATION
;
;
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;
;
;DISEASE:STROKE
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:CEREBRAL_SINOVENOUS_THROMBOSIS
;DISEASE:CEREBRAL_SINOVENOUS_THROMBOSIS
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:LIVER_TRANSPLANTATION
;DISEASE:KIDNEY_TRANSPLANTATION
;
;
;DISEASE:STROKE
;DISEASE:BREAST_NEOPLASMS
;
;DISEASE:BREAST_NEOPLASMS
;
;DISEASE:BREAST_NEOPLASMS
;DISEASE:BREAST_NEOPLASMS
;DISEASE:CHRONIC_MYELOGENOUS_LEUKEMIA_BCR-ABL1_POSITIVE
;OTHER:ASTHMA
;
;DISEASE:HELICOBACTER_INFECTIONS
;
;DISEASE:FUNGAL_INFECTIOUS_DISEASE
;
;
;DISEASE:BREAST_NEOPLASMS
;
;OTHER:ADENOTONSILLECTOMY
;DISEASE:ACUTE_LYMPHOBLASTIC_LEUKEMIA
;
;DISEASE:ACUTE_CORONARY_SYNDROME
;DISEASE:MOOD_DISORDER
;DISEASE:ACUTE_CORONARY_SYNDROME
;DISEASE:HEART_FAILURE
;DISEASE:HIV_INFECTIOUS_DISEASE
;DISEASE:ACUTE_LYMPHOBLASTIC_LEUKEMIA
;DISEASE:NEOPLASMS
;DISEASE:HIV_INFECTIOUS_DISEASE
;DISEASE:RECTAL_NEOPLASMS
;DISEASE:NEOPLASMS
;
;DISEASE:NEOPLASMS
;
;
;
;DISEASE:ACUTE_LYMPHOBLASTIC_LEUKEMIA
;
;DISEASE:NEOPLASMS
;
;
;DISEASE:MAJOR_DEPRESSIVE_DISORDER
;DISEASE:BREAST_NEOPLASMS
;
;
;
;DISEASE:KIDNEY_TRANSPLANTATION
;
;DISEASE:MULTIPLE_SCLEROSIS
;OTHER:ATRIAL_FIBRILLATION
;DISEASE:KIDNEY_TRANSPLANTATION
;
;DISEASE:LIVER_TRANSPLANTATION
;DISEASE:ASTHMA
;
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:CAROTID_ARTERY_DISEASES
;DISEASE:CORONARY_ARTERY_DISEASE
;DISEASE:HEPATITIS_B_VIRUS_INFECTION
;
;DISEASE:LIVER_TRANSPLANTATION
;DISEASE:HEAD_AND_NECK_NEOPLASMS
;DISEASE:LIVER_TRANSPLANTATION
;
;DISEASE:CYSTIC_FIBROSIS
;
;DISEASE:CORONARY_ARTERY_DISEASE
;DISEASE:SCHIZOPHRENIA
;
;DISEASE:SCHIZOPHRENIA
;DISEASE:HIV_INFECTIOUS_DISEASE
;
;
;DISEASE:LIVER_TRANSPLANTATION
;
;DISEASE:CYSTIC_FIBROSIS
;DISEASE:FUNGAL_INFECTIOUS_DISEASE
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:COLORECTAL_NEOPLASMS
;DISEASE:KIDNEY_TRANSPLANTATION
;
;DISEASE:TRANSPLANTATION
;DISEASE:CYSTIC_FIBROSIS
;DISEASE:SCHIZOPHRENIA
;DISEASE:ULCERATIVE_COLITIS
;DISEASE:ACUTE_CORONARY_SYNDROME
;DISEASE:CORONARY_ARTERY_DISEASE
;
;DISEASE:HEART_FAILURE
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:PSYCHOTIC_DISORDER
;
;
;
;
;
;
;DISEASE:HELICOBACTER_INFECTIONS
;DISEASE:HELICOBACTER_INFECTIONS
;
;
;DISEASE:KIDNEY_TRANSPLANTATION
;
;DISEASE:KIDNEY_TRANSPLANTATION
;
;DISEASE:HELICOBACTER_INFECTIONS
;DISEASE:COLORECTAL_NEOPLASMS, DISEASE:GASTROINTESTINAL_NEOPLASMS,DISEASE:RECTAL_NEOPLASMS
;DISEASE:HIV_INFECTIOUS_DISEASE
;DISEASE:HELICOBACTER_INFECTIONS
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:HELICOBACTER_INFECTIONS
;OTHER:HEART_TRANSPLANTATION
;DISEASE:HEAD_AND_NECK_NEOPLASMS
;DISEASE:HELICOBACTER_INFECTIONS
;DISEASE:CORONARY_ARTERY_DISEASE
;DISEASE:CORONARY_ARTERY_DISEASE
;OTHER:HEART_TRANSPLANTATION
;
;DISEASE:HELICOBACTER_INFECTIONS
;DISEASE:HELICOBACTER_INFECTIONS
;
;DISEASE:ULCERATIVE_COLITIS
;DISEASE:LIVER_TRANSPLANTATION
;
;DISEASE:URINARY_BLADDER_NEOPLASMS
;DISEASE:HELICOBACTER_INFECTIONS
;
;
;
;DISEASE:SICKLE_CELL_ANEMIA
;DISEASE:SICKLE_CELL_ANEMIA
;DISEASE:RHEUMATOID_ARTHRITIS
;DISEASE:SICKLE_CELL_ANEMIA
;DISEASE:SICKLE_CELL_ANEMIA
;DISEASE:STROKE
;DISEASE:SICKLE_CELL_ANEMIA
;
;DISEASE:RHEUMATOID_ARTHRITIS
;DISEASE:MENTAL_DISORDERS
;DISEASE:KIDNEY_TRANSPLANTATION
;DISEASE:HYPERLIPIDEMIAS
;
;
;
;DISEASE:MENTAL_DISORDERS
;DISEASE:MENTAL_DISORDERS
;DISEASE:RECTAL_NEOPLASMS
;DISEASE:MENTAL_DISORDERS
;DISEASE:HELICOBACTER_INFECTIONS
;
;DISEASE:HELICOBACTER_INFECTIONS
;DISEASE:HELICOBACTER_INFECTIONS
;DISEASE:HEART_FAILURE
;DISEASE:HELICOBACTER_INFECTIONS
;
;
