ATC;COD_ATC;Descripcion;;;;;;
3;A02A;ANTIACIDOS;;;;;;
4;A02AA;COMPUESTOS DE MAGNESIO (ANTIACIDOS);;;;;;
5;A02AA04;MAGNESIO HIDROXIDO;;;;;;
5;A02AA05;MAGNESIO TRISILICATO;;;;;;
5;A02AA91;MAGNESIO POLIGALACTURONATO;;;;;;
5;A02AA94;MAGNESIO POLIGALACTURONATO;;;;;;
4;A02AB;COMPUESTOS DE ALUMINIO (ANTIACIDOS);;;;;;
5;A02AB02;ALGELDRATO;;;;;;
5;A02AB03;ALUMINIO FOSFATO;;;;;;
5;A02AB04;CARBONATO DE DIHIDROXIALUMINIO SODICO;;;;;;
5;A02AB06;ALOGLUTAMOL;;;;;;
5;A02AB07;ALUMINIO GLICINATO;;;;;;
5;A02AB91;ALUMINIO ACEGLUTAMIDA;;;;;;
4;A02AD;ASOCIACIONES Y COMPL. DE COMP. DE ALUMINIO, CALCIO Y MAGNESI;;;;;;
5;A02AD01;SALES ORDINARIAS EN ASOCIACION (ANTIACIDOS);;;;;;
5;A02AD02;MAGALDRATO;;;;;;
5;A02AD03;ALMAGATO;;;;;;
5;A02AD04;HIDROTALCITA;;;;;;
5;A02AD05;ALMASILATO;;;;;;
5;A02ADNE;ASOCIACIONES Y COMPL. DE COMP. DE ALUMINIO, CALCIO Y MAGNESI NE;;;;;;
4;A02AF;ANTIACIDOS ASOCIADOS A ANTIFLATULENTOS;;;;;;
5;A02AF02;ANTIACIDOS ASOCIADOS A ANTIFLATULENTOS;;;;;;
4;A02AG;ANTIACIDOS CON ANTIESPASMODICOS;;;;;;
5;A02AGNE;ANTIACIDOS CON ANTIESPASMODICOS NE;;;;;;
4;A02AH;ANTIACIDOS CON BICARBONATO SODICO;;;;;;
5;A02AH91;SODIO BICARBONATO;;;;;;
5;A02AHNE;ANTIACIDOS CON BICARBONATO SODICO NE;;;;;;
4;A02AX;OTRAS ASOCIACIONES DE ANTIACIDOS;;;;;;
5;A02AX91;MAGNESIO HIDROX+CALCIO CARB+FAMOTIDINA;;;;;;
5;A02AXNE;OTRAS ASOCIACIONES DE ANTIACIDOS NE;;;;;;
3;A02B;MEDICAMENTOS PARA ULCERA PEPTICA Y REFLUJO;;;;;;
4;A02BA;ANTAGONISTAS RECEPTORES H2 (ANTIULCERA PEPTICA);;;;;;
5;A02BA01;CIMETIDINA;;;;;;
5;A02BA02;RANITIDINA;;;;;;
5;A02BA03;FAMOTIDINA;;;;;;
5;A02BA04;NIZATIDINA;;;;;;
5;A02BA06;ROXATIDINA;;;;;;
5;A02BA07;RANITIDINA BISMUTO CITRATO;;;;;;
5;A02BA91;EBROTIDINA;;;;;;
4;A02BB;PROSTAGLANDINAS (ANTIULCERA PEPTICA);;;;;;
5;A02BB01;MISOPROSTOL;;;;;;
4;A02BC;INHIBIDORES DE LA BOMBA DE PROTONES (ANTIULCERA PEPTICA);;;;;;
5;A02BC01;OMEPRAZOL;;;;;;
5;A02BC02;PANTOPRAZOL;;;;;;
5;A02BC03;LANSOPRAZOL;;;;;;
5;A02BC04;RABEPRAZOL;;;;;;
5;A02BC05;ESOMEPRAZOL;;;;;;
5;A02BC06;Dexlansoprazol;;;;;;
5;A02BCNE;INHIBIDORES DE LA BOMBA DE PROTONES (ANTIULCERA PEPTICA) NE;;;;;;
4;A02BD;ASOCIACIONES PARA LA ERRADICACION DE H. PILORI;;;;;;
5;A02BD01;OMEPRAZOL+AMOXICILINA+METRONIDAZOL;;;;;;
5;A02BD02;LANSOPRAZOL+TETRACICLINA+METRONIDAZOL;;;;;;
5;A02BD03;LANSOPRAZOL+AMOXICILINA+METRONIDAZOL;;;;;;
5;A02BD04;PANTOPRAZOL+AMOXICILINA+CLARITROMICINA;;;;;;
5;A02BD05;OMEPRAZOL+AMOXICILINA+CLARITROMICINA;;;;;;
5;A02BD07;LANSOPRAZOL+AMOXICILINA+CLARITROMICINA;;;;;;
5;A02BD08;BISMUTO SUBCITRATO + TETRACICLINA + METRONIDAZOL;;;;;;
4;A02BX;OTROS ANTIULCERA PEPTICA Y REFLUJO GASTROESOFAGICO;;;;;;
5;A02BX01;CARBENOXOLONA;;;;;;
5;A02BX02;SUCRALFATO;;;;;;
5;A02BX03;PIRENZEPINA;;;;;;
5;A02BX05;BISMUTO SUBCITRATO;;;;;;
5;A02BX06;PROGLUMIDA;;;;;;
5;A02BX07;GEFARNATO;;;;;;
5;A02BX13;ALGINICO ACIDO;;;;;;
5;A02BX57;GEFARNATO EN ASOCIACION;;;;;;
5;A02BX91;ZINC ACEXAMATO;;;;;;
5;A02BX92;DOSMALFATO;;;;;;
5;A02BXNE;OTROS ANTIULCERA PEPTICA Y REFLUJO GASTROESOFAGICO NE;;;;;;
2;A03;MEDICAMENTOS PARA TRASTORNOS FUNCIONALES GASTROINTESTINALES;;;;;;
3;A03A;MEDICAMENTOS PARA TRASTORNOS FUNCIONALES INTESTINALES;;;;;;
4;A03AA;ANTICOLINERGICOS SINTETICOS, AMONIO TERCIARIO;;;;;;
5;A03AA04;MEBEVERINA;;;;;;
5;A03AA05;TRIMEBUTINA;;;;;;
5;A03AA07;DICICLOVERINA;;;;;;
4;A03AB;ANTICOLINERGICOS SINTETICOS, AMONIO CUATERNARIO;;;;;;
5;A03AB02;GLICOPIRRONIO;;;;;;
5;A03AB06;OTILONIO BROMURO;;;;;;
5;A03AB21;FENPIVERINIO;;;;;;
4;A03AD;PAPAVERINA Y DERIVADOS;;;;;;
5;A03AD01;PAPAVERINA;;;;;;
4;A03AE;ANTIESPASMODIC/ANTICOLINERGIC ACCION RECEPTORES SEROTONINA;;;;;;
5;A03AE01;ALOSETRON;;;;;;
5;A03AE02;TEGASEROD;;;;;;
5;A03AE03;CILANSETRON;;;;;;
5;A03AE04;PRUCALOPRIDE;;;;;;
4;A03AX;OTROS MEDIC.PADECIMIENTOS FUNCIONALES DEL ESTOMAGO;;;;;;
5;A03AX04;PINAVERIO BROMURO;;;;;;
5;A03AX07;PROXAZOL;;;;;;
5;A03AX13;SILICONAS;;;;;;
5;A03AXNE;OTROS MEDIC.PADECIMIENTOS FUNCIONALES DEL ESTOMAGO NE;;;;;;
3;A03B;BELLADONA Y DERIVADOS SOLOS;;;;;;
4;A03BA;ALCALOIDES DE BELLADONA, AMINAS TERCIARIAS;;;;;;
5;A03BA01;ATROPINA;;;;;;
4;A03BB;ALCALOIDES SEMISINTETICOS BELLADONA, AMINAS CUATERNARIAS;;;;;;
5;A03BB01;BUTILESCOPOLAMINA BROMURO;;;;;;
5;A03BB91;OCTATROPINA METILBROMURO;;;;;;
3;A03C;ANTIESPASMODICOS EN ASOCIACION CON PSICOLEPTICOS;;;;;;
4;A03CB;DERIVADOS DE LA BELLADONA ASOCIADOS A PSICOLEPTICO;;;;;;
5;A03CB01;METILESCOPOLAMINA ASOC. A PSICOLEPTICO;;;;;;
5;A03CB03;ATROPINA ASOC. A PSICOLEPTICO;;;;;;
5;A03CB04;METILHOMATROPINA ASOC. A PSICOLEPTICO;;;;;;
3;A03D;ANTIESPASMODICOS EN ASOCIACION CON ANALGESICOS;;;;;;
4;A03DA;ANTICOLINERGICOS SINTETICOS ASOCIADOS A ANALGESICOS;;;;;;
5;A03DA02;PITOFENONA ASOC. A ANALGESICO;;;;;;
5;A03DA91;DROFENINA ASOC. A ANALGESICO;;;;;;
5;A03DA92;OCTATROPINA METILBROMURO+ANAGESICO;;;;;;
4;A03DB;BELLADONA Y DERIVADOS CON ANALGESICOS;;;;;;
5;A03DB04;BUTILESCOPOLAMINA BROMURO+ANALGESICO;;;;;;
5;A03DB91;ATROPINA ASOC. A ANALGESICO;;;;;;
5;A03DB92;ATROPINA+PAPAVERINA ASOC. A ANALGESICO;;;;;;
4;A03DC;OTROS ANTIESPASMODICOS ASOCIADOS A ANALGESICOS;;;;;;
5;A03DC91;PAPAVERINA ASOC. A ANALGESICO;;;;;;
5;A03DC92;PRAMIVERINA ASOC. A ANALGESICO;;;;;;
3;A03E;ANTIESPASM. Y ANTICOLINERG. ASOC. A OTRAS SUSTANC.;;;;;;
4;A03ED;ANTIESPASMODICOS ASOCIADOS A OTRAS SUSTANCIAS;;;;;;
5;A03ED91;PAPAVERINA+MAGNESIO SULFATO;;;;;;
5;A03ED92;BUTILESCOPOLAMINA BROMURO+METOCLOPRAMIDA;;;;;;
5;A03ED93;METILESCOPOLAMINA ASOC. A OTRAS SUSTANCIAS;;;;;;
3;A03F;PROPULSIVOS;;;;;;
4;A03FA;PROPULSIVOS;;;;;;
5;A03FA01;METOCLOPRAMIDA;;;;;;
5;A03FA02;CISAPRIDA;;;;;;
5;A03FA03;DOMPERIDONA;;;;;;
5;A03FA04;BROMOPRIDA;;;;;;
5;A03FA05;ALIZAPRIDA;;;;;;
5;A03FA06;CLEBOPRIDA;;;;;;
5;A03FA08;Cinitaprida;;;;;;
5;A03FA51;METOCLOPRAMIDA EN ASOCIACION;;;;;;
5;A03FA56;CLEBOPRIDA EN ASOCIACION;;;;;;
5;A03FA91;CINITAPRIDA;;;;;;
5;A03FANE;PROPULSIVOS NE;;;;;;
2;A04;ANTIEMETICOS Y ANTINAUSEANTES;;;;;;
3;A04A;ANTIEMETICOS Y ANTINAUSEANTES;;;;;;
4;A04AA;ANTAGONISTAS DE LA SEROTONINA (ANTIEMETICOS);;;;;;
5;A04AA01;ONDANSETRON;;;;;;
5;A04AA02;GRANISETRON;;;;;;
5;A04AA03;TROPISETRON;;;;;;
5;A04AA04;DOLASETRON;;;;;;
5;A04AA05;PALONOSETRON;;;;;;
5;A04AA55;Palonosetron, combinaciones;;;;;;
4;A04AD;OTROS ANTIEMETICOS;;;;;;
5;A04AD01;ESCOPOLAMINA (HIOSCINA);;;;;;
5;A04AD02;CERIO OXALATO;;;;;;
5;A04AD05;METOPIMAZINA;;;;;;
5;A04AD10;DRONABINOL;;;;;;
5;A04AD11;NABILONA;;;;;;
5;A04AD12;APREPITANT;;;;;;
5;A04AD13;CASOPITANT;;;;;;
5;A04AD14; Rolapitant;;;;;;
5;A04AD91;LEVOSULPIRIDA;;;;;;
5;A04AD93;DIXIRAZINA EN ASOCIACION;;;;;;
5;A04AD95;LOBULO ANTERIOR HIPOFISIS EXTO;;;;;;
5;A04AD96;ALCALOIDES BELLADONA EN ASOCIACION;;;;;;
5;A04AD97;CORTEZA SUPRARRENAL EN ASOCIACION;;;;;;
5;A04ADNE;OTROS ANTIEMETICOS NE;;;;;;
2;A05;TERAPIA BILIAR Y HEPATICA;;;;;;
3;A05A;TERAPIA BILIAR;;;;;;
4;A05AA;PREPARADOS DE ACIDOS BILIARES;;;;;;
5;A05AA01;QUENODESOXICOLICO ACIDO;;;;;;
5;A05AA02;URSODESOXICOLICO ACIDO;;;;;;
5;A05AA03;ACIDO COLICO;;;;;;
5;A05AA04; Acido obeticolico;;;;;;
4;A05AX;OTROS MEDICAMENTOS PARA LA TERAPIA BILIAR;;;;;;
5;A05AX02;HIMECROMONA;;;;;;
5;A05AX53;CICLOBUTIROL EN ASOCIACION;;;;;;
5;A05AX91;DIMECROTICO ACIDO;;;;;;
5;A05AX92;EMODINA EN ASOCIACION;;;;;;
5;A05AXNE;OTROS MEDICAMENTOS PARA LA TERAPIA BILIAR NE;;;;;;
3;A05B;TERAPIA HEP�TICA, LIPOTR�PICOS;;;;;;
4;A05BA;TERAPIA HEPATICA;;;;;;
5;A05BA03;SILIMARINA;;;;;;
5;A05BANE;TERAPIA HEPATICA NE;;;;;;
3;A05C;TERAPIA BILIAR Y LIPOTROPICOS EN ASOCIACION;;;;;;
4;A05CA;TERAPIA BILIAR Y LIPOTROPICOS EN ASOCIACION;;;;;;
5;A05CA91;TERAPIA BILIAR Y LIPOTROPICOS EN ASOCIACION;;;;;;
4;A05CN;TERAPIA BILIAR Y LIPOTROPICOS EN ASOCIACION NE;;;;;;
5;A05CNNE;TERAPIA BILIAR Y LIPOTROPICOS EN ASOCIACION NE NE;;;;;;
2;A06;LAXANTES;;;;;;
3;A06A;LAXANTES;;;;;;
4;A06AA;LAXANTES LUBRICANTES Y EMOLIENTES;;;;;;
5;A06AA01;PARAFINA LIQUIDA;;;;;;
5;A06AA02;DOCUSATO SODICO;;;;;;
5;A06AA51;PARAFINA FLUIDA EN ASOCIACION;;;;;;
4;A06AB;LAXANTES DE CONTACTO;;;;;;
5;A06AB01;OXIFENISATINA;;;;;;
5;A06AB02;BISACODILO;;;;;;
5;A06AB04;FENOFTALEINA;;;;;;
5;A06AB05;ACEITE DE RICINO;;;;;;
5;A06AB06;SENOSIDOS A-B;;;;;;
5;A06AB07;CASCARA;;;;;;
5;A06AB08;SODIO PICOSULFATO;;;;;;
5;A06AB20;LAXANTES DE CONTACTO EN ASOCIACION;;;;;;
5;A06AB30;LAXANTES DE CONTACTO ASOCIADOS A ALCALOIDES BELLADONA;;;;;;
5;A06AB56;SENOSIDOS EN ASOCIACION;;;;;;
5;A06AB57;CASCARA SAGRADA EN ASOCIACION;;;;;;
5;A06AB58;PICOSULFATO SODICO EN ASOCIACION;;;;;;
5;A06ABNE;LAXANTES DE CONTACTO NE;;;;;;
4;A06AC;LAXANTES INCREMENTADORES DEL BOLO INTESTINAL;;;;;;
5;A06AC01;ISPAGHULA;;;;;;
5;A06AC03;STERCULIA;;;;;;
5;A06AC06;METILCELULOSA;;;;;;
5;A06AC08;POLICARBOFIL CALCICO;;;;;;
5;A06AC51;ISPAGHULA EN ASOCIACION;;;;;;
5;A06ACNE;LAXANTES INCREMENTADORES DEL BOLO INTESTINAL NE;;;;;;
4;A06AD;LAXANTES OSMOTICOS;;;;;;
5;A06AD10;SALES DE MAGNESIO EN ASOCIACION;;;;;;
5;A06AD11;LACTULOSA;;;;;;
5;A06AD12;LACTITOL;;;;;;
5;A06AD13;SODIO SULFATO;;;;;;
5;A06AD15;MACROGOL;;;;;;
5;A06AD16;MANITOL;;;;;;
5;A06AD17;SODIO FOSFATO;;;;;;
5;A06AD18;SORBITOL;;;;;;
5;A06AD65;MACROGOL EN ASOCIACION;;;;;;
5;A06AD91;MAGNESIO HIDROXIDO;;;;;;
5;A06AD92;SALES DE MAGNESIO ASOC A MANITOL;;;;;;
5;A06ADNE;LAXANTES OSMOTICOS NE;;;;;;
4;A06AG;ENEMAS;;;;;;
5;A06AG01;SODIO FOSFATO;;;;;;
5;A06AG04;GLICEROL;;;;;;
5;A06AG10;DOCUSATO DE SODIO;;;;;;
5;A06AG11;LAURILSULFATO, INCLUIDO ASOCIACIONES;;;;;;
5;A06AG20;Enemas, combinaciones con;;;;;;
5;A06AG91;ENEMA SOLUCION FISIOLOGICA;;;;;;
5;A06AGNE;ENEMAS NE;;;;;;
4;A06AH;ANTAGONISTAS PERIFERICOS DE LOS RECEPTORES OPIACEOS;;;;;;
5;A06AH01;METILNALTREXONA BROMURO;;;;;;
5;A06AH02;ALVIMOPAN;;;;;;
5;A06AH03;Naloxegol;;;;;;
5;A06AHNE;ANTAGONISTAS PERIFERICOS DE LOS RECEPTORES OPIACEOS NE;;;;;;
4;A06AN;LAXANTES NE;;;;;;
5;A06ANNE;LAXANTES NE NE;;;;;;
4;A06AX;OTROS LAXANTES;;;;;;
5;A06AX01;GLICEROL;;;;;;
5;A06AX03;Lubiprostona;;;;;;
5;A06AX04;Limeclotida;;;;;;
5;A06AX05;Prucaloprida;;;;;;
5;A06AXNE;OTROS LAXANTES NE;;;;;;
2;A07;ANTIDIARREICOS, ANTIINFECC./ANTINFL.INTESTINALES;;;;;;
3;A07A;ANTIINFECCIOSOS INTESTINALES;;;;;;
4;A07AA;ANTIBIOTICOS (ANTIINFECCIOSOS INTESTINALES);;;;;;
5;A07AA01;NEOMICINA;;;;;;
5;A07AA02;NISTATINA;;;;;;
5;A07AA05;POLIMIXINA B;;;;;;
5;A07AA06;PAROMOMICINA;;;;;;
5;A07AA09;VANCOMICINA;;;;;;
5;A07AA10;COLISTINA;;;;;;
5;A07AA11;RIFAXIMINA;;;;;;
5;A07AA12;Fidaxomicina;;;;;;
5;A07AA51;NEOMICINA EN ASOCIACION;;;;;;
5;A07AA56;PAROMOMICINA EN ASOCIACION;;;;;;
5;A07AA91;DIHIDROESTREPTOMICINA;;;;;;
5;A07AANE;ANTIBIOTICOS (ANTIINFECCIOSOS INTESTINALES) NE;;;;;;
4;A07AX;OTROS ANTINFECCIOSOS INTESTINALES;;;;;;
5;A07AXNE;OTROS ANTINFECCIOSOS INTESTINALES NE;;;;;;
3;A07B;ADSORBENTES INTESTINALES;;;;;;
4;A07BA;PREPARADOS DE CARBON;;;;;;
5;A07BA01;CARBON ACTIVADO MEDICINAL;;;;;;
4;A07BC;OTROS ADSORBENTES INTESTINALES;;;;;;
5;A07BC01;PECTINA;;;;;;
5;A07BC05;DIOSMECTITA;;;;;;
5;A07BCNE;OTROS ADSORBENTES INTESTINALES NE;;;;;;
3;A07C;ELECTROLITOS CON CARBOHIDRATOS;;;;;;
4;A07CA;FORMULACIONES DE SALES PARA REHIDRATACION ORAL;;;;;;
5;A07CA91;SALES PARA REHIDRATACION ORAL;;;;;;
5;A07CANE;FORMULACIONES DE SALES PARA REHIDRATACION ORAL NE;;;;;;
3;A07D;ANTIPROPULSIVOS;;;;;;
4;A07DA;ANTIPROPULSIVOS;;;;;;
5;A07DA01;DIFENOXILATO;;;;;;
5;A07DA02;OPIO EXTO;;;;;;
5;A07DA03;LOPERAMIDA;;;;;;
5;A07DA06; Eluxadolina;;;;;;
5;A07DA52;OPIO EXTO. EN ASOCIACION;;;;;;
5;A07DA53;LOPERAMIDA EN ASOCIACION;;;;;;
5;A07DA91;ETILMORFINA EN ASOCIACION;;;;;;
5;A07DANE;ANTIPROPULSIVOS NE;;;;;;
3;A07E;ANTIINFLAMATORIOS INTESTINALES;;;;;;
4;A07EA;CORTICOSTEROIDES ACCION LOCAL (ANTIINFLAMAT.INTESTINALES);;;;;;
5;A07EA05;TIXOCORTOL;;;;;;
5;A07EA06;BUDESONIDA;;;;;;
5;A07EA07;BECLOMETASONA;;;;;;
5;A07EA91;TRIAMCINOLONA;;;;;;
4;A07EB;ANTIALERGICOS (ANTIINFLAMATORIOS INTESTINALES);;;;;;
5;A07EB01;CROMOGLICICO ACIDO;;;;;;
4;A07EC;ACIDO AMINOSALICILICO Y DERIVADOS (ANTIINFLAMAT.INTEST.);;;;;;
5;A07EC01;SULFASALAZINA;;;;;;
5;A07EC02;MESALAZINA;;;;;;
5;A07EC03;OLSALAZINA;;;;;;
5;A07EC04;BALSALAZIDA;;;;;;
3;A07F;MICROORGANISMOS ANTIDIARREICOS;;;;;;
4;A07FA;MICROORGANISMOS ANTIDIARREICOS;;;;;;
5;A07FA01;MICROORGANISMOS PRODUCT. ACIDO LACTICO;;;;;;
5;A07FA02;SACCHAROMYCES BOULARDII;;;;;;
5;A07FA51;MICROORGANISMOS PRODUCTORES ACIDO LACTICO EN ASOCIACION;;;;;;
3;A07X;OTROS ANTIDIARREICOS;;;;;;
4;A07XA;OTROS ANTIDIARREICOS;;;;;;
5;A07XA01;TANATO ALBUMINA;;;;;;
5;A07XA04;RACECADOTRILO;;;;;;
5;A07XA05; TELOTRISTAT;;;;;;
2;A08;PREPARADOS CONTRA LA OBESIDAD, EXCLUIDOS DIETETICOS;;;;;;
3;A08A;PREPARADOS CONTRA LA OBESIDAD, EXCLUIDOS DIETETICOS;;;;;;
4;A08AA;PREPARADOS CONTRA LA OBESIDAD DE ACCION SOBRE EL SNC;;;;;;
5;A08AA02;FENFLURAMINA;;;;;;
5;A08AA03;AMFEPRAMONA;;;;;;
5;A08AA04;Dexfenfluramina;;;;;;
5;A08AA05;MAZINDOL;;;;;;
5;A08AA08;CLOBENZOREX;;;;;;
5;A08AA10;SIBUTRAMINA;;;;;;
5;A08AA62;Bupropion y naltrexona;;;;;;
5;A08AANE;PREPARADOS CONTRA LA OBESIDAD DE ACCION SOBRE EL SNC NE;;;;;;
4;A08AB;PREPARADOS CONTRA LA OBESIDAD DE ACCION PERIFERICA;;;;;;
5;A08AB01;ORLISTAT;;;;;;
4;A08AX;OTROS PREPARADOS CONTRA LA OBESIDAD;;;;;;
5;A08AX01;RIMONABANT;;;;;;
5;A08AXNE;OTROS PREPARADOS CONTRA LA OBESIDAD NE;;;;;;
2;A09;DIGESTIVOS, INCLUIDOS ENZIMAS;;;;;;
3;A09A;DIGESTIVOS, INCLUIDOS ENZIMAS;;;;;;
4;A09AA;ENZIMAS DIGESTIVOS;;;;;;
5;A09AA02;MULTIENZIMAS (LIPASA,PROTEASA,AMILASA);;;;;;
5;A09AA04;TILACTASE;;;;;;
5;A09AA52;MULTIENZIMAS ASOC. A OTRAS SUSTANCIAS;;;;;;
5;A09AA91;PAPAINA;;;;;;
5;A09AA93;PANCREAS EXTO SECO;;;;;;
5;A09AANE;ENZIMAS DIGESTIVOS NE;;;;;;
4;A09AC;ASOCIACIONES DE ENZIMAS Y ACIDOS;;;;;;
5;A09AC01;PEPSINA EN ASOCIACION CON ACIDOS;;;;;;
5;A09ACNE;ASOCIACIONES DE ENZIMAS Y ACIDOS NE;;;;;;
2;A10;ANTIDIABETICOS;;;;;;
3;A10A;INSULINAS Y ANALOGOS;;;;;;
4;A10AB;INSULINAS Y ANALOGOS DE ACCION RAPIDA PARA INYECCION;;;;;;
5;A10AB01;INSULINA HUMANA ACCION RAPIDA;;;;;;
5;A10AB02;INSULINA TERNERA ACCION RAPIDA;;;;;;
5;A10AB03;INSULINA CERDO ACCION RAPIDA;;;;;;
5;A10AB04;INSULINA LISPRO ACCION RAPIDA;;;;;;
5;A10AB05;INSULINA ASPART ACCION RAPIDA;;;;;;
5;A10AB06;INSULINA GLULISINA;;;;;;
5;A10AB30;INSULINAS EN ASOCIACION ACCION RAPIDA;;;;;;
4;A10AC;INSULINAS Y ANALOGOS ACCION INTERMEDIA PARA INYECCION;;;;;;
5;A10AC01;INSULINA HUMANA ACCION INTERMEDIA;;;;;;
5;A10AC02;INSULINA TERNERA ACCION INTERMEDIA;;;;;;
5;A10AC03;INSULINA CERDO ACCION INTERMEDIA;;;;;;
5;A10AC04;INSULINA LISPRO ACCION INTERMEDIA;;;;;;
5;A10AC30;INSULINAS EN ASOCIACION ACCION INTERMEDIA;;;;;;
4;A10AD;INSULINAS Y ANALOGOS ACCION INTERMEDIA+RAPIDA PARA INYECCION;;;;;;
5;A10AD01;INSULINA HUMANA ACCION INTERMEDIA+RAPIDA;;;;;;
5;A10AD02;INSULINA TERNERA ACCION INTERMEDIA+RAPIDA;;;;;;
5;A10AD03;INSULINA CERDO ACCION INTERMEDIA+RAPIDA;;;;;;
5;A10AD04;INSULINA LISPRO ACCION INTERMEDIA+RAPIDA;;;;;;
5;A10AD05;INSULINA ASPART ACCION INTERMEDIA+RAPIDA;;;;;;
5;A10AD06; Insulina degludec e insulina asparta;;;;;;
5;A10AD30;INSULINAS EN ASOCIACION ACCION INTERMEDIA+RAPIDA;;;;;;
4;A10AE;INSULINAS Y ANALOGOS ACCION LENTA PARA INYECCION;;;;;;
5;A10AE01;INSULINA HUMANA ACCION LENTA;;;;;;
5;A10AE02;INSULINA TERNERA ACCION LENTA;;;;;;
5;A10AE03;INSULINA CERDO ACCION LENTA;;;;;;
5;A10AE04;INSULINA GLARGINA ACCION LENTA;;;;;;
5;A10AE05;INSULINA DETEMIR;;;;;;
5;A10AE06;Insulina degludec;;;;;;
5;A10AE30;INSULINAS EN ASOCIACION ACCION LENTA;;;;;;
5;A10AE54; Insulina glargina y lixisenatida;;;;;;
5;A10AE56; Insulina Degludec y Liraglutida;;;;;;
5;A10AENE;INSULINAS Y ANALOGOS ACCION LENTA PARA INYECCION NE;;;;;;
4;A10AF;INSULINAS Y ANALOGOS PARA INHALACION;;;;;;
5;A10AF01;INSULINA INHALADA HUMANA;;;;;;
3;A10B;ANTIDIABETICOS ORALES, EXCL. INSULINAS;;;;;;
4;A10BA;BIGUANIDAS (ANTIDIABETICOS ORALES);;;;;;
5;A10BA01;FENFORMINA;;;;;;
5;A10BA02;METFORMINA;;;;;;
5;A10BA03;BUFORMINA;;;;;;
4;A10BB;SULFONILUREAS (ANTIDIABETICOS ORALES);;;;;;
5;A10BB01;GLIBENCLAMIDA;;;;;;
5;A10BB02;CLORPROPAMIDA;;;;;;
5;A10BB03;TOLBUTAMIDA;;;;;;
5;A10BB07;GLIPIZIDA;;;;;;
5;A10BB08;GLIQUIDONA;;;;;;
5;A10BB09;GLICLAZIDA;;;;;;
5;A10BB12;GLIMEPIRIDA;;;;;;
5;A10BB91;GLISENTIDA;;;;;;
5;A10BBNE;SULFONILUREAS (ANTIDIABETICOS ORALES) NE;;;;;;
4;A10BD;HIPOGLUCEMIANTES ORALES EN ASOCIACION;;;;;;
5;A10BD02;METFORMINA + GLIBENCAMIDA;;;;;;
5;A10BD03;METFORMINA + ROSIGLITAZONA;;;;;;
5;A10BD04;GLIMEPIRIDA + ROSIGLITAZONA;;;;;;
5;A10BD05;METFORMINA + PIOGLITAZONA;;;;;;
5;A10BD06;GLIMEPIRIDA + PIOGLITAZONA;;;;;;
5;A10BD07;METFORMINA + SITAGLIPTINA;;;;;;
5;A10BD08;METFORMINA + VILDAGLIPTINA;;;;;;
5;A10BD09;PIOGLITAZONA + ALOGLIPTINA;;;;;;
5;A10BD10;METFORMINA + SAXAGLIPTINA;;;;;;
5;A10BD11;Metformina y linagliptina;;;;;;
5;A10BD13;Metformina y Alogliptina;;;;;;
