ATC;Medicamento;Drug;Anatomico;Terapeutico;Farmacologico;Quimico
A02AF02;ANTIACIDOS ASOCIADOS A ANTIFLATULENTOS;ANTACIDS ASSOCIATED WITH ANTIFLATULENTS;A;A02;A02A;A02AF
A02AG;ANTIACIDOS CON ANTIESPASMODICOS;ANTACIDS WITH ANTISPASMODICS;A;A02;A02A;A02AG
A02AGNE;ANTIACIDOS CON ANTIESPASMODICOS NE;ANTACIDS WITH ANTISPASMODICS NE;A;A02;A02A;A02AG
A02AH;ANTIACIDOS CON BICARBONATO SODICO;ANTACIDS WITH SODIUM BICARBONATE;A;A02;A02A;A02AH
A02AH91;SODIO BICARBONATO;SODIUM BICARBONATE;A;A02;A02A;A02AH
A02AHNE;ANTIACIDOS CON BICARBONATO SODICO NE;ANTACIDS WITH SODIUM BICARBONATE NE;A;A02;A02A;A02AH
A02AX;OTRAS ASOCIACIONES DE ANTIACIDOS;OTHER ANTACID ASSOCIATIONS;A;A02;A02A;A02AX
A02AX91;MAGNESIO HIDROX+CALCIO CARB+FAMOTIDINA;MAGNESIUM HYDROX+CALCIUM CARB+FAMOTIDINE;A;A02;A02A;A02AX
A02AXNE;OTRAS ASOCIACIONES DE ANTIACIDOS NE;OTHER ANTACID ASSOCIATIONS NE;A;A02;A02A;A02AX
A02B;MEDICAMENTOS PARA ULCERA PEPTICA Y REFLUJO;MEDICINES FOR PEPTIC ULCER AND REFLUX;A;A02;A02B;
A02BA;ANTAGONISTAS RECEPTORES H2 (ANTIULCERA PEPTICA);H2 RECEPTOR ANTAGONISTS (ANTIPEPTIC ULCER);A;A02;A02B;A02BA
A02BA01;CIMETIDINA;CIMETIDINE;A;A02;A02B;A02BA
A02BA02;RANITIDINA;Ranitidine;A;A02;A02B;A02BA
A02BA03;FAMOTIDINA;FAMOTIDINE;A;A02;A02B;A02BA
A02BA04;NIZATIDINA;NIZATIDINE;A;A02;A02B;A02BA
A02BA06;ROXATIDINA;ROXATIDINE;A;A02;A02B;A02BA
A02BA07;RANITIDINA BISMUTO CITRATO;Ranitidine bismuth citrate;A;A02;A02B;A02BA
A02BA91;EBROTIDINA;EBROTIDINE;A;A02;A02B;A02BA
A02BB;PROSTAGLANDINAS (ANTIULCERA PEPTICA);PROSTAGLANDINS (ANTI-PEPTIC ULCER);A;A02;A02B;A02BB
A02BB01;MISOPROSTOL;MISOPROSTOL;A;A02;A02B;A02BB
A02BC;INHIBIDORES DE LA BOMBA DE PROTONES (ANTIULCERA PEPTICA);PROTON PUMP INHIBITORS (ANTIPEPTIC ULCER);A;A02;A02B;A02BC
A02BC01;OMEPRAZOL;OMEPRAZOL;A;A02;A02B;A02BC
A02BC02;PANTOPRAZOL;PANTOPRAZOLE;A;A02;A02B;A02BC
A02BC03;LANSOPRAZOL;LANSOPRAZOL;A;A02;A02B;A02BC
A02BC04;RABEPRAZOL;RABEPRAZOL;A;A02;A02B;A02BC
A02BC05;ESOMEPRAZOL;Esomeprazole;A;A02;A02B;A02BC
A02BC06;Dexlansoprazol;Dexlansoprazole;A;A02;A02B;A02BC
A02BCNE;INHIBIDORES DE LA BOMBA DE PROTONES (ANTIULCERA PEPTICA) NE;PROTON PUMP INHIBITORS (ANTIPEPTIC ULCER) NE;A;A02;A02B;A02BC
A02BD;ASOCIACIONES PARA LA ERRADICACION DE H. PILORI;ASSOCIATIONS FOR THE ERADICATION OF H. PILORI;A;A02;A02B;A02BD
A02BD01;OMEPRAZOL+AMOXICILINA+METRONIDAZOL;OMEPRAZOLE+AMOXICILLIN+METRONIDAZOLE;A;A02;A02B;A02BD
A02BD02;LANSOPRAZOL+TETRACICLINA+METRONIDAZOL;LANSOPRAZOLE+TETRACYCLINE+METRONIDAZOLE;A;A02;A02B;A02BD
A02BD03;LANSOPRAZOL+AMOXICILINA+METRONIDAZOL;LANSOPRAZOLE+AMOXICILLIN+METRONIDAZOLE;A;A02;A02B;A02BD
A02BD04;PANTOPRAZOL+AMOXICILINA+CLARITROMICINA;PANTOPRAZOLE+AMOXICILLIN+CLARITHROMYCIN;A;A02;A02B;A02BD
A02BD05;OMEPRAZOL+AMOXICILINA+CLARITROMICINA;OMEPRAZOLE+AMOXICILLIN+CLARITHROMYCIN;A;A02;A02B;A02BD
A02BD07;LANSOPRAZOL+AMOXICILINA+CLARITROMICINA;LANSOPRAZOLE+AMOXICILLIN+CLARITHROMYCIN;A;A02;A02B;A02BD
A02BD08;BISMUTO SUBCITRATO + TETRACICLINA + METRONIDAZOL;BISMUTH SUBCITRATE + TETRACYCLINE + METRONIDAZOLE;A;A02;A02B;A02BD
A02BX;OTROS ANTIULCERA PEPTICA Y REFLUJO GASTROESOFAGICO;OTHER ANTI-PEPTIC ULCER AND GASTROESOPHAGEAL REFLUX;A;A02;A02B;A02BX
A02BX01;CARBENOXOLONA;CARBENOXOLONE;A;A02;A02B;A02BX
A02BX02;SUCRALFATO;Sucralfate;A;A02;A02B;A02BX
A02BX03;PIRENZEPINA;PIRENZEPINE;A;A02;A02B;A02BX
A02BX05;BISMUTO SUBCITRATO;BISMUTH SUBCITRATE;A;A02;A02B;A02BX
A02BX06;PROGLUMIDA;PROGLUMIDE;A;A02;A02B;A02BX
A02BX07;GEFARNATO;GEFARNATO;A;A02;A02B;A02BX
A02BX13;ALGINICO ACIDO;ALGINIC ACID;A;A02;A02B;A02BX
A02BX57;GEFARNATO EN ASOCIACION;GEFARNATO IN ASSOCIATION;A;A02;A02B;A02BX
A02BX91;ZINC ACEXAMATO;ZINC ACEXAMATE;A;A02;A02B;A02BX
A02BX92;DOSMALFATO;DOSMALFATE;A;A02;A02B;A02BX
A02BXNE;OTROS ANTIULCERA PEPTICA Y REFLUJO GASTROESOFAGICO NE;OTHER ANTI-PEPTIC ULCER AND GASTROESOPHAGEAL REFLUX NE;A;A02;A02B;A02BX
A03;MEDICAMENTOS PARA TRASTORNOS FUNCIONALES GASTROINTESTINALES;MEDICINES FOR FUNCTIONAL GASTROINTESTINAL DISORDERS;A;A03;;
A03A;MEDICAMENTOS PARA TRASTORNOS FUNCIONALES INTESTINALES;MEDICINES FOR FUNCTIONAL INTESTINAL DISORDERS;A;A03;A03A;
A03AA;ANTICOLINERGICOS SINTETICOS, AMONIO TERCIARIO;SYNTHETIC ANTICHOLINERGICS, TERTIARY AMMONIUM;A;A03;A03A;A03AA
A03AA04;MEBEVERINA;MEBEVERINA;A;A03;A03A;A03AA
A03AA05;TRIMEBUTINA;TRIMEBUTINE;A;A03;A03A;A03AA
A03AA07;DICICLOVERINA;Dicycloverine;A;A03;A03A;A03AA
A03AB;ANTICOLINERGICOS SINTETICOS, AMONIO CUATERNARIO;SYNTHETIC ANTICHOLINERGICS, QUATERNARY AMMONIUM;A;A03;A03A;A03AB
A03AB02;GLICOPIRRONIO;GLYCOPYRRONIUM;A;A03;A03A;A03AB
A03AB06;OTILONIO BROMURO;OTILONIUM BROMIDE;A;A03;A03A;A03AB
A03AB21;FENPIVERINIO;FENPIVERINIUM;A;A03;A03A;A03AB
A03AD;PAPAVERINA Y DERIVADOS;Papaverine and derivatives;A;A03;A03A;A03AD
A03AD01;PAPAVERINA;PAPAVERINE;A;A03;A03A;A03AD
A03AE;ANTIESPASMODIC/ANTICOLINERGIC ACCION RECEPTORES SEROTONINA;ANTISPASMODIC/ANTICHOLINERGIC ACTION SEROTONIN RECEPTORS;A;A03;A03A;A03AE
A03AE01;ALOSETRON;ALOSETRON;A;A03;A03A;A03AE
A03AE02;TEGASEROD;TEGASEROD;A;A03;A03A;A03AE
A03AE03;CILANSETRON;CILANSETRON;A;A03;A03A;A03AE
A03AE04;PRUCALOPRIDE;PRUCALOPRIDE;A;A03;A03A;A03AE
A03AX;OTROS MEDIC.PADECIMIENTOS FUNCIONALES DEL ESTOMAGO;OTHER MEDIC. FUNCTIONAL STOMACH DISEASES;A;A03;A03A;A03AX
A03AX04;PINAVERIO BROMURO;PINAVERIUM BROMIDE;A;A03;A03A;A03AX
A03AX07;PROXAZOL;PROXAZOL;A;A03;A03A;A03AX
A03AX13;SILICONAS;SILICONES;A;A03;A03A;A03AX
A03AXNE;OTROS MEDIC.PADECIMIENTOS FUNCIONALES DEL ESTOMAGO NE;OTHER MEDIC.FUNCTIONAL STOMACH DISEASES NE;A;A03;A03A;A03AX
A03B;BELLADONA Y DERIVADOS SOLOS;BELLADONNA AND DERIVATIVES ALONE;A;A03;A03B;
A03BA;ALCALOIDES DE BELLADONA, AMINAS TERCIARIAS;BELLADONNA ALKALOIDS, TERTIARY AMINES;A;A03;A03B;A03BA
A03BA01;ATROPINA;ATROPINE;A;A03;A03B;A03BA
A03BB;ALCALOIDES SEMISINTETICOS BELLADONA, AMINAS CUATERNARIAS;SEMI-SYNTHETIC ALKALOIDS BELLADONNA, QUATERNARY AMINES;A;A03;A03B;A03BB
A03BB01;BUTILESCOPOLAMINA BROMURO;BUTYLSCOPOLAMINE BROMIDE;A;A03;A03B;A03BB
A03BB91;OCTATROPINA METILBROMURO;OCTATROPINE METHYLBROMIDE;A;A03;A03B;A03BB
A03C;ANTIESPASMODICOS EN ASOCIACION CON PSICOLEPTICOS;ANTISPASMODICS IN ASSOCIATION WITH PSYCHOLEPTICS;A;A03;A03C;
A03CB;DERIVADOS DE LA BELLADONA ASOCIADOS A PSICOLEPTICO;BELLADONNA DERIVATIVES ASSOCIATED WITH PSYCHOLEPTIC;A;A03;A03C;A03CB
A03CB01;METILESCOPOLAMINA ASOC. A PSICOLEPTICO;METHYLSCOPOLAMINA ASOC. A PSYCHOLEPTIC;A;A03;A03C;A03CB
A03CB03;ATROPINA ASOC. A PSICOLEPTICO;ATROPINE ASSOCIATED WITH PSYCHOLEPTIC;A;A03;A03C;A03CB
A03CB04;METILHOMATROPINA ASOC. A PSICOLEPTICO;METHYLHOMATROPINE ASOC. A PSYCHOLEPTIC;A;A03;A03C;A03CB
A03D;ANTIESPASMODICOS EN ASOCIACION CON ANALGESICOS;ANTISPASMODICS IN ASSOCIATION WITH ANALGESICS;A;A03;A03D;
A03DA;ANTICOLINERGICOS SINTETICOS ASOCIADOS A ANALGESICOS;SYNTHETIC ANTICHOLINERGICS ASSOCIATED WITH ANALGESICS;A;A03;A03D;A03DA
A03DA02;PITOFENONA ASOC. A ANALGESICO;PITOFENONE ASSOCIATED WITH ANALGESIC;A;A03;A03D;A03DA
A03DA91;DROFENINA ASOC. A ANALGESICO;DROFENINA ASSOCIATED WITH ANALGESIC;A;A03;A03D;A03DA
A03DA92;OCTATROPINA METILBROMURO+ANAGESICO;OCTATROPINE METHYLBROMIDE+ANAGESIC;A;A03;A03D;A03DA
A03DB;BELLADONA Y DERIVADOS CON ANALGESICOS;BELLADONNA AND DERIVATIVES WITH ANALGESICS;A;A03;A03D;A03DB
A03DB04;BUTILESCOPOLAMINA BROMURO+ANALGESICO;BUTYLESCOPOLAMINE BROMIDE+ANALGESIC;A;A03;A03D;A03DB
A03DB91;ATROPINA ASOC. A ANALGESICO;ATROPINE ASSOCIATED WITH ANALGESIC;A;A03;A03D;A03DB
A03DB92;ATROPINA+PAPAVERINA ASOC. A ANALGESICO;ATROPINE+PAPAVERINE ASOC. A ANALGESIC;A;A03;A03D;A03DB
A03DC;OTROS ANTIESPASMODICOS ASOCIADOS A ANALGESICOS;OTHER ANTISPASMODICS ASSOCIATED WITH ANALGESICS;A;A03;A03D;A03DC
A03DC91;PAPAVERINA ASOC. A ANALGESICO;Papaverine associated with analgesic;A;A03;A03D;A03DC
A03DC92;PRAMIVERINA ASOC. A ANALGESICO;PRAMIVERINA ASOC. A ANALGESIC;A;A03;A03D;A03DC
A03E;ANTIESPASM. Y ANTICOLINERG. ASOC. A OTRAS SUSTANC.;ANTISPASM. AND ANTICHOLINERG. ASSOCIATED WITH OTHER SUBSTANCES.;A;A03;A03E;
A03ED;ANTIESPASMODICOS ASOCIADOS A OTRAS SUSTANCIAS;ANTISPASMODICS ASSOCIATED WITH OTHER SUBSTANCES;A;A03;A03E;A03ED
A03ED91;PAPAVERINA+MAGNESIO SULFATO;PAPAVERINE+MAGNESIUM SULFATE;A;A03;A03E;A03ED
A03ED92;BUTILESCOPOLAMINA BROMURO+METOCLOPRAMIDA;Butylscopolamine bromide + metoclopramide;A;A03;A03E;A03ED
A03ED93;METILESCOPOLAMINA ASOC. A OTRAS SUSTANCIAS;METHYLESCOPOLAMINE ASSOCIATED WITH OTHER SUBSTANCES;A;A03;A03E;A03ED
A03F;PROPULSIVOS;PROPULSIVES;A;A03;A03F;
A03FA;PROPULSIVOS;PROPULSIVES;A;A03;A03F;A03FA
A03FA01;METOCLOPRAMIDA;Metoclopramide;A;A03;A03F;A03FA
A03FA02;CISAPRIDA;CISAPRIDE;A;A03;A03F;A03FA
A03FA03;DOMPERIDONA;DOMPERIDONE;A;A03;A03F;A03FA
A03FA04;BROMOPRIDA;BROMOPRIDE;A;A03;A03F;A03FA
A03FA05;ALIZAPRIDA;ALIZAPRIDE;A;A03;A03F;A03FA
A03FA06;CLEBOPRIDA;CLEBOPRIDE;A;A03;A03F;A03FA
A03FA08;Cinitaprida;CINITAPRIDA;A;A03;A03F;A03FA
A03FA51;METOCLOPRAMIDA EN ASOCIACION;METOCLOPRAMIDE IN ASSOCIATION;A;A03;A03F;A03FA
A03FA56;CLEBOPRIDA EN ASOCIACION;CLEBOPRIDA IN ASSOCIATION;A;A03;A03F;A03FA
A03FA91;CINITAPRIDA;CINITAPRIDA;A;A03;A03F;A03FA
A03FANE;PROPULSIVOS NE;NE PROPULSIVES;A;A03;A03F;A03FA
A04;ANTIEMETICOS Y ANTINAUSEANTES;ANTIEMETICS AND ANTINAUSEANTS;A;A04;;
A04A;ANTIEMETICOS Y ANTINAUSEANTES;ANTIEMETICS AND ANTINAUSEANTS;A;A04;A04A;
A04AA;ANTAGONISTAS DE LA SEROTONINA (ANTIEMETICOS);SEROTONIN ANTAGONISTS (ANTIEMETICS);A;A04;A04A;A04AA
A04AA01;ONDANSETRON;ONDANSETRON;A;A04;A04A;A04AA
A04AA02;GRANISETRON;GRANISETRON;A;A04;A04A;A04AA
A04AA03;TROPISETRON;TROPISETRON;A;A04;A04A;A04AA
A04AA04;DOLASETRON;DOLASETRON;A;A04;A04A;A04AA
A04AA05;PALONOSETRON;PALONOSETRON;A;A04;A04A;A04AA
A04AA55;Palonosetron, combinaciones;PALONOSETRON, COMBINATIONS;A;A04;A04A;A04AA
A04AD;OTROS ANTIEMETICOS;OTHER ANTI-EMETICS;A;A04;A04A;A04AD
A04AD01;ESCOPOLAMINA (HIOSCINA);SCOPOLAMINE (HYOSCINE);A;A04;A04A;A04AD
A04AD02;CERIO OXALATO;Cerium Oxalate;A;A04;A04A;A04AD
A04AD05;METOPIMAZINA;METOPIMAZINE;A;A04;A04A;A04AD
A04AD10;DRONABINOL;DRONABINOL;A;A04;A04A;A04AD
A04AD11;NABILONA;NABILONE;A;A04;A04A;A04AD
A04AD12;APREPITANT;APREPITANT;A;A04;A04A;A04AD
A04AD13;CASOPITANT;CASOPITANT;A;A04;A04A;A04AD
A04AD14; Rolapitant;ROLAPITANT;A;A04;A04A;A04AD
A04AD91;LEVOSULPIRIDA;LEVOSULPIRIDE;A;A04;A04A;A04AD
A04AD93;DIXIRAZINA EN ASOCIACION;DIXIRAZINE IN ASSOCIATION;A;A04;A04A;A04AD
A04AD95;LOBULO ANTERIOR HIPOFISIS EXTO;ANTERIOR LOBE EXTERIOR PYPOPHYSIS;A;A04;A04A;A04AD
A04AD96;ALCALOIDES BELLADONA EN ASOCIACION;BELLADONNA ALKALOIDS IN ASSOCIATION;A;A04;A04A;A04AD
A04AD97;CORTEZA SUPRARRENAL EN ASOCIACION;ADRENAL CORTEX IN ASSOCIATION;A;A04;A04A;A04AD
A04ADNE;OTROS ANTIEMETICOS NE;OTHER ANTI-EMETICS NE;A;A04;A04A;A04AD
A05;TERAPIA BILIAR Y HEPATICA;BILIARY AND LIVER THERAPY;A;A05;;
A05A;TERAPIA BILIAR;BILIARY THERAPY;A;A05;A05A;
A05AA;PREPARADOS DE ACIDOS BILIARES;BILE ACID PREPARATIONS;A;A05;A05A;A05AA
A05AA01;QUENODESOXICOLICO ACIDO;CHENODEOXYCHOLIC ACID;A;A05;A05A;A05AA
A05AA02;URSODESOXICOLICO ACIDO;URSODEOXYCHOLIC ACID;A;A05;A05A;A05AA
A05AA03;ACIDO COLICO;Cholic acid;A;A05;A05A;A05AA
A05AA04; Acido obeticolico;OBETICHOLIC ACID;A;A05;A05A;A05AA
A05AX;OTROS MEDICAMENTOS PARA LA TERAPIA BILIAR;OTHER MEDICINES FOR BILIARY THERAPY;A;A05;A05A;A05AX
A05AX02;HIMECROMONA;HYMECHROMONA;A;A05;A05A;A05AX
A05AX53;CICLOBUTIROL EN ASOCIACION;CYCLOBUTYROL IN ASSOCIATION;A;A05;A05A;A05AX
A05AX91;DIMECROTICO ACIDO;Dimecrotic Acid;A;A05;A05A;A05AX
A05AX92;EMODINA EN ASOCIACION;EMODINA IN ASSOCIATION;A;A05;A05A;A05AX
A05AXNE;OTROS MEDICAMENTOS PARA LA TERAPIA BILIAR NE;OTHER MEDICINES FOR BILIARY THERAPY NE;A;A05;A05A;A05AX
A05B;TERAPIA HEP�TICA, LIPOTR�PICOS;LIVER THERAPY, LIPOTRIPICS;A;A05;A05B;
A05BA;TERAPIA HEPATICA;LIVER THERAPY;A;A05;A05B;A05BA
A05BA03;SILIMARINA;SILYMARIN;A;A05;A05B;A05BA
A05BANE;TERAPIA HEPATICA NE;NE LIVER THERAPY;A;A05;A05B;A05BA
A05C;TERAPIA BILIAR Y LIPOTROPICOS EN ASOCIACION;BILIARY THERAPY AND LIPOTROPICS IN ASSOCIATION;A;A05;A05C;
A05CA;TERAPIA BILIAR Y LIPOTROPICOS EN ASOCIACION;BILIARY THERAPY AND LIPOTROPICS IN ASSOCIATION;A;A05;A05C;A05CA
A05CA91;TERAPIA BILIAR Y LIPOTROPICOS EN ASOCIACION;BILIARY THERAPY AND LIPOTROPICS IN ASSOCIATION;A;A05;A05C;A05CA
A05CN;TERAPIA BILIAR Y LIPOTROPICOS EN ASOCIACION NE;BILIARY THERAPY AND LIPOTROPICS IN ASSOCIATION NE;A;A05;A05C;A05CN
A05CNNE;TERAPIA BILIAR Y LIPOTROPICOS EN ASOCIACION NE NE;BILIARY THERAPY AND LIPOTROPICS IN ASSOCIATION NE NE;A;A05;A05C;A05CN
A06;LAXANTES;LAXATIVES;A;A06;;
A06A;LAXANTES;LAXATIVES;A;A06;A06A;
A06AA;LAXANTES LUBRICANTES Y EMOLIENTES;LAXATIVES, LUBRICANTS AND EMOLLIENTS;A;A06;A06A;A06AA
A06AA01;PARAFINA LIQUIDA;LIQUID PARAFFIN;A;A06;A06A;A06AA
A06AA02;DOCUSATO SODICO;DOCUSATE SODIUM;A;A06;A06A;A06AA
A06AA51;PARAFINA FLUIDA EN ASOCIACION;FLUID PARAFFIN IN ASSOCIATION;A;A06;A06A;A06AA
A06AB;LAXANTES DE CONTACTO;CONTACT LAXATIVES;A;A06;A06A;A06AB
A06AB01;OXIFENISATINA;Oxyphenisatin;A;A06;A06A;A06AB
A06AB02;BISACODILO;BISACODYL;A;A06;A06A;A06AB
A06AB04;FENOFTALEINA;PHENOPHTHALEIN;A;A06;A06A;A06AB
A06AB05;ACEITE DE RICINO;CASTOR OIL;A;A06;A06A;A06AB
A06AB06;SENOSIDOS A-B;SENNOSIDES AB;A;A06;A06A;A06AB
A06AB07;CASCARA;PEEL;A;A06;A06A;A06AB
A06AB08;SODIO PICOSULFATO;SODIUM PICOSULFATE;A;A06;A06A;A06AB
A06AB20;LAXANTES DE CONTACTO EN ASOCIACION;CONTACT LAXATIVES IN ASSOCIATION;A;A06;A06A;A06AB
A06AB30;LAXANTES DE CONTACTO ASOCIADOS A ALCALOIDES BELLADONA;CONTACT LAXATIVES ASSOCIATED WITH BELLADONNA ALKALOIDS;A;A06;A06A;A06AB
A06AB56;SENOSIDOS EN ASOCIACION;SENNOSIDES IN ASSOCIATION;A;A06;A06A;A06AB
A06AB57;CASCARA SAGRADA EN ASOCIACION;Cascara Sagrada in Association;A;A06;A06A;A06AB
A06AB58;PICOSULFATO SODICO EN ASOCIACION;SODIUM PICOSULFATE IN ASSOCIATION;A;A06;A06A;A06AB
A06ABNE;LAXANTES DE CONTACTO NE;CONTACT LAXATIVES NE;A;A06;A06A;A06AB
A06AC;LAXANTES INCREMENTADORES DEL BOLO INTESTINAL;LAXATIVES THAT INCREASE BOWEL BOLUS;A;A06;A06A;A06AC
A06AC01;ISPAGHULA;ISPAGHULA;A;A06;A06A;A06AC
A06AC03;STERCULIA;STERCULIA;A;A06;A06A;A06AC
A06AC06;METILCELULOSA;METHYLCELLULOSE;A;A06;A06A;A06AC
A06AC08;POLICARBOFIL CALCICO;Calcium Polycarbophyll;A;A06;A06A;A06AC
A06AC51;ISPAGHULA EN ASOCIACION;ISPAGHULA IN ASSOCIATION;A;A06;A06A;A06AC
A06ACNE;LAXANTES INCREMENTADORES DEL BOLO INTESTINAL NE;LAXATIVES THAT INCREASE INTESTINAL BOLUS NE;A;A06;A06A;A06AC
A06AD;LAXANTES OSMOTICOS;OSMOTIC LAXATIVES;A;A06;A06A;A06AD
