ATC;Medicamento;Medicamento;Anatomico;Terapeutico;Farmacologico;Quimico
A02AF02;ANTIACIDOS ASOCIADOS A ANTIFLATULENTOS;ANTIACIDOS ASOCIADOS A ANTIFLATULENTOS;A;A02;A02A;A02AF
A02AG;ANTIACIDOS CON ANTIESPASMODICOS;ANTIACIDOS CON ANTIESPASMODICOS;A;A02;A02A;A02AG
A02AGNE;ANTIACIDOS CON ANTIESPASMODICOS NE;ANTIACIDOS CON ANTIESPASMODICOS NE;A;A02;A02A;A02AG
A02AH;ANTIACIDOS CON BICARBONATO SODICO;ANTIACIDOS CON BICARBONATO SODICO;A;A02;A02A;A02AH
A02AH91;SODIO BICARBONATO;SODIO BICARBONATO;A;A02;A02A;A02AH
A02AHNE;ANTIACIDOS CON BICARBONATO SODICO NE;ANTIACIDOS CON BICARBONATO SODICO NE;A;A02;A02A;A02AH
A02AX;OTRAS ASOCIACIONES DE ANTIACIDOS;OTRAS ASOCIACIONES DE ANTIACIDOS;A;A02;A02A;A02AX
A02AX91;MAGNESIO HIDROX+CALCIO CARB+FAMOTIDINA;MAGNESIO HIDROX+CALCIO CARB+FAMOTIDINA;A;A02;A02A;A02AX
A02AXNE;OTRAS ASOCIACIONES DE ANTIACIDOS NE;OTRAS ASOCIACIONES DE ANTIACIDOS NE;A;A02;A02A;A02AX
A02B;MEDICAMENTOS PARA ULCERA PEPTICA Y REFLUJO;MEDICAMENTOS PARA ULCERA PEPTICA Y REFLUJO;A;A02;A02B;
A02BA;ANTAGONISTAS RECEPTORES H2 (ANTIULCERA PEPTICA);ANTAGONISTAS RECEPTORES H2 (ANTIULCERA PEPTICA);A;A02;A02B;A02BA
A02BA01;CIMETIDINA;CIMETIDINA;A;A02;A02B;A02BA
A02BA02;RANITIDINA;RANITIDINA;A;A02;A02B;A02BA
A02BA03;FAMOTIDINA;FAMOTIDINA;A;A02;A02B;A02BA
A02BA04;NIZATIDINA;NIZATIDINA;A;A02;A02B;A02BA
A02BA06;ROXATIDINA;ROXATIDINA;A;A02;A02B;A02BA
A02BA07;RANITIDINA BISMUTO CITRATO;RANITIDINA BISMUTO CITRATO;A;A02;A02B;A02BA
A02BA91;EBROTIDINA;EBROTIDINA;A;A02;A02B;A02BA
A02BB;PROSTAGLANDINAS (ANTIULCERA PEPTICA);PROSTAGLANDINAS (ANTIULCERA PEPTICA);A;A02;A02B;A02BB
A02BB01;MISOPROSTOL;MISOPROSTOL;A;A02;A02B;A02BB
A02BC;INHIBIDORES DE LA BOMBA DE PROTONES (ANTIULCERA PEPTICA);INHIBIDORES DE LA BOMBA DE PROTONES (ANTIULCERA PEPTICA);A;A02;A02B;A02BC
A02BC01;OMEPRAZOL;OMEPRAZOL;A;A02;A02B;A02BC
A02BC02;PANTOPRAZOL;PANTOPRAZOL;A;A02;A02B;A02BC
A02BC03;LANSOPRAZOL;LANSOPRAZOL;A;A02;A02B;A02BC
A02BC04;RABEPRAZOL;RABEPRAZOL;A;A02;A02B;A02BC
A02BC05;ESOMEPRAZOL;ESOMEPRAZOL;A;A02;A02B;A02BC
A02BC06;Dexlansoprazol;Dexlansoprazol;A;A02;A02B;A02BC
A02BCNE;INHIBIDORES DE LA BOMBA DE PROTONES (ANTIULCERA PEPTICA) NE;INHIBIDORES DE LA BOMBA DE PROTONES (ANTIULCERA PEPTICA) NE;A;A02;A02B;A02BC
A02BD;ASOCIACIONES PARA LA ERRADICACION DE H. PILORI;ASOCIACIONES PARA LA ERRADICACION DE H. PILORI;A;A02;A02B;A02BD
A02BD01;OMEPRAZOL+AMOXICILINA+METRONIDAZOL;OMEPRAZOL+AMOXICILINA+METRONIDAZOL;A;A02;A02B;A02BD
A02BD02;LANSOPRAZOL+TETRACICLINA+METRONIDAZOL;LANSOPRAZOL+TETRACICLINA+METRONIDAZOL;A;A02;A02B;A02BD
A02BD03;LANSOPRAZOL+AMOXICILINA+METRONIDAZOL;LANSOPRAZOL+AMOXICILINA+METRONIDAZOL;A;A02;A02B;A02BD
A02BD04;PANTOPRAZOL+AMOXICILINA+CLARITROMICINA;PANTOPRAZOL+AMOXICILINA+CLARITROMICINA;A;A02;A02B;A02BD
A02BD05;OMEPRAZOL+AMOXICILINA+CLARITROMICINA;OMEPRAZOL+AMOXICILINA+CLARITROMICINA;A;A02;A02B;A02BD
A02BD07;LANSOPRAZOL+AMOXICILINA+CLARITROMICINA;LANSOPRAZOL+AMOXICILINA+CLARITROMICINA;A;A02;A02B;A02BD
A02BD08;BISMUTO SUBCITRATO + TETRACICLINA + METRONIDAZOL;BISMUTO SUBCITRATO + TETRACICLINA + METRONIDAZOL;A;A02;A02B;A02BD
A02BX;OTROS ANTIULCERA PEPTICA Y REFLUJO GASTROESOFAGICO;OTROS ANTIULCERA PEPTICA Y REFLUJO GASTROESOFAGICO;A;A02;A02B;A02BX
A02BX01;CARBENOXOLONA;CARBENOXOLONA;A;A02;A02B;A02BX
A02BX02;SUCRALFATO;SUCRALFATO;A;A02;A02B;A02BX
A02BX03;PIRENZEPINA;PIRENZEPINA;A;A02;A02B;A02BX
A02BX05;BISMUTO SUBCITRATO;BISMUTO SUBCITRATO;A;A02;A02B;A02BX
A02BX06;PROGLUMIDA;PROGLUMIDA;A;A02;A02B;A02BX
A02BX07;GEFARNATO;GEFARNATO;A;A02;A02B;A02BX
A02BX13;ALGINICO ACIDO;ALGINICO ACIDO;A;A02;A02B;A02BX
A02BX57;GEFARNATO EN ASOCIACION;GEFARNATO EN ASOCIACION;A;A02;A02B;A02BX
A02BX91;ZINC ACEXAMATO;ZINC ACEXAMATO;A;A02;A02B;A02BX
A02BX92;DOSMALFATO;DOSMALFATO;A;A02;A02B;A02BX
A02BXNE;OTROS ANTIULCERA PEPTICA Y REFLUJO GASTROESOFAGICO NE;OTROS ANTIULCERA PEPTICA Y REFLUJO GASTROESOFAGICO NE;A;A02;A02B;A02BX
A03;MEDICAMENTOS PARA TRASTORNOS FUNCIONALES GASTROINTESTINALES;MEDICAMENTOS PARA TRASTORNOS FUNCIONALES GASTROINTESTINALES;A;A03;;
A03A;MEDICAMENTOS PARA TRASTORNOS FUNCIONALES INTESTINALES;MEDICAMENTOS PARA TRASTORNOS FUNCIONALES INTESTINALES;A;A03;A03A;
A03AA;ANTICOLINERGICOS SINTETICOS, AMONIO TERCIARIO;ANTICOLINERGICOS SINTETICOS, AMONIO TERCIARIO;A;A03;A03A;A03AA
A03AA04;MEBEVERINA;MEBEVERINA;A;A03;A03A;A03AA
A03AA05;TRIMEBUTINA;TRIMEBUTINA;A;A03;A03A;A03AA
A03AA07;DICICLOVERINA;DICICLOVERINA;A;A03;A03A;A03AA
A03AB;ANTICOLINERGICOS SINTETICOS, AMONIO CUATERNARIO;ANTICOLINERGICOS SINTETICOS, AMONIO CUATERNARIO;A;A03;A03A;A03AB
A03AB02;GLICOPIRRONIO;GLICOPIRRONIO;A;A03;A03A;A03AB
A03AB06;OTILONIO BROMURO;OTILONIO BROMURO;A;A03;A03A;A03AB
A03AB21;FENPIVERINIO;FENPIVERINIO;A;A03;A03A;A03AB
A03AD;PAPAVERINA Y DERIVADOS;PAPAVERINA Y DERIVADOS;A;A03;A03A;A03AD
A03AD01;PAPAVERINA;PAPAVERINA;A;A03;A03A;A03AD
A03AE;ANTIESPASMODIC/ANTICOLINERGIC ACCION RECEPTORES SEROTONINA;ANTIESPASMODIC/ANTICOLINERGIC ACCION RECEPTORES SEROTONINA;A;A03;A03A;A03AE
A03AE01;ALOSETRON;ALOSETRON;A;A03;A03A;A03AE
A03AE02;TEGASEROD;TEGASEROD;A;A03;A03A;A03AE
A03AE03;CILANSETRON;CILANSETRON;A;A03;A03A;A03AE
A03AE04;PRUCALOPRIDE;PRUCALOPRIDE;A;A03;A03A;A03AE
A03AX;OTROS MEDIC.PADECIMIENTOS FUNCIONALES DEL ESTOMAGO;OTROS MEDIC.PADECIMIENTOS FUNCIONALES DEL ESTOMAGO;A;A03;A03A;A03AX
A03AX04;PINAVERIO BROMURO;PINAVERIO BROMURO;A;A03;A03A;A03AX
A03AX07;PROXAZOL;PROXAZOL;A;A03;A03A;A03AX
A03AX13;SILICONAS;SILICONAS;A;A03;A03A;A03AX
A03AXNE;OTROS MEDIC.PADECIMIENTOS FUNCIONALES DEL ESTOMAGO NE;OTROS MEDIC.PADECIMIENTOS FUNCIONALES DEL ESTOMAGO NE;A;A03;A03A;A03AX
A03B;BELLADONA Y DERIVADOS SOLOS;BELLADONA Y DERIVADOS SOLOS;A;A03;A03B;
A03BA;ALCALOIDES DE BELLADONA, AMINAS TERCIARIAS;ALCALOIDES DE BELLADONA, AMINAS TERCIARIAS;A;A03;A03B;A03BA
A03BA01;ATROPINA;ATROPINA;A;A03;A03B;A03BA
A03BB;ALCALOIDES SEMISINTETICOS BELLADONA, AMINAS CUATERNARIAS;ALCALOIDES SEMISINTETICOS BELLADONA, AMINAS CUATERNARIAS;A;A03;A03B;A03BB
A03BB01;BUTILESCOPOLAMINA BROMURO;BUTILESCOPOLAMINA BROMURO;A;A03;A03B;A03BB
A03BB91;OCTATROPINA METILBROMURO;OCTATROPINA METILBROMURO;A;A03;A03B;A03BB
A03C;ANTIESPASMODICOS EN ASOCIACION CON PSICOLEPTICOS;ANTIESPASMODICOS EN ASOCIACION CON PSICOLEPTICOS;A;A03;A03C;
A03CB;DERIVADOS DE LA BELLADONA ASOCIADOS A PSICOLEPTICO;DERIVADOS DE LA BELLADONA ASOCIADOS A PSICOLEPTICO;A;A03;A03C;A03CB
A03CB01;METILESCOPOLAMINA ASOC. A PSICOLEPTICO;METILESCOPOLAMINA ASOC. A PSICOLEPTICO;A;A03;A03C;A03CB
A03CB03;ATROPINA ASOC. A PSICOLEPTICO;ATROPINA ASOC. A PSICOLEPTICO;A;A03;A03C;A03CB
A03CB04;METILHOMATROPINA ASOC. A PSICOLEPTICO;METILHOMATROPINA ASOC. A PSICOLEPTICO;A;A03;A03C;A03CB
A03D;ANTIESPASMODICOS EN ASOCIACION CON ANALGESICOS;ANTIESPASMODICOS EN ASOCIACION CON ANALGESICOS;A;A03;A03D;
A03DA;ANTICOLINERGICOS SINTETICOS ASOCIADOS A ANALGESICOS;ANTICOLINERGICOS SINTETICOS ASOCIADOS A ANALGESICOS;A;A03;A03D;A03DA
A03DA02;PITOFENONA ASOC. A ANALGESICO;PITOFENONA ASOC. A ANALGESICO;A;A03;A03D;A03DA
A03DA91;DROFENINA ASOC. A ANALGESICO;DROFENINA ASOC. A ANALGESICO;A;A03;A03D;A03DA
A03DA92;OCTATROPINA METILBROMURO+ANAGESICO;OCTATROPINA METILBROMURO+ANAGESICO;A;A03;A03D;A03DA
A03DB;BELLADONA Y DERIVADOS CON ANALGESICOS;BELLADONA Y DERIVADOS CON ANALGESICOS;A;A03;A03D;A03DB
A03DB04;BUTILESCOPOLAMINA BROMURO+ANALGESICO;BUTILESCOPOLAMINA BROMURO+ANALGESICO;A;A03;A03D;A03DB
A03DB91;ATROPINA ASOC. A ANALGESICO;ATROPINA ASOC. A ANALGESICO;A;A03;A03D;A03DB
A03DB92;ATROPINA+PAPAVERINA ASOC. A ANALGESICO;ATROPINA+PAPAVERINA ASOC. A ANALGESICO;A;A03;A03D;A03DB
A03DC;OTROS ANTIESPASMODICOS ASOCIADOS A ANALGESICOS;OTROS ANTIESPASMODICOS ASOCIADOS A ANALGESICOS;A;A03;A03D;A03DC
A03DC91;PAPAVERINA ASOC. A ANALGESICO;PAPAVERINA ASOC. A ANALGESICO;A;A03;A03D;A03DC
A03DC92;PRAMIVERINA ASOC. A ANALGESICO;PRAMIVERINA ASOC. A ANALGESICO;A;A03;A03D;A03DC
A03E;ANTIESPASM. Y ANTICOLINERG. ASOC. A OTRAS SUSTANC.;ANTIESPASM. Y ANTICOLINERG. ASOC. A OTRAS SUSTANC.;A;A03;A03E;
A03ED;ANTIESPASMODICOS ASOCIADOS A OTRAS SUSTANCIAS;ANTIESPASMODICOS ASOCIADOS A OTRAS SUSTANCIAS;A;A03;A03E;A03ED
A03ED91;PAPAVERINA+MAGNESIO SULFATO;PAPAVERINA+MAGNESIO SULFATO;A;A03;A03E;A03ED
A03ED92;BUTILESCOPOLAMINA BROMURO+METOCLOPRAMIDA;BUTILESCOPOLAMINA BROMURO+METOCLOPRAMIDA;A;A03;A03E;A03ED
A03ED93;METILESCOPOLAMINA ASOC. A OTRAS SUSTANCIAS;METILESCOPOLAMINA ASOC. A OTRAS SUSTANCIAS;A;A03;A03E;A03ED
A03F;PROPULSIVOS;PROPULSIVOS;A;A03;A03F;
A03FA;PROPULSIVOS;PROPULSIVOS;A;A03;A03F;A03FA
A03FA01;METOCLOPRAMIDA;METOCLOPRAMIDA;A;A03;A03F;A03FA
A03FA02;CISAPRIDA;CISAPRIDA;A;A03;A03F;A03FA
A03FA03;DOMPERIDONA;DOMPERIDONA;A;A03;A03F;A03FA
A03FA04;BROMOPRIDA;BROMOPRIDA;A;A03;A03F;A03FA
A03FA05;ALIZAPRIDA;ALIZAPRIDA;A;A03;A03F;A03FA
A03FA06;CLEBOPRIDA;CLEBOPRIDA;A;A03;A03F;A03FA
A03FA08;Cinitaprida;Cinitaprida;A;A03;A03F;A03FA
A03FA51;METOCLOPRAMIDA EN ASOCIACION;METOCLOPRAMIDA EN ASOCIACION;A;A03;A03F;A03FA
A03FA56;CLEBOPRIDA EN ASOCIACION;CLEBOPRIDA EN ASOCIACION;A;A03;A03F;A03FA
A03FA91;CINITAPRIDA;CINITAPRIDA;A;A03;A03F;A03FA
A03FANE;PROPULSIVOS NE;PROPULSIVOS NE;A;A03;A03F;A03FA
A04;ANTIEMETICOS Y ANTINAUSEANTES;ANTIEMETICOS Y ANTINAUSEANTES;A;A04;;
A04A;ANTIEMETICOS Y ANTINAUSEANTES;ANTIEMETICOS Y ANTINAUSEANTES;A;A04;A04A;
A04AA;ANTAGONISTAS DE LA SEROTONINA (ANTIEMETICOS);ANTAGONISTAS DE LA SEROTONINA (ANTIEMETICOS);A;A04;A04A;A04AA
A04AA01;ONDANSETRON;ONDANSETRON;A;A04;A04A;A04AA
A04AA02;GRANISETRON;GRANISETRON;A;A04;A04A;A04AA
A04AA03;TROPISETRON;TROPISETRON;A;A04;A04A;A04AA
A04AA04;DOLASETRON;DOLASETRON;A;A04;A04A;A04AA
A04AA05;PALONOSETRON;PALONOSETRON;A;A04;A04A;A04AA
A04AA55;Palonosetron, combinaciones;Palonosetron, combinaciones;A;A04;A04A;A04AA
A04AD;OTROS ANTIEMETICOS;OTROS ANTIEMETICOS;A;A04;A04A;A04AD
A04AD01;ESCOPOLAMINA (HIOSCINA);ESCOPOLAMINA (HIOSCINA);A;A04;A04A;A04AD
A04AD02;CERIO OXALATO;CERIO OXALATO;A;A04;A04A;A04AD
A04AD05;METOPIMAZINA;METOPIMAZINA;A;A04;A04A;A04AD
A04AD10;DRONABINOL;DRONABINOL;A;A04;A04A;A04AD
A04AD11;NABILONA;NABILONA;A;A04;A04A;A04AD
A04AD12;APREPITANT;APREPITANT;A;A04;A04A;A04AD
A04AD13;CASOPITANT;CASOPITANT;A;A04;A04A;A04AD
A04AD14; Rolapitant; Rolapitant;A;A04;A04A;A04AD
A04AD91;LEVOSULPIRIDA;LEVOSULPIRIDA;A;A04;A04A;A04AD
A04AD93;DIXIRAZINA EN ASOCIACION;DIXIRAZINA EN ASOCIACION;A;A04;A04A;A04AD
A04AD95;LOBULO ANTERIOR HIPOFISIS EXTO;LOBULO ANTERIOR HIPOFISIS EXTO;A;A04;A04A;A04AD
A04AD96;ALCALOIDES BELLADONA EN ASOCIACION;ALCALOIDES BELLADONA EN ASOCIACION;A;A04;A04A;A04AD
A04AD97;CORTEZA SUPRARRENAL EN ASOCIACION;CORTEZA SUPRARRENAL EN ASOCIACION;A;A04;A04A;A04AD
A04ADNE;OTROS ANTIEMETICOS NE;OTROS ANTIEMETICOS NE;A;A04;A04A;A04AD
A05;TERAPIA BILIAR Y HEPATICA;TERAPIA BILIAR Y HEPATICA;A;A05;;
A05A;TERAPIA BILIAR;TERAPIA BILIAR;A;A05;A05A;
A05AA;PREPARADOS DE ACIDOS BILIARES;PREPARADOS DE ACIDOS BILIARES;A;A05;A05A;A05AA
A05AA01;QUENODESOXICOLICO ACIDO;QUENODESOXICOLICO ACIDO;A;A05;A05A;A05AA
A05AA02;URSODESOXICOLICO ACIDO;URSODESOXICOLICO ACIDO;A;A05;A05A;A05AA
A05AA03;ACIDO COLICO;ACIDO COLICO;A;A05;A05A;A05AA
A05AA04; Acido obeticolico; Acido obeticolico;A;A05;A05A;A05AA
A05AX;OTROS MEDICAMENTOS PARA LA TERAPIA BILIAR;OTROS MEDICAMENTOS PARA LA TERAPIA BILIAR;A;A05;A05A;A05AX
A05AX02;HIMECROMONA;HIMECROMONA;A;A05;A05A;A05AX
A05AX53;CICLOBUTIROL EN ASOCIACION;CICLOBUTIROL EN ASOCIACION;A;A05;A05A;A05AX
A05AX91;DIMECROTICO ACIDO;DIMECROTICO ACIDO;A;A05;A05A;A05AX
A05AX92;EMODINA EN ASOCIACION;EMODINA EN ASOCIACION;A;A05;A05A;A05AX
A05AXNE;OTROS MEDICAMENTOS PARA LA TERAPIA BILIAR NE;OTROS MEDICAMENTOS PARA LA TERAPIA BILIAR NE;A;A05;A05A;A05AX
A05B;TERAPIA HEP�TICA, LIPOTR�PICOS;TERAPIA HEP�TICA, LIPOTR�PICOS;A;A05;A05B;
A05BA;TERAPIA HEPATICA;TERAPIA HEPATICA;A;A05;A05B;A05BA
A05BA03;SILIMARINA;SILIMARINA;A;A05;A05B;A05BA
A05BANE;TERAPIA HEPATICA NE;TERAPIA HEPATICA NE;A;A05;A05B;A05BA
A05C;TERAPIA BILIAR Y LIPOTROPICOS EN ASOCIACION;TERAPIA BILIAR Y LIPOTROPICOS EN ASOCIACION;A;A05;A05C;
A05CA;TERAPIA BILIAR Y LIPOTROPICOS EN ASOCIACION;TERAPIA BILIAR Y LIPOTROPICOS EN ASOCIACION;A;A05;A05C;A05CA
A05CA91;TERAPIA BILIAR Y LIPOTROPICOS EN ASOCIACION;TERAPIA BILIAR Y LIPOTROPICOS EN ASOCIACION;A;A05;A05C;A05CA
A05CN;TERAPIA BILIAR Y LIPOTROPICOS EN ASOCIACION NE;TERAPIA BILIAR Y LIPOTROPICOS EN ASOCIACION NE;A;A05;A05C;A05CN
A05CNNE;TERAPIA BILIAR Y LIPOTROPICOS EN ASOCIACION NE NE;TERAPIA BILIAR Y LIPOTROPICOS EN ASOCIACION NE NE;A;A05;A05C;A05CN
A06;LAXANTES;LAXANTES;A;A06;;
A06A;LAXANTES;LAXANTES;A;A06;A06A;
A06AA;LAXANTES LUBRICANTES Y EMOLIENTES;LAXANTES LUBRICANTES Y EMOLIENTES;A;A06;A06A;A06AA
A06AA01;PARAFINA LIQUIDA;PARAFINA LIQUIDA;A;A06;A06A;A06AA
A06AA02;DOCUSATO SODICO;DOCUSATO SODICO;A;A06;A06A;A06AA
A06AA51;PARAFINA FLUIDA EN ASOCIACION;PARAFINA FLUIDA EN ASOCIACION;A;A06;A06A;A06AA
A06AB;LAXANTES DE CONTACTO;LAXANTES DE CONTACTO;A;A06;A06A;A06AB
A06AB01;OXIFENISATINA;OXIFENISATINA;A;A06;A06A;A06AB
A06AB02;BISACODILO;BISACODILO;A;A06;A06A;A06AB
A06AB04;FENOFTALEINA;FENOFTALEINA;A;A06;A06A;A06AB
A06AB05;ACEITE DE RICINO;ACEITE DE RICINO;A;A06;A06A;A06AB
A06AB06;SENOSIDOS A-B;SENOSIDOS A-B;A;A06;A06A;A06AB
A06AB07;CASCARA;CASCARA;A;A06;A06A;A06AB
A06AB08;SODIO PICOSULFATO;SODIO PICOSULFATO;A;A06;A06A;A06AB
A06AB20;LAXANTES DE CONTACTO EN ASOCIACION;LAXANTES DE CONTACTO EN ASOCIACION;A;A06;A06A;A06AB
A06AB30;LAXANTES DE CONTACTO ASOCIADOS A ALCALOIDES BELLADONA;LAXANTES DE CONTACTO ASOCIADOS A ALCALOIDES BELLADONA;A;A06;A06A;A06AB
A06AB56;SENOSIDOS EN ASOCIACION;SENOSIDOS EN ASOCIACION;A;A06;A06A;A06AB
A06AB57;CASCARA SAGRADA EN ASOCIACION;CASCARA SAGRADA EN ASOCIACION;A;A06;A06A;A06AB
A06AB58;PICOSULFATO SODICO EN ASOCIACION;PICOSULFATO SODICO EN ASOCIACION;A;A06;A06A;A06AB
A06ABNE;LAXANTES DE CONTACTO NE;LAXANTES DE CONTACTO NE;A;A06;A06A;A06AB
A06AC;LAXANTES INCREMENTADORES DEL BOLO INTESTINAL;LAXANTES INCREMENTADORES DEL BOLO INTESTINAL;A;A06;A06A;A06AC
A06AC01;ISPAGHULA;ISPAGHULA;A;A06;A06A;A06AC
A06AC03;STERCULIA;STERCULIA;A;A06;A06A;A06AC
A06AC06;METILCELULOSA;METILCELULOSA;A;A06;A06A;A06AC
A06AC08;POLICARBOFIL CALCICO;POLICARBOFIL CALCICO;A;A06;A06A;A06AC
A06AC51;ISPAGHULA EN ASOCIACION;ISPAGHULA EN ASOCIACION;A;A06;A06A;A06AC
