Gene_ID;Gene;Entity1_type;Disease_ID;Disease;Entity2_type;LADME
PA33532;POR;GENE;PA166114942;FAMILIAL HYPERCHOLESTEROLEMIA;DISEASE;PD
PA134908144;C9ORF72;GENE;PA443434;RHEUMATOID ARTHRITIS;DISEASE;PD
PA221;KCNMB1;GENE;PA443796;CORONARY ARTERY DISEASE;DISEASE;PD
PA221;KCNMB1;GENE;PA444552;HYPERTENSION;DISEASE;PD
PA55;APOE;GENE;PA443319;ALZHEIMER DISEASE;DISEASE;PD
PA55;APOE;GENE;PA443797;CORONARY DISEASE;DISEASE;PD
PA55;APOE;GENE;PA444417;HEMORRHAGE;DISEASE;PD
PA55;APOE;GENE;PA444528;HYPERLIPIDEMIAS;DISEASE;PD
PA55;APOE;GENE;PA445019;MYOCARDIAL INFARCTION;DISEASE;PD
PA55;APOE;GENE;PA446120;HYPERTRIGLYCERIDEMIA;DISEASE;PD
PA55;APOE;GENE;PA447230;HIV INFECTIOUS DISEASE;DISEASE;PD
PA55;APOE;GENE;PA447298;VENOUS THROMBOEMBOLISM;DISEASE;PD
PA38055;NELFCD;GENE;PA444552;HYPERTENSION;DISEASE;PD
PA397;ABCC4;GENE;PA151958383;GASTROINTESTINAL STROMAL TUMORS;DISEASE;PD
PA397;ABCC4;GENE;PA162263533;NEPHROTOXICITY;DISEASE;PD
PA397;ABCC4;GENE;PA165817016;KIDNEY TRANSPLANTATION;DISEASE;PD
PA397;ABCC4;GENE;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA397;ABCC4;GENE;PA443580;BURKITT LYMPHOMA;DISEASE;PD
PA397;ABCC4;GENE;PA443842;DEATH;DISEASE;
PA397;ABCC4;GENE;PA443937;DRUG TOXICITY;DISEASE;PD
PA397;ABCC4;GENE;PA444282;OPEN-ANGLE GLAUCOMA;DISEASE;PD
PA397;ABCC4;GENE;PA444370;HEART FAILURE;DISEASE;PD
PA397;ABCC4;GENE;PA445062;NEOPLASMS;DISEASE;PD
PA397;ABCC4;GENE;PA445113;NEUTROPENIA;DISEASE;
PA397;ABCC4;GENE;PA445187;OSTEONECROSIS;DISEASE;PD
PA397;ABCC4;GENE;PA446116;INFLAMMATORY BOWEL DISEASES;DISEASE;PD
PA397;ABCC4;GENE;PA446155;ACUTE LYMPHOBLASTIC LEUKEMIA;DISEASE;PD
PA397;ABCC4;GENE;PA446661;SMALL CELL CARCINOMA;DISEASE;PD
PA397;ABCC4;GENE;PA447230;HIV INFECTIOUS DISEASE;DISEASE;PD
PA162398721;PARD3B;GENE;PA443937;DRUG TOXICITY;DISEASE;PD
PA162398721;PARD3B;GENE;PA446108;COLORECTAL NEOPLASMS;DISEASE;PD
PA34011;PTPRC;GENE;PA443434;RHEUMATOID ARTHRITIS;DISEASE;PD
PA396;ABCC9;GENE;PA443450;ASTHMA;DISEASE;
PA155;ERCC1;GENE;PA166122058;MUCOSITIS;DISEASE;PD
PA155;ERCC1;GENE;PA166170245;FEBRILE NEUTROPENIA;DISEASE;PD
PA155;ERCC1;GENE;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA155;ERCC1;GENE;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA155;ERCC1;GENE;PA443756;COLONIC NEOPLASMS;DISEASE;PD
PA155;ERCC1;GENE;PA443937;DRUG TOXICITY;DISEASE;PD
PA155;ERCC1;GENE;PA444101;NEOPLASM OF ESOPHAGUS;DISEASE;PD
PA155;ERCC1;GENE;PA444614;INFECTIOUS DISEASE;DISEASE;PD
PA155;ERCC1;GENE;PA444773;LEUKOPENIA;DISEASE;PD
PA155;ERCC1;GENE;PA444937;MESOTHELIOMA;DISEASE;PD
PA155;ERCC1;GENE;PA444985;MULTIPLE MYELOMA;DISEASE;PD
PA155;ERCC1;GENE;PA445048;NAUSEA;DISEASE;PD
PA155;ERCC1;GENE;PA445062;NEOPLASMS;DISEASE;PD
PA155;ERCC1;GENE;PA445204;OVARIAN NEOPLASMS;DISEASE;PD
PA155;ERCC1;GENE;PA445218;PANCREATIC NEOPLASMS;DISEASE;PD
PA155;ERCC1;GENE;PA445503;RECTAL NEOPLASMS;DISEASE;PD
PA155;ERCC1;GENE;PA445601;OSTEOSARCOMA;DISEASE;PD
PA155;ERCC1;GENE;PA445742;STOMACH NEOPLASMS;DISEASE;PD
PA155;ERCC1;GENE;PA445828;TESTICULAR NEOPLASMS;DISEASE;PD
PA155;ERCC1;GENE;PA446051;VOMITING;DISEASE;PD
PA155;ERCC1;GENE;PA446108;COLORECTAL NEOPLASMS;DISEASE;PD
PA27112;CYP2J2;GENE;PA165817016;KIDNEY TRANSPLANTATION;DISEASE;PD
PA27112;CYP2J2;GENE;PA443796;CORONARY ARTERY DISEASE;DISEASE;
PA27112;CYP2J2;GENE;PA444552;HYPERTENSION;DISEASE;
PA27112;CYP2J2;GENE;PA445019;MYOCARDIAL INFARCTION;DISEASE;
PA106;CDKN2A;GENE;PA446155;PRECURSOR CELL LYMPHOBLASTIC LEUKEMIA-LYMPHOMA;DISEASE;
PA27614;EDN1;GENE;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA27614;EDN1;GENE;PA443886;DIABETES MELLITUS;DISEASE;PD
PA27614;EDN1;GENE;PA443994;EDEMA;DISEASE;PD
PA27614;EDN1;GENE;PA444528;HYPERLIPIDEMIAS;DISEASE;PD
PA27614;EDN1;GENE;PA447288;ESSENTIAL HYPERTENSION;DISEASE;PD
PA162404650;SPOPL;GENE;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA387;SLC28A1;GENE;PA443622;CARCINOMA, NON-SMALL-CELL LUNG;DISEASE;PD
PA387;SLC28A1;GENE;PA445062;NEOPLASMS;DISEASE;PD
PA387;SLC28A1;GENE;PA445113;NEUTROPENIA;DISEASE;PD
PA387;SLC28A1;GENE;PA445218;PANCREATIC NEOPLASMS;DISEASE;PD
PA26099;CAT;GENE;PA443309;ALCOHOL ABUSE;DISEASE;
PA26099;CAT;GENE;PA446155;ACUTE LYMPHOBLASTIC LEUKEMIA;DISEASE;PD
PA30060;KCNK3;GENE;PA444552;HYPERTENSION;DISEASE;PD
PA25107;ATP2B1;GENE;PA443796;CORONARY ARTERY DISEASE;DISEASE;PD
PA25107;ATP2B1;GENE;PA444552;HYPERTENSION;DISEASE;PD
PA229;LEPR;GENE;PA165108401;ACUTE CORONARY SYNDROME;DISEASE;PD
PA229;LEPR;GENE;PA443797;CORONARY DISEASE;DISEASE;PD
PA229;LEPR;GENE;PA444065;EPILEPSY;DISEASE;PD
PA229;LEPR;GENE;PA444528;HYPERLIPIDEMIAS;DISEASE;PD
PA134987118;STN1;GENE;PA444552;HYPERTENSION;DISEASE;PD
PA134948212;ATAT1;GENE;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA134948212;ATAT1;GENE;PA445846;THROMBOCYTOPENIA;DISEASE;PD
PA378;NR1I2;GENE;PA162355520;NEPHROLITHIASIS;DISEASE;
PA378;NR1I2;GENE;PA164925725;TOXIC LIVER DISEASE;DISEASE;PD
PA378;NR1I2;GENE;PA165817016;KIDNEY TRANSPLANTATION;DISEASE;
PA378;NR1I2;GENE;PA165817398;MYELOSUPPRESSION;DISEASE;PD
PA378;NR1I2;GENE;PA166123507;DISCONTINUATION;DISEASE;PD
PA378;NR1I2;GENE;PA166124386;GASTROINTESTINAL TOXICITY;DISEASE;PD
PA378;NR1I2;GENE;PA166151827;ADVERSE EVENTS;DISEASE;PD
PA378;NR1I2;GENE;PA443250;ACQUIRED IMMUNODEFICIENCY SYNDROME;DISEASE;
PA378;NR1I2;GENE;PA443340;ANEMIA;DISEASE;PD
PA378;NR1I2;GENE;PA443512;URINARY BLADDER NEOPLASMS;DISEASE;PD
PA378;NR1I2;GENE;PA443750;COLITIS, ULCERATIVE;DISEASE;
PA378;NR1I2;GENE;PA443756;COLONIC NEOPLASMS;DISEASE;
PA378;NR1I2;GENE;PA443815;CROHN DISEASE;DISEASE;
PA378;NR1I2;GENE;PA443853;DEMENTIA;DISEASE;
PA378;NR1I2;GENE;PA444065;EPILEPSY;DISEASE;
PA378;NR1I2;GENE;PA445046;NASOPHARYNGEAL NEOPLASMS;DISEASE;PD
PA378;NR1I2;GENE;PA445062;NEOPLASMS;DISEASE;PD
PA378;NR1I2;GENE;PA445204;OVARIAN NEOPLASMS;DISEASE;
PA378;NR1I2;GENE;PA445425;PROSTATIC NEOPLASMS;DISEASE;
PA378;NR1I2;GENE;PA445601;OSTEOSARCOMA;DISEASE;
PA378;NR1I2;GENE;PA446116;INFLAMMATORY BOWEL DISEASES;DISEASE;
PA378;NR1I2;GENE;PA446411;ENDOMETRIAL NEOPLASMS;DISEASE;
PA378;NR1I2;GENE;PA446876;SUBSTANCE-RELATED DISORDERS;DISEASE;
PA378;NR1I2;GENE;PA447199;BIPOLAR DISORDER;DISEASE;
PA378;NR1I2;GENE;PA447215;PSYCHOTIC DISORDER;DISEASE;
PA378;NR1I2;GENE;PA447230;HIV INFECTIONS;DISEASE;
PA378;NR1I2;GENE;PA447278;DEPRESSION;DISEASE;
PA287;PTGER2;GENE;PA443450;ASTHMA;DISEASE;PD
PA134993202;TREML4;GENE;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA26551;CLCN6;GENE;PA162263533;NEPHROTOXICITY;DISEASE;PD
PA26551;CLCN6;GENE;PA445601;OSTEOSARCOMA;DISEASE;PD
PA26551;CLCN6;GENE;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA34630;RORA;GENE;PA444987;MULTIPLE SCLEROSIS;DISEASE;PD
PA34630;RORA;GENE;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA162392531;JMJD8;GENE;PA165108401;ACUTE CORONARY SYNDROME;DISEASE;PD
PA162392531;JMJD8;GENE;PA166129560;MAJOR ADVERSE CARDIAC EVENTS (MACE);DISEASE;PD
PA134942738;CCHCR1;GENE;PA447230;HIV INFECTIOUS DISEASE;DISEASE;PD
PA162401120;REV1;GENE;PA445601;OSTEOSARCOMA;DISEASE;PD
PA164722612;MIR224;GENE;PA443635;CARDIOVASCULAR DISEASES;DISEASE;
PA53;APOC3;GENE;PA444528;HYPERLIPIDEMIAS;DISEASE;PD
PA53;APOC3;GENE;PA447230;HIV INFECTIOUS DISEASE;DISEASE;PD
PA30864;MME;GENE;PA443803;COUGH;DISEASE;PD
PA30864;MME;GENE;PA444552;HYPERTENSION;DISEASE;PD
PA26016;CACNG2;GENE;PA447199;BIPOLAR DISORDER;DISEASE;PD
PA33705;PRCP;GENE;PA444552;HYPERTENSION;DISEASE;PD
PA427;CYP3A43;GENE;PA165108401;ACUTE CORONARY SYNDROME;DISEASE;
PA427;CYP3A43;GENE;PA447216;SCHIZOPHRENIA;DISEASE;
PA26958;CSNK2A3;GENE;PA443512;URINARY BLADDER NEOPLASMS;DISEASE;PD
PA37174;UGT1A10;GENE;PA444065;EPILEPSY;DISEASE;PD
PA37174;UGT1A10;GENE;PA444318;GOUT;DISEASE;PD
PA37174;UGT1A10;GENE;PA445601;OSTEOSARCOMA;DISEASE;
PA37174;UGT1A10;GENE;PA445629;SEIZURES;DISEASE;PD
PA37174;UGT1A10;GENE;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA426;SLC28A3;GENE;PA166128121;CARDIOTOXICITY;DISEASE;PD
PA426;SLC28A3;GENE;PA444760;LEUKEMIA, MYELOID, ACUTE;DISEASE;
PA426;SLC28A3;GENE;PA445062;NEOPLASMS;DISEASE;PD
PA30845;MLH3;GENE;PA445425;PROSTATIC NEOPLASMS;DISEASE;
PA30128;KIT;GENE;PA151958383;GASTROINTESTINAL STROMAL TUMORS;DISEASE;
PA134887081;COL26A1;GENE;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA27505;DSP;GENE;PA446847;ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA;DISEASE;
PA28894;LGR5;GENE;PA443756;COLONIC NEOPLASMS;DISEASE;PD
PA327;SLC19A1;GENE;PA151958383;GASTROINTESTINAL STROMAL TUMORS;DISEASE;PD
PA327;SLC19A1;GENE;PA166151827;ADVERSE EVENTS;DISEASE;PD
PA327;SLC19A1;GENE;PA443434;RHEUMATOID ARTHRITIS;DISEASE;PD
PA327;SLC19A1;GENE;PA443580;BURKITT LYMPHOMA;DISEASE;
PA327;SLC19A1;GENE;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA327;SLC19A1;GENE;PA443685;UTERINE CERVICAL NEOPLASM;DISEASE;PD
PA327;SLC19A1;GENE;PA443937;DRUG TOXICITY;DISEASE;PD
PA327;SLC19A1;GENE;PA444367;HEART DEFECTS, CONGENITAL;DISEASE;
PA327;SLC19A1;GENE;PA444750;LEUKEMIA;DISEASE;
PA327;SLC19A1;GENE;PA444937;MESOTHELIOMA;DISEASE;PD
PA327;SLC19A1;GENE;PA445062;NEOPLASMS;DISEASE;PD
PA327;SLC19A1;GENE;PA445601;OSTEOSARCOMA;DISEASE;
PA327;SLC19A1;GENE;PA445850;THROMBOSIS;DISEASE;
PA327;SLC19A1;GENE;PA446108;COLORECTAL NEOPLASMS;DISEASE;PD
PA327;SLC19A1;GENE;PA446155;ACUTE LYMPHOBLASTIC LEUKEMIA;DISEASE;PD
PA327;SLC19A1;GENE;PA446309;LYMPHOMA, T-CELL;DISEASE;
PA126;CYP2C9;GENE;PA162316739;MACULOPAPULAR EXANTHEMA;DISEASE;PD
PA126;CYP2C9;GENE;PA165108401;ACUTE CORONARY SYNDROME;DISEASE;PD
PA126;CYP2C9;GENE;PA165111675;DRUG RESISTANCE;DISEASE;
PA126;CYP2C9;GENE;PA165817016;KIDNEY TRANSPLANTATION;DISEASE;
PA126;CYP2C9;GENE;PA166119041;DRUG-INDUCED LIVER INJURY;DISEASE;
PA126;CYP2C9;GENE;PA166120927;DRUG REACTION WITH EOSINOPHILIA AND SYSTEMIC SYMPTOMS;DISEASE;
PA126;CYP2C9;GENE;PA166120929;SEVERE CUTANEOUS ADVERSE REACTIONS;DISEASE;
PA126;CYP2C9;GENE;PA166123007;HEMATOPOIETIC STEM CELL TRANSPLANTATION;DISEASE;
PA126;CYP2C9;GENE;PA166123298;OVER-ANTICOAGULATION;DISEASE;PD
PA126;CYP2C9;GENE;PA166123431;HEART VALVE REPLACEMENT;DISEASE;PD
PA126;CYP2C9;GENE;PA166123766;PLATELET AGGREGATION;DISEASE;
PA126;CYP2C9;GENE;PA166129530;TIME TO ACHIEVE STABLE DOSE;DISEASE;
PA126;CYP2C9;GENE;PA166129531;TIME IN THERAPEUTIC RANGE;DISEASE;
PA126;CYP2C9;GENE;PA166129532;TIME TO THERAPEUTIC INR;DISEASE;
PA126;CYP2C9;GENE;PA166129534;TIME ABOVE THERAPEUTIC RANGE;DISEASE;
PA126;CYP2C9;GENE;PA166129562;TIME BELOW THERAPEUTIC RANGE;DISEASE;
PA126;CYP2C9;GENE;PA166151827;ADVERSE EVENTS;DISEASE;
PA126;CYP2C9;GENE;PA166160459;INTERNATIONAL NORMALIZED RATIO VARIABILITY (INR-VAR);DISEASE;
PA126;CYP2C9;GENE;PA443309;ALCOHOLISM;DISEASE;
PA126;CYP2C9;GENE;PA443459;ATRIAL FIBRILLATION;DISEASE;PD
PA126;CYP2C9;GENE;PA443460;ATRIAL FLUTTER;DISEASE;
PA126;CYP2C9;GENE;PA443523;BLOOD COAGULATION DISORDERS;DISEASE;
PA126;CYP2C9;GENE;PA443560;BREAST NEOPLASMS;DISEASE;
PA126;CYP2C9;GENE;PA443635;CARDIOVASCULAR DISEASES;DISEASE;PD
PA126;CYP2C9;GENE;PA443796;CORONARY ARTERY DISEASE;DISEASE;PD
PA126;CYP2C9;GENE;PA443886;DIABETES MELLITUS;DISEASE;PD
PA126;CYP2C9;GENE;PA443890;DIABETES MELLITUS, TYPE 2;DISEASE;PD
PA126;CYP2C9;GENE;PA443937;DRUG TOXICITY;DISEASE;PD
PA126;CYP2C9;GENE;PA443965;DYSPEPSIA;DISEASE;PD
PA126;CYP2C9;GENE;PA444059;EPIDERMAL NECROLYSIS, TOXIC;DISEASE;
PA126;CYP2C9;GENE;PA444065;EPILEPSY;DISEASE;PD
PA126;CYP2C9;GENE;PA444109;EXANTHEMA;DISEASE;
PA126;CYP2C9;GENE;PA444250;GASTRITIS;DISEASE;
PA126;CYP2C9;GENE;PA444368;HEART DISEASES;DISEASE;
PA126;CYP2C9;GENE;PA444398;HEMATOMA, SUBDURAL;DISEASE;
PA126;CYP2C9;GENE;PA444417;HEMORRHAGE;DISEASE;PD
PA126;CYP2C9;GENE;PA444418;GASTROINTESTINAL HEMORRHAGE;DISEASE;
PA126;CYP2C9;GENE;PA444552;HYPERTENSION;DISEASE;
PA126;CYP2C9;GENE;PA444570;HYPOGLYCEMIA;DISEASE;
PA126;CYP2C9;GENE;PA444584;HYPOTENSION;DISEASE;PD
PA126;CYP2C9;GENE;PA444620;INFLAMMATION;DISEASE;
PA126;CYP2C9;GENE;PA444682;KIDNEY DISEASES;DISEASE;
PA126;CYP2C9;GENE;PA444773;LEUKOPENIA;DISEASE;
PA126;CYP2C9;GENE;PA445018;CARDIOMYOPATHIES;DISEASE;
PA126;CYP2C9;GENE;PA445062;NEOPLASMS;DISEASE;
PA126;CYP2C9;GENE;PA445208;PAIN;DISEASE;
PA126;CYP2C9;GENE;PA445210;PAIN, POSTOPERATIVE;DISEASE;PD
PA126;CYP2C9;GENE;PA445465;PULMONARY EMBOLISM;DISEASE;
PA126;CYP2C9;GENE;PA445553;RHEUMATIC HEART DISEASE;DISEASE;
PA126;CYP2C9;GENE;PA445738;STEVENS-JOHNSON SYNDROME;DISEASE;PD
PA126;CYP2C9;GENE;PA445848;THROMBOEMBOLISM;DISEASE;
PA126;CYP2C9;GENE;PA445862;THYROTOXICOSIS;DISEASE;
PA126;CYP2C9;GENE;PA445876;TOBACCO USE DISORDER;DISEASE;
PA126;CYP2C9;GENE;PA445941;TUBERCULOSIS;DISEASE;PD
