Gene_ID;Gene;Entity1_type;Chemical_ID;Chemical;Entity2_type;LADME
PA27844;ERBB2;GENE;PA166190621;TRASTUZUMAB DERUXTECAN;CHEMICAL;
PA27844;ERBB2;GENE;PA166225061;SACITUZUMAB GOVITECAN;CHEMICAL;
PA27844;ERBB2;GENE;PA166225141;TUCATINIB;CHEMICAL;
PA27844;ERBB2;GENE;PA166235241;MARGETUXIMAB;CHEMICAL;
PA27844;ERBB2;GENE;PA166313327;ELACESTRANT;CHEMICAL;
PA27844;ERBB2;GENE;PA166328761;CAPIVASERTIB;CHEMICAL;
PA27844;ERBB2;GENE;PA166345562;ZOLBETUXIMAB;CHEMICAL;
PA27844;ERBB2;GENE;PA166400101;INAVOLISIB;CHEMICAL;
PA27844;ERBB2;GENE;PA166400141;ZANIDATAMAB;CHEMICAL;
PA27844;ERBB2;GENE;PA448771;CAPECITABINE;CHEMICAL;
PA27844;ERBB2;GENE;PA448803;CARBOPLATIN;CHEMICAL;PD
PA27844;ERBB2;GENE;PA449383;DOCETAXEL;CHEMICAL;PD
PA27844;ERBB2;GENE;PA451743;TRASTUZUMAB;CHEMICAL;PD
PA26498;CHRNE;GENE;PA164776637;ECULIZUMAB;CHEMICAL;
PA26498;CHRNE;GENE;PA166268781;EFGARTIGIMOD ALFA;CHEMICAL;
PA26498;CHRNE;GENE;PA166277861;RAVULIZUMAB;CHEMICAL;
PA26498;CHRNE;GENE;PA166313325;ROZANOLIXIZUMAB;CHEMICAL;
PA26498;CHRNE;GENE;PA166328901;ZILUCOPLAN;CHEMICAL;
PA116;ABCC2;GENE;PA10204;TENOFOVIR;CHEMICAL;PD
PA116;ABCC2;GENE;PA10251;ATAZANAVIR;CHEMICAL;PD
PA116;ABCC2;GENE;PA10804;IMATINIB;CHEMICAL;PD
PA116;ABCC2;GENE;PA10810;PEMETREXED;CHEMICAL;PD
PA116;ABCC2;GENE;PA128406956;FLUOROURACIL;CHEMICAL;PD
PA116;ABCC2;GENE;PA131285527;OXALIPLATIN;CHEMICAL;PD
PA116;ABCC2;GENE;PA132595336;CALCEIN;CHEMICAL;
PA116;ABCC2;GENE;PA133950441;HMG COA REDUCTASE INHIBITORS;CHEMICAL;
PA116;ABCC2;GENE;PA142650384;PITAVASTATIN;CHEMICAL;
PA116;ABCC2;GENE;PA143485705;ANTIEPILEPTICS;CHEMICAL;PD
PA116;ABCC2;GENE;PA146123005;TALINOLOL;CHEMICAL;
PA116;ABCC2;GENE;PA164712708;DRUGS FOR TREATMENT OF TUBERCULOSIS;CHEMICAL;PD
PA116;ABCC2;GENE;PA164713176;PLATINUM COMPOUNDS;CHEMICAL;
PA116;ABCC2;GENE;PA164748728;MYCOPHENOLIC ACID;CHEMICAL;
PA116;ABCC2;GENE;PA164760843;DEFERASIROX;CHEMICAL;PD
PA116;ABCC2;GENE;PA165110775;SN-38;CHEMICAL;
PA116;ABCC2;GENE;PA448500;ATORVASTATIN;CHEMICAL;PD
PA116;ABCC2;GENE;PA448785;CARBAMAZEPINE;CHEMICAL;PD
PA116;ABCC2;GENE;PA448866;CEFTRIAXONE;CHEMICAL;
PA116;ABCC2;GENE;PA449014;CISPLATIN;CHEMICAL;PD
PA116;ABCC2;GENE;PA449165;CYCLOPHOSPHAMIDE;CHEMICAL;PD
PA116;ABCC2;GENE;PA449383;DOCETAXEL;CHEMICAL;PD
PA116;ABCC2;GENE;PA449412;DOXORUBICIN;CHEMICAL;PD
PA116;ABCC2;GENE;PA449441;EFAVIRENZ;CHEMICAL;
PA116;ABCC2;GENE;PA449493;ERYTHROMYCIN;CHEMICAL;
PA116;ABCC2;GENE;PA450085;IRINOTECAN;CHEMICAL;PD
PA116;ABCC2;GENE;PA450163;LAMIVUDINE;CHEMICAL;
PA116;ABCC2;GENE;PA450198;LEUCOVORIN;CHEMICAL;PD
PA116;ABCC2;GENE;PA450264;LOPINAVIR;CHEMICAL;PD
PA116;ABCC2;GENE;PA450428;METHOTREXATE;CHEMICAL;PD
PA116;ABCC2;GENE;PA450566;MYCOPHENOLATE MOFETIL;CHEMICAL;
PA116;ABCC2;GENE;PA450732;OXCARBAZEPINE;CHEMICAL;PD
PA116;ABCC2;GENE;PA450761;PACLITAXEL;CHEMICAL;
PA116;ABCC2;GENE;PA451089;PRAVASTATIN;CHEMICAL;
PA116;ABCC2;GENE;PA451260;RITONAVIR;CHEMICAL;PD
PA116;ABCC2;GENE;PA451363;SIMVASTATIN;CHEMICAL;PD
PA116;ABCC2;GENE;PA451578;TACROLIMUS;CHEMICAL;
PA116;ABCC2;GENE;PA451581;TAMOXIFEN;CHEMICAL;PD
PA116;ABCC2;GENE;PA451879;VINCRISTINE;CHEMICAL;
PA116;ABCC2;GENE;PA7000;SORAFENIB;CHEMICAL;PD
PA29229;HDAC4;GENE;PA451609;TEMOZOLOMIDE;CHEMICAL;
PA24598;ADRB3;GENE;PA450688;OLANZAPINE;CHEMICAL;PD
PA162375713;ADO;GENE;PA449899;HYDROCHLOROTHIAZIDE;CHEMICAL;PD
PA128747823;TPH2;GENE;PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;
PA128747823;TPH2;GENE;PA449015;CITALOPRAM;CHEMICAL;PD
PA128747823;TPH2;GENE;PA450401;METHADONE;CHEMICAL;PD
PA128747823;TPH2;GENE;PA450522;MIRTAZAPINE;CHEMICAL;PD
PA128747823;TPH2;GENE;PA451866;VENLAFAXINE;CHEMICAL;PD
PA128747823;TPH2;GENE;PA452229;ANTIDEPRESSANTS;CHEMICAL;PD
PA25224;B4GALT2;GENE;PA449053;CLOPIDOGREL;CHEMICAL;PD
PA162384422;EFR3A;GENE;PA448497;ASPIRIN;CHEMICAL;PD
PA162384422;EFR3A;GENE;PA449053;CLOPIDOGREL;CHEMICAL;PD
PA28682;GIPR;GENE;PA450688;OLANZAPINE;CHEMICAL;PD
PA24702;ALDH5A1;GENE;PA166236501;SODIUM OXYBATE;CHEMICAL;
PA24702;ALDH5A1;GENE;PA450401;METHADONE;CHEMICAL;PD
PA24702;ALDH5A1;GENE;PA451846;VALPROIC ACID;CHEMICAL;
PA32840;OTC;GENE;PA166114316;SODIUM PHENYLBUTYRATE;CHEMICAL;
PA32840;OTC;GENE;PA166176020;SODIUM BENZOATE / SODIUM PHENYLACETATE;CHEMICAL;
PA32840;OTC;GENE;PA166268801;GLYCEROL PHENYLBUTYRATE;CHEMICAL;
PA32840;OTC;GENE;PA451846;VALPROIC ACID;CHEMICAL;
PA227;LDLR;GENE;PA134308647;ROSUVASTATIN;CHEMICAL;
PA227;LDLR;GENE;PA142650384;PITAVASTATIN;CHEMICAL;
PA227;LDLR;GENE;PA164749390;PEGINTERFERON ALFA-2A;CHEMICAL;PD
PA227;LDLR;GENE;PA164784024;PEGINTERFERON ALFA-2B;CHEMICAL;PD
PA227;LDLR;GENE;PA166114922;LOMITAPIDE;CHEMICAL;
PA227;LDLR;GENE;PA166114927;MIPOMERSEN;CHEMICAL;
PA227;LDLR;GENE;PA166159961;ALIROCUMAB;CHEMICAL;
PA227;LDLR;GENE;PA166222281;EVINACUMAB;CHEMICAL;
PA227;LDLR;GENE;PA166268802;INCLISIRAN;CHEMICAL;
PA227;LDLR;GENE;PA448499;ATENOLOL;CHEMICAL;PD
PA227;LDLR;GENE;PA448500;ATORVASTATIN;CHEMICAL;
PA227;LDLR;GENE;PA450272;LOVASTATIN;CHEMICAL;PD
PA227;LDLR;GENE;PA451089;PRAVASTATIN;CHEMICAL;PD
PA227;LDLR;GENE;PA451241;RIBAVIRIN;CHEMICAL;PD
PA33287;PICALM;GENE;PA10407;CALCIUM CHANNEL BLOCKERS;CHEMICAL;PD
PA142670872;SPSB2;GENE;PA450464;METHYLPHENIDATE;CHEMICAL;PD
PA376;ABCC3;GENE;PA449014;CISPLATIN;CHEMICAL;PD
PA376;ABCC3;GENE;PA449165;CYCLOPHOSPHAMIDE;CHEMICAL;PD
PA376;ABCC3;GENE;PA449412;DOXORUBICIN;CHEMICAL;PD
PA376;ABCC3;GENE;PA450163;LAMIVUDINE;CHEMICAL;
PA376;ABCC3;GENE;PA450428;METHOTREXATE;CHEMICAL;PD
PA376;ABCC3;GENE;PA450550;MORPHINE;CHEMICAL;
PA376;ABCC3;GENE;PA451879;VINCRISTINE;CHEMICAL;PD
PA33532;POR;GENE;PA10888;CLOBAZAM;CHEMICAL;
PA33532;POR;GENE;PA162372840;SUNITINIB;CHEMICAL;PD
PA33532;POR;GENE;PA448500;ATORVASTATIN;CHEMICAL;PD
PA33532;POR;GENE;PA449167;CYCLOSPORINE;CHEMICAL;
PA33532;POR;GENE;PA450496;MIDAZOLAM;CHEMICAL;
PA33532;POR;GENE;PA450626;NICOTINE;CHEMICAL;
PA33532;POR;GENE;PA451365;SIROLIMUS;CHEMICAL;
PA33532;POR;GENE;PA451578;TACROLIMUS;CHEMICAL;PD
PA33532;POR;GENE;PA451906;WARFARIN;CHEMICAL;PD
PA33532;POR;GENE;PA451954;ZIDOVUDINE;CHEMICAL;
PA134908144;C9ORF72;GENE;PA164713366;TUMOR NECROSIS FACTOR ALPHA (TNF-ALPHA) INHIBITORS;CHEMICAL;PD
PA33101;PCYT2;GENE;PA450163;LAMIVUDINE;CHEMICAL;
PA221;KCNMB1;GENE;PA451868;VERAPAMIL;CHEMICAL;PD
PA55;APOE;GENE;PA133950441;HMG COA REDUCTASE INHIBITORS;CHEMICAL;PD
PA55;APOE;GENE;PA164712505;ANTIVIRALS FOR TREATMENT OF HIV INFECTIONS, COMBINATIONS;CHEMICAL;PD
PA55;APOE;GENE;PA166313301;LECANEMAB;CHEMICAL;
PA55;APOE;GENE;PA166350685;ADUCANUMAB;CHEMICAL;
PA55;APOE;GENE;PA166400001;DONANEMAB;CHEMICAL;
PA55;APOE;GENE;PA448500;ATORVASTATIN;CHEMICAL;PD
PA55;APOE;GENE;PA449594;FENOFIBRATE;CHEMICAL;PD
PA55;APOE;GENE;PA449688;FLUVASTATIN;CHEMICAL;PD
PA55;APOE;GENE;PA451089;PRAVASTATIN;CHEMICAL;PD
PA55;APOE;GENE;PA451260;RITONAVIR;CHEMICAL;PD
PA55;APOE;GENE;PA451363;SIMVASTATIN;CHEMICAL;PD
PA55;APOE;GENE;PA451906;WARFARIN;CHEMICAL;PD
PA55;APOE;GENE;PA452632;ACENOCOUMAROL;CHEMICAL;PD
PA38055;NELFCD;GENE;PA151249535;DIURETICS;CHEMICAL;PD
PA38055;NELFCD;GENE;PA164713347;THIAZIDES, PLAIN;CHEMICAL;PD
PA38055;NELFCD;GENE;PA449899;HYDROCHLOROTHIAZIDE;CHEMICAL;PD
PA397;ABCC4;GENE;PA10005;ADEFOVIR DIPIVOXIL;CHEMICAL;
PA397;ABCC4;GENE;PA10204;TENOFOVIR;CHEMICAL;PD
PA397;ABCC4;GENE;PA10227;VALGANCICLOVIR;CHEMICAL;PD
PA397;ABCC4;GENE;PA10804;IMATINIB;CHEMICAL;PD
PA397;ABCC4;GENE;PA128406956;FLUOROURACIL;CHEMICAL;PD
PA397;ABCC4;GENE;PA164712563;BISPHOSPHONATES;CHEMICAL;PD
PA397;ABCC4;GENE;PA164774763;LATANOPROST;CHEMICAL;PD
PA397;ABCC4;GENE;PA165949771;GLUCARPIDASE;CHEMICAL;PD
PA397;ABCC4;GENE;PA166201941;TENOFOVIR DISOPROXIL FUMARATE;CHEMICAL;PD
PA397;ABCC4;GENE;PA166277182;17BETA-ESTRADIOL GLUCURONIDE;CHEMICAL;
PA397;ABCC4;GENE;PA448515;AZATHIOPRINE;CHEMICAL;PD
PA397;ABCC4;GENE;PA449014;CISPLATIN;CHEMICAL;PD
PA397;ABCC4;GENE;PA449165;CYCLOPHOSPHAMIDE;CHEMICAL;PD
PA397;ABCC4;GENE;PA449177;CYTARABINE;CHEMICAL;
PA397;ABCC4;GENE;PA449412;DOXORUBICIN;CHEMICAL;PD
PA397;ABCC4;GENE;PA449719;FUROSEMIDE;CHEMICAL;PD
PA397;ABCC4;GENE;PA450085;IRINOTECAN;CHEMICAL;PD
PA397;ABCC4;GENE;PA450163;LAMIVUDINE;CHEMICAL;
PA397;ABCC4;GENE;PA450379;MERCAPTOPURINE;CHEMICAL;PD
PA397;ABCC4;GENE;PA450428;METHOTREXATE;CHEMICAL;PD
PA397;ABCC4;GENE;PA451954;ZIDOVUDINE;CHEMICAL;
PA397;ABCC4;GENE;PA452634;PURINE ANALOGUES;CHEMICAL;
PA162398721;PARD3B;GENE;PA128406956;FLUOROURACIL;CHEMICAL;PD
PA162398721;PARD3B;GENE;PA131285527;OXALIPLATIN;CHEMICAL;PD
PA34011;PTPRC;GENE;PA10004;ADALIMUMAB;CHEMICAL;PD
PA34011;PTPRC;GENE;PA164713366;TUMOR NECROSIS FACTOR ALPHA (TNF-ALPHA) INHIBITORS;CHEMICAL;PD
PA34011;PTPRC;GENE;PA449515;ETANERCEPT;CHEMICAL;PD
PA34011;PTPRC;GENE;PA452639;INFLIXIMAB;CHEMICAL;PD
PA396;ABCC9;GENE;PA450546;MONTELUKAST;CHEMICAL;
PA24372;ABAT;GENE;PA451846;VALPROIC ACID;CHEMICAL;
PA155;ERCC1;GENE;PA10352;PALONOSETRON;CHEMICAL;PD
PA155;ERCC1;GENE;PA128406956;FLUOROURACIL;CHEMICAL;PD
PA155;ERCC1;GENE;PA131285527;OXALIPLATIN;CHEMICAL;PD
PA155;ERCC1;GENE;PA150595617;PLATINUM;CHEMICAL;PD
PA155;ERCC1;GENE;PA164713176;PLATINUM COMPOUNDS;CHEMICAL;PD
PA155;ERCC1;GENE;PA166122986;RADIOTHERAPY;CHEMICAL;PD
PA155;ERCC1;GENE;PA448645;BLEOMYCIN;CHEMICAL;PD
PA155;ERCC1;GENE;PA448771;CAPECITABINE;CHEMICAL;PD
PA155;ERCC1;GENE;PA448803;CARBOPLATIN;CHEMICAL;PD
PA155;ERCC1;GENE;PA449014;CISPLATIN;CHEMICAL;PD
PA155;ERCC1;GENE;PA449165;CYCLOPHOSPHAMIDE;CHEMICAL;PD
PA155;ERCC1;GENE;PA449383;DOCETAXEL;CHEMICAL;PD
PA155;ERCC1;GENE;PA449412;DOXORUBICIN;CHEMICAL;PD
PA155;ERCC1;GENE;PA449552;ETOPOSIDE;CHEMICAL;PD
PA155;ERCC1;GENE;PA449748;GEMCITABINE;CHEMICAL;PD
PA155;ERCC1;GENE;PA449809;GRANISETRON;CHEMICAL;PD
PA155;ERCC1;GENE;PA450198;LEUCOVORIN;CHEMICAL;PD
PA155;ERCC1;GENE;PA450761;PACLITAXEL;CHEMICAL;PD
PA155;ERCC1;GENE;PA451644;THALIDOMIDE;CHEMICAL;PD
PA27112;CYP2J2;GENE;PA164746058;ALBENDAZOLE;CHEMICAL;
PA27112;CYP2J2;GENE;PA164749056;DANAZOL;CHEMICAL;
PA27112;CYP2J2;GENE;PA448383;AMIODARONE;CHEMICAL;
PA27112;CYP2J2;GENE;PA448498;ASTEMIZOLE;CHEMICAL;
PA27112;CYP2J2;GENE;PA449293;DICLOFENAC;CHEMICAL;
PA27112;CYP2J2;GENE;PA450386;MESORIDAZINE;CHEMICAL;
PA27112;CYP2J2;GENE;PA450572;NABUMETONE;CHEMICAL;
PA27112;CYP2J2;GENE;PA451578;TACROLIMUS;CHEMICAL;PD
PA27112;CYP2J2;GENE;PA451619;TERFENADINE;CHEMICAL;
PA27112;CYP2J2;GENE;PA451666;THIORIDAZINE;CHEMICAL;
PA106;CDKN2A;GENE;PA166153469;PALBOCICLIB;CHEMICAL;
PA134915320;ARHGAP28;GENE;PA164760860;PEGASPARGASE;CHEMICAL;PD
PA27614;EDN1;GENE;PA130232992;BEVACIZUMAB;CHEMICAL;PD
PA27614;EDN1;GENE;PA162356187;MURAGLITAZAR;CHEMICAL;PD
PA27614;EDN1;GENE;PA448499;ATENOLOL;CHEMICAL;PD
PA27614;EDN1;GENE;PA450084;IRBESARTAN;CHEMICAL;PD
PA162404650;SPOPL;GENE;PA450688;OLANZAPINE;CHEMICAL;PD
PA31359;MYCN;GENE;PA166160060;DINUTUXIMAB;CHEMICAL;
PA31359;MYCN;GENE;PA166328781;EFLORNITHINE;CHEMICAL;
PA387;SLC28A1;GENE;PA130620651;ANTHRACYCLINES AND RELATED SUBSTANCES;CHEMICAL;PD
PA387;SLC28A1;GENE;PA449748;GEMCITABINE;CHEMICAL;PD
PA387;SLC28A1;GENE;PA451954;ZIDOVUDINE;CHEMICAL;
PA26099;CAT;GENE;PA130620651;ANTHRACYCLINES AND RELATED SUBSTANCES;CHEMICAL;PD
PA26099;CAT;GENE;PA448073;ETHANOL;CHEMICAL;
PA380;CACNA1H;GENE;PA448871;CELECOXIB;CHEMICAL;
PA30060;KCNK3;GENE;PA448765;CANDESARTAN;CHEMICAL;PD
PA30060;KCNK3;GENE;PA451341;SEVOFLURANE;CHEMICAL;
PA25107;ATP2B1;GENE;PA164712445;ANTIHYPERTENSIVES;CHEMICAL;PD
PA86;CACNA2D1;GENE;PA448871;CELECOXIB;CHEMICAL;
PA229;LEPR;GENE;PA166235341;SETMELANOTIDE;CHEMICAL;
PA229;LEPR;GENE;PA448500;ATORVASTATIN;CHEMICAL;PD
PA229;LEPR;GENE;PA451363;SIMVASTATIN;CHEMICAL;PD
PA229;LEPR;GENE;PA451846;VALPROIC ACID;CHEMICAL;PD
PA229;LEPR;GENE;PA452233;ANTIPSYCHOTICS;CHEMICAL;PD
PA134987118;STN1;GENE;PA448499;ATENOLOL;CHEMICAL;PD
PA134948212;ATAT1;GENE;PA448803;CARBOPLATIN;CHEMICAL;PD
PA134948212;ATAT1;GENE;PA449748;GEMCITABINE;CHEMICAL;PD
PA378;NR1I2;GENE;PA10034;BOSENTAN;CHEMICAL;
PA378;NR1I2;GENE;PA10049;CYPROTERONE;CHEMICAL;
PA378;NR1I2;GENE;PA10251;ATAZANAVIR;CHEMICAL;
PA378;NR1I2;GENE;PA10364;MEMANTINE;CHEMICAL;
PA378;NR1I2;GENE;PA10832;CORTICOSTEROIDS;CHEMICAL;
PA378;NR1I2;GENE;PA127840611;TROLEANDOMYCIN;CHEMICAL;
PA378;NR1I2;GENE;PA146096022;FORSKOLIN;CHEMICAL;
PA378;NR1I2;GENE;PA150481189;TAXANES;CHEMICAL;
PA378;NR1I2;GENE;PA162372840;SUNITINIB;CHEMICAL;PD
PA378;NR1I2;GENE;PA164743137;PERMETHRIN;CHEMICAL;
PA378;NR1I2;GENE;PA164745442;PENICILLIN V;CHEMICAL;
PA378;NR1I2;GENE;PA164745513;DEMECLOCYCLINE;CHEMICAL;
PA378;NR1I2;GENE;PA164746010;ECONAZOLE;CHEMICAL;
PA378;NR1I2;GENE;PA164746890;TEMSIROLIMUS;CHEMICAL;PD
PA378;NR1I2;GENE;PA164748964;SULFISOXAZOLE;CHEMICAL;
PA378;NR1I2;GENE;PA164749137;CEFACLOR;CHEMICAL;
PA378;NR1I2;GENE;PA164749649;DICLOXACILLIN;CHEMICAL;
PA378;NR1I2;GENE;PA164752250;BEXAROTENE;CHEMICAL;
PA378;NR1I2;GENE;PA164754742;OXICONAZOLE;CHEMICAL;
PA378;NR1I2;GENE;PA164781042;FLUCLOXACILLIN;CHEMICAL;PD
PA378;NR1I2;GENE;PA164783809;RIFAPENTINE;CHEMICAL;
PA378;NR1I2;GENE;PA164924486;ST. JOHN'S WORT;CHEMICAL;
PA378;NR1I2;GENE;PA165111696;ARTEMISININ;CHEMICAL;
PA378;NR1I2;GENE;PA166114961;DOLUTEGRAVIR;CHEMICAL;PD
PA378;NR1I2;GENE;PA448406;AMOXICILLIN;CHEMICAL;
PA378;NR1I2;GENE;PA448419;AMPICILLIN;CHEMICAL;
PA378;NR1I2;GENE;PA448500;ATORVASTATIN;CHEMICAL;
PA378;NR1I2;GENE;PA448681;BUDESONIDE;CHEMICAL;
PA378;NR1I2;GENE;PA448785;CARBAMAZEPINE;CHEMICAL;
PA378;NR1I2;GENE;PA448835;CEFADROXIL;CHEMICAL;
PA378;NR1I2;GENE;PA448868;CEFUROXIME;CHEMICAL;
PA378;NR1I2;GENE;PA448883;CEPHALEXIN;CHEMICAL;
PA378;NR1I2;GENE;PA448890;CEFRADINE;CHEMICAL;
PA378;NR1I2;GENE;PA448964;CHLORPROMAZINE;CHEMICAL;
PA378;NR1I2;GENE;PA449014;CISPLATIN;CHEMICAL;
PA378;NR1I2;GENE;PA449035;CLINDAMYCIN;CHEMICAL;
PA378;NR1I2;GENE;PA449057;CLOTRIMAZOLE;CHEMICAL;
PA378;NR1I2;GENE;PA449165;CYCLOPHOSPHAMIDE;CHEMICAL;
PA378;NR1I2;GENE;PA449167;CYCLOSPORINE;CHEMICAL;
PA378;NR1I2;GENE;PA449247;DEXAMETHASONE;CHEMICAL;
PA378;NR1I2;GENE;PA449307;DIETHYLSTILBESTROL;CHEMICAL;
PA378;NR1I2;GENE;PA449383;DOCETAXEL;CHEMICAL;PD
PA378;NR1I2;GENE;PA449412;DOXORUBICIN;CHEMICAL;
PA378;NR1I2;GENE;PA449415;DOXYCYCLINE;CHEMICAL;
PA378;NR1I2;GENE;PA449441;EFAVIRENZ;CHEMICAL;
PA378;NR1I2;GENE;PA449493;ERYTHROMYCIN;CHEMICAL;
PA378;NR1I2;GENE;PA449685;FLUTAMIDE;CHEMICAL;
PA378;NR1I2;GENE;PA449688;FLUVASTATIN;CHEMICAL;
PA378;NR1I2;GENE;PA449782;GLYBURIDE;CHEMICAL;
PA378;NR1I2;GENE;PA449814;GRISEOFULVIN;CHEMICAL;
PA378;NR1I2;GENE;PA449905;HYDROCORTISONE;CHEMICAL;
PA378;NR1I2;GENE;PA449964;IFOSFAMIDE;CHEMICAL;
PA378;NR1I2;GENE;PA450085;IRINOTECAN;CHEMICAL;
PA378;NR1I2;GENE;PA450112;ISONIAZID;CHEMICAL;
PA378;NR1I2;GENE;PA450131;ISRADIPINE;CHEMICAL;
PA378;NR1I2;GENE;PA450180;LANSOPRAZOLE;CHEMICAL;
PA378;NR1I2;GENE;PA450272;LOVASTATIN;CHEMICAL;
PA378;NR1I2;GENE;PA450395;METFORMIN;CHEMICAL;
PA378;NR1I2;GENE;PA450401;METHADONE;CHEMICAL;
PA378;NR1I2;GENE;PA450486;METYRAPONE;CHEMICAL;
PA378;NR1I2;GENE;PA450494;MICONAZOLE;CHEMICAL;
