Chemical_ID;Chemical;Entity1_type;Gene_ID;Gene;Entity2_type;LADME
PA450125;ISOSORBIDE DINITRATE;CHEMICAL;PA142672060;CYB5R2;GENE;
PA450125;ISOSORBIDE DINITRATE;CHEMICAL;PA27331;CYB5R3;GENE;
PA166190001;LUSPATERCEPT;CHEMICAL;PA29202;HBB;GENE;
PA448852;CEFOTAXIME;CHEMICAL;PA389;SLC22A8;GENE;
PA166223903;AVAPRITINIB;CHEMICAL;PA30128;KIT;GENE;
PA166223903;AVAPRITINIB;CHEMICAL;PA33147;PDGFRA;GENE;
PA153619853;DRONEDARONE;CHEMICAL;PA128;CYP2D6;GENE;
PA153619853;DRONEDARONE;CHEMICAL;PA130;CYP3A4;GENE;
PA166278301;GANAXOLONE;CHEMICAL;PA36218;CDKL5;GENE;
PA166163408;OMBITASVIR / PARITAPREVIR / RITONAVIR;CHEMICAL;PA134952671;IFNL3;GENE;
PA166163408;OMBITASVIR / PARITAPREVIR / RITONAVIR;CHEMICAL;PA166049147;IFNL4;GENE;
PA166314341;LAZERTINIB;CHEMICAL;PA182;GSTM1;GENE;
PA166314341;LAZERTINIB;CHEMICAL;PA7360;EGFR;GENE;
PA166163658;CLOZAPINE N-OXIDE;CHEMICAL;PA130;CYP3A4;GENE;
PA449396;DOPAMINE;CHEMICAL;PA24597;ADRA1D;GENE;
PA449396;DOPAMINE;CHEMICAL;PA33;ADRA1B;GENE;
PA449396;DOPAMINE;CHEMICAL;PA34;ADRA1A;GENE;
PA449396;DOPAMINE;CHEMICAL;PA35;ADRA2A;GENE;
PA449396;DOPAMINE;CHEMICAL;PA36;ADRA2B;GENE;
PA449396;DOPAMINE;CHEMICAL;PA37;ADRA2C;GENE;
PA449396;DOPAMINE;CHEMICAL;PA38;ADRB1;GENE;
PA166313325;ROZANOLIXIZUMAB;CHEMICAL;PA113;CHRNA3;GENE;
PA166313325;ROZANOLIXIZUMAB;CHEMICAL;PA114;CHRNA7;GENE;
PA166313325;ROZANOLIXIZUMAB;CHEMICAL;PA26487;CHRNA1;GENE;
PA166313325;ROZANOLIXIZUMAB;CHEMICAL;PA26490;CHRNA4;GENE;
PA166313325;ROZANOLIXIZUMAB;CHEMICAL;PA26491;CHRNA5;GENE;
PA166313325;ROZANOLIXIZUMAB;CHEMICAL;PA26492;CHRNA6;GENE;
PA166313325;ROZANOLIXIZUMAB;CHEMICAL;PA26494;CHRNB1;GENE;
PA166313325;ROZANOLIXIZUMAB;CHEMICAL;PA26498;CHRNE;GENE;
PA166313325;ROZANOLIXIZUMAB;CHEMICAL;PA31326;MUSK;GENE;
PA166182279;DACOMITINIB;CHEMICAL;PA7360;EGFR;GENE;
PA166153449;LATONDUINE A;CHEMICAL;PA109;CFTR;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA117;COMT;GENE;PD
PA449841;HALOPERIDOL;CHEMICAL;PA128;CYP2D6;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA131;CYP3A5;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA134872551;ANKK1;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA134900226;HTR3E;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA134937175;ZIC4;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA134943193;ARID5B;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA134947616;EIF2AK4;GENE;PD
PA449841;HALOPERIDOL;CHEMICAL;PA134955964;PLEKHA6;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA134972608;HOMER1;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA147;DRD1;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA162402276;RTKN2;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA194;HTR2C;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA212;KCNH2;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA24387;ABCB5;GENE;PD
PA449841;HALOPERIDOL;CHEMICAL;PA24665;AKAP13;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA267;ABCB1;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA27468;DPP6;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA27478;DRD2;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA27512;DTNBP1;GENE;PD
PA449841;HALOPERIDOL;CHEMICAL;PA27556;TOR1A;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA27832;EPM2A;GENE;PD
PA449841;HALOPERIDOL;CHEMICAL;PA27955;FAAH;GENE;PD
PA449841;HALOPERIDOL;CHEMICAL;PA28966;GRIA1;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA28976;GRIK4;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA28978;GRIN1;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA28979;GRIN2A;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA28980;GRIN2B;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA29537;HSPG2;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA29555;HTR3A;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA29816;IL1RN;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA30676;MC4R;GENE;PD
PA449841;HALOPERIDOL;CHEMICAL;PA311;SLC6A3;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA312;SLC6A4;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA31646;NKX6-1;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA31820;NTS;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA34372;RGS2;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA34896;RYR1;GENE;
PA449841;HALOPERIDOL;CHEMICAL;PA35911;SLC6A5;GENE;PD
PA449841;HALOPERIDOL;CHEMICAL;PA83;CACNA1C;GENE;
PA166178641;ANDROSTENEDIONE;CHEMICAL;PA124;CYP2C19;GENE;
PA451647;THEOPHYLLINE;CHEMICAL;PA130;CYP3A4;GENE;
PA451647;THEOPHYLLINE;CHEMICAL;PA27093;CYP1A2;GENE;
PA451258;RITODRINE;CHEMICAL;PA39;ADRB2;GENE;
PA451258;RITODRINE;CHEMICAL;PA83;CACNA1C;GENE;PD
PA166182718;IPILIMUMAB;CHEMICAL;PA134915280;CD274;GENE;
PA166182718;IPILIMUMAB;CHEMICAL;PA24719;ALK;GENE;
PA166182718;IPILIMUMAB;CHEMICAL;PA35055;HLA-A;GENE;
PA166182718;IPILIMUMAB;CHEMICAL;PA7360;EGFR;GENE;
PA449719;FUROSEMIDE;CHEMICAL;PA134865839;SLCO1B1;GENE;
PA449719;FUROSEMIDE;CHEMICAL;PA139;ACE;GENE;PD
PA449719;FUROSEMIDE;CHEMICAL;PA165752124;NPPA-AS1;GENE;PD
PA449719;FUROSEMIDE;CHEMICAL;PA176;GNB3;GENE;PD
PA449719;FUROSEMIDE;CHEMICAL;PA31;ADD1;GENE;PD
PA449719;FUROSEMIDE;CHEMICAL;PA321;SLC12A3;GENE;PD
PA449719;FUROSEMIDE;CHEMICAL;PA397;ABCC4;GENE;PD
PA166129446;SIMVASTATIN ACID;CHEMICAL;PA134865839;SLCO1B1;GENE;
PA450431;METHOXAMINE;CHEMICAL;PA24597;ADRA1D;GENE;
PA450431;METHOXAMINE;CHEMICAL;PA33;ADRA1B;GENE;
PA450431;METHOXAMINE;CHEMICAL;PA34;ADRA1A;GENE;
PA165946747;HYDROXYAMITRIPTYLINE;CHEMICAL;PA128;CYP2D6;GENE;
PA166151992;DAPOXETINE;CHEMICAL;PA128;CYP2D6;GENE;
PA449932;HYDROXYPROGESTERONE;CHEMICAL;PA124;CYP2C19;GENE;
PA166277821;SACROSIDASE;CHEMICAL;PA35758;SI;GENE;
PA164776853;ETORICOXIB;CHEMICAL;PA293;PTGS2;GENE;
PA166114414;COTININE;CHEMICAL;PA113;CHRNA3;GENE;
PA166114414;COTININE;CHEMICAL;PA121;CYP2A6;GENE;
PA166114414;COTININE;CHEMICAL;PA123;CYP2B6;GENE;
PA166114414;COTININE;CHEMICAL;PA17;NAT1;GENE;
PA166114414;COTININE;CHEMICAL;PA26491;CHRNA5;GENE;
PA166114414;COTININE;CHEMICAL;PA26496;CHRNB4;GENE;
PA166114414;COTININE;CHEMICAL;PA31945;OPRM1;GENE;
PA166114414;COTININE;CHEMICAL;PA33878;PSMA4;GENE;
PA166114414;COTININE;CHEMICAL;PA37186;UGT2B10;GENE;
PA164769031;LUMIRACOXIB;CHEMICAL;PA126;CYP2C9;GENE;
PA164769031;LUMIRACOXIB;CHEMICAL;PA293;PTGS2;GENE;
PA164769031;LUMIRACOXIB;CHEMICAL;PA35066;HLA-DQA1;GENE;
PA164769031;LUMIRACOXIB;CHEMICAL;PA35068;HLA-DQB1;GENE;
PA164769031;LUMIRACOXIB;CHEMICAL;PA35072;HLA-DRB1;GENE;
PA451539;SULFADIAZINE;CHEMICAL;PA130;CYP3A4;GENE;
PA451539;SULFADIAZINE;CHEMICAL;PA28469;G6PD;GENE;
PA164712887;MEASLES VACCINES;CHEMICAL;PA35056;HLA-B;GENE;
PA164712887;MEASLES VACCINES;CHEMICAL;PA35066;HLA-DQA1;GENE;
PA164712887;MEASLES VACCINES;CHEMICAL;PA35072;HLA-DRB1;GENE;
PA164712887;MEASLES VACCINES;CHEMICAL;PA36551;TLR3;GENE;PD
PA166128167;DACLATASVIR;CHEMICAL;PA134952671;IFNL3;GENE;PD
PA166128167;DACLATASVIR;CHEMICAL;PA166049147;IFNL4;GENE;PD
PA146096022;FORSKOLIN;CHEMICAL;PA378;NR1I2;GENE;
PA451616;TERBUTALINE;CHEMICAL;PA39;ADRB2;GENE;PD
PA450475;METOCLOPRAMIDE;CHEMICAL;PA128;CYP2D6;GENE;
PA450475;METOCLOPRAMIDE;CHEMICAL;PA134904907;CYB5R4;GENE;
PA450475;METOCLOPRAMIDE;CHEMICAL;PA134979668;CYB5R1;GENE;
PA450475;METOCLOPRAMIDE;CHEMICAL;PA142672060;CYB5R2;GENE;
PA450475;METOCLOPRAMIDE;CHEMICAL;PA27331;CYB5R3;GENE;
PA450475;METOCLOPRAMIDE;CHEMICAL;PA28469;G6PD;GENE;
PA450651;NORETHINDRONE;CHEMICAL;PA124;CYP2C19;GENE;
PA166128166;LEDIPASVIR;CHEMICAL;PA134952671;IFNL3;GENE;PD
PA166128166;LEDIPASVIR;CHEMICAL;PA166049147;IFNL4;GENE;PD
PA166178659;ARACHIDONIC ACID;CHEMICAL;PA27121;CYP4F2;GENE;
PA164745551;QUINACRINE;CHEMICAL;PA28469;G6PD;GENE;
PA450133;IVERMECTIN;CHEMICAL;PA267;ABCB1;GENE;
PA164712732;ENZYME INHIBITORS;CHEMICAL;PA27091;CYP19A1;GENE;
PA450348;MEFLOQUINE;CHEMICAL;PA267;ABCB1;GENE;
PA450348;MEFLOQUINE;CHEMICAL;PA28469;G6PD;GENE;PD
PA448422;AMPRENAVIR;CHEMICAL;PA134865839;SLCO1B1;GENE;
PA448422;AMPRENAVIR;CHEMICAL;PA267;ABCB1;GENE;
PA448068;SALBUTAMOL;CHEMICAL;PA134914705;COL22A1;GENE;PD
PA448068;SALBUTAMOL;CHEMICAL;PA26609;CLOCK;GENE;PD
PA448068;SALBUTAMOL;CHEMICAL;PA26875;CRHR2;GENE;PD
PA448068;SALBUTAMOL;CHEMICAL;PA27519;DUSP1;GENE;PD
PA448068;SALBUTAMOL;CHEMICAL;PA39;ADRB2;GENE;PD
PA165817939;PYRILAMINE;CHEMICAL;PA212;KCNH2;GENE;
PA166182763;EMAPALUMAB;CHEMICAL;PA134919958;UNC13D;GENE;
PA166182763;EMAPALUMAB;CHEMICAL;PA25361;XIAP;GENE;
PA166182763;EMAPALUMAB;CHEMICAL;PA33732;PRF1;GENE;
PA166182763;EMAPALUMAB;CHEMICAL;PA34117;RAB27A;GENE;
PA166182763;EMAPALUMAB;CHEMICAL;PA35728;SH2D1A;GENE;
PA166182763;EMAPALUMAB;CHEMICAL;PA36229;STX11;GENE;
PA166182763;EMAPALUMAB;CHEMICAL;PA36242;STXBP2;GENE;
PA450192;LEFLUNOMIDE;CHEMICAL;PA124;CYP2C19;GENE;
PA450192;LEFLUNOMIDE;CHEMICAL;PA156;ESR1;GENE;PD
PA450192;LEFLUNOMIDE;CHEMICAL;PA27093;CYP1A2;GENE;PD
PA450192;LEFLUNOMIDE;CHEMICAL;PA27327;DHODH;GENE;PD
PA450966;PINDOLOL;CHEMICAL;PA180;GRK5;GENE;
PA450966;PINDOLOL;CHEMICAL;PA28941;GRK4;GENE;
PA450966;PINDOLOL;CHEMICAL;PA37;ADRA2C;GENE;
PA450966;PINDOLOL;CHEMICAL;PA38;ADRB1;GENE;
PA450966;PINDOLOL;CHEMICAL;PA39;ADRB2;GENE;
PA166246281;ACETAMINOPHEN / CAFFEINE / DIHYDROCODEINE;CHEMICAL;PA128;CYP2D6;GENE;
PA10235;ZOLEDRONATE;CHEMICAL;PA125;CYP2C8;GENE;PD
PA10235;ZOLEDRONATE;CHEMICAL;PA142671157;PPCDC;GENE;PD
PA10235;ZOLEDRONATE;CHEMICAL;PA28075;FDPS;GENE;PD
PA449367;DIPYRIDAMOLE;CHEMICAL;PA267;ABCB1;GENE;
PA449655;FLUDARABINE;CHEMICAL;PA123;CYP2B6;GENE;
PA449655;FLUDARABINE;CHEMICAL;PA129;CYP2E1;GENE;PD
PA449655;FLUDARABINE;CHEMICAL;PA134865839;SLCO1B1;GENE;PD
PA449655;FLUDARABINE;CHEMICAL;PA35602;CXCL12;GENE;PD
PA449655;FLUDARABINE;CHEMICAL;PA36249;SULT2B1;GENE;PD
PA449655;FLUDARABINE;CHEMICAL;PA38478;SLC22A12;GENE;PD
PA166179872;ENCORAFENIB;CHEMICAL;PA25408;BRAF;GENE;
PA166179872;ENCORAFENIB;CHEMICAL;PA29444;HRAS;GENE;
PA166179872;ENCORAFENIB;CHEMICAL;PA30196;KRAS;GENE;
PA166179872;ENCORAFENIB;CHEMICAL;PA31768;NRAS;GENE;
PA449409;DOXEPIN;CHEMICAL;PA124;CYP2C19;GENE;
PA449409;DOXEPIN;CHEMICAL;PA126;CYP2C9;GENE;PD
PA449409;DOXEPIN;CHEMICAL;PA128;CYP2D6;GENE;
PA449409;DOXEPIN;CHEMICAL;PA130;CYP3A4;GENE;
PA449409;DOXEPIN;CHEMICAL;PA212;KCNH2;GENE;
PA449409;DOXEPIN;CHEMICAL;PA27093;CYP1A2;GENE;
PA165291492;PAZOPANIB;CHEMICAL;PA125;CYP2C8;GENE;
PA165291492;PAZOPANIB;CHEMICAL;PA130;CYP3A4;GENE;
PA165291492;PAZOPANIB;CHEMICAL;PA29841;CXCL8;GENE;
PA165291492;PAZOPANIB;CHEMICAL;PA30086;KDR;GENE;PD
PA165291492;PAZOPANIB;CHEMICAL;PA35056;HLA-B;GENE;
PA165291492;PAZOPANIB;CHEMICAL;PA390;ABCG2;GENE;
PA165291492;PAZOPANIB;CHEMICAL;PA420;UGT1A1;GENE;PD
PA166225084;SELPERCATINIB;CHEMICAL;PA34335;RET;GENE;
PA164754994;S-ADENOSYLMETHIONINE;CHEMICAL;PA356;TPMT;GENE;
PA448926;CHLORAMBUCIL;CHEMICAL;PA35602;CXCL12;GENE;PD
PA166186245;ACETALDEHYDE;CHEMICAL;PA24570;ADH1A;GENE;
PA166186245;ACETALDEHYDE;CHEMICAL;PA24571;ADH1B;GENE;
PA166186245;ACETALDEHYDE;CHEMICAL;PA24696;ALDH2;GENE;
PA166186245;ACETALDEHYDE;CHEMICAL;PA33242;PGM1;GENE;
PA164771231;ETONOGESTREL;CHEMICAL;PA122;CYP3A7;GENE;
PA166152935;IVACAFTOR / LUMACAFTOR;CHEMICAL;PA109;CFTR;GENE;PD
PA451581;TAMOXIFEN;CHEMICAL;PA116;ABCC2;GENE;PD
PA451581;TAMOXIFEN;CHEMICAL;PA123;CYP2B6;GENE;
PA451581;TAMOXIFEN;CHEMICAL;PA124;CYP2C19;GENE;PD
PA451581;TAMOXIFEN;CHEMICAL;PA126;CYP2C9;GENE;
PA451581;TAMOXIFEN;CHEMICAL;PA128;CYP2D6;GENE;PD
PA451581;TAMOXIFEN;CHEMICAL;PA130;CYP3A4;GENE;PD
PA451581;TAMOXIFEN;CHEMICAL;PA131;CYP3A5;GENE;
PA451581;TAMOXIFEN;CHEMICAL;PA134894421;E2F7;GENE;PD
PA451581;TAMOXIFEN;CHEMICAL;PA134899373;LRMDA;GENE;PD
PA451581;TAMOXIFEN;CHEMICAL;PA134903681;ZNF423;GENE;PD
PA451581;TAMOXIFEN;CHEMICAL;PA156;ESR1;GENE;PD
PA451581;TAMOXIFEN;CHEMICAL;PA157;F2;GENE;
PA451581;TAMOXIFEN;CHEMICAL;PA159;F5;GENE;
PA451581;TAMOXIFEN;CHEMICAL;PA165;FMO1;GENE;
PA451581;TAMOXIFEN;CHEMICAL;PA166;FMO3;GENE;
PA451581;TAMOXIFEN;CHEMICAL;PA25411;BRCA1;GENE;
PA451581;TAMOXIFEN;CHEMICAL;PA266;PGR;GENE;
PA451581;TAMOXIFEN;CHEMICAL;PA267;ABCB1;GENE;PD
PA451581;TAMOXIFEN;CHEMICAL;PA27091;CYP19A1;GENE;PD
PA451581;TAMOXIFEN;CHEMICAL;PA27093;CYP1A2;GENE;
PA451581;TAMOXIFEN;CHEMICAL;PA27886;ESR2;GENE;PD
PA451581;TAMOXIFEN;CHEMICAL;PA31470;NCOA1;GENE;PD
PA451581;TAMOXIFEN;CHEMICAL;PA34862;RRAS2;GENE;PD
PA451581;TAMOXIFEN;CHEMICAL;PA37179;UGT1A4;GENE;
PA451581;TAMOXIFEN;CHEMICAL;PA37188;UGT2B15;GENE;
PA451581;TAMOXIFEN;CHEMICAL;PA378;NR1I2;GENE;
PA451581;TAMOXIFEN;CHEMICAL;PA94;CCNA2;GENE;
PA164745398;BUTORPHANOL;CHEMICAL;PA117;COMT;GENE;PD
PA164745398;BUTORPHANOL;CHEMICAL;PA31943;OPRK1;GENE;PD
PA449550;ETODOLAC;CHEMICAL;PA293;PTGS2;GENE;
PA166251381;CABOTEGRAVIR / RILPIVIRINE;CHEMICAL;PA35056;HLA-B;GENE;
PA166251381;CABOTEGRAVIR / RILPIVIRINE;CHEMICAL;PA420;UGT1A1;GENE;
PA164712372;ANGIOTENSIN II ANTAGONISTS;CHEMICAL;PA254;NOS3;GENE;PD
PA164712372;ANGIOTENSIN II ANTAGONISTS;CHEMICAL;PA38;ADRB1;GENE;PD
PA164712372;ANGIOTENSIN II ANTAGONISTS;CHEMICAL;PA39;ADRB2;GENE;PD
PA449690;FLUVOXAMINE;CHEMICAL;PA117;COMT;GENE;PD
PA449690;FLUVOXAMINE;CHEMICAL;PA124;CYP2C19;GENE;
PA449690;FLUVOXAMINE;CHEMICAL;PA128;CYP2D6;GENE;
PA449690;FLUVOXAMINE;CHEMICAL;PA162395090;MDGA2;GENE;PD
PA449690;FLUVOXAMINE;CHEMICAL;PA192;HTR1A;GENE;PD
PA449690;FLUVOXAMINE;CHEMICAL;PA193;HTR2A;GENE;PD
PA449690;FLUVOXAMINE;CHEMICAL;PA267;ABCB1;GENE;PD
PA449690;FLUVOXAMINE;CHEMICAL;PA27093;CYP1A2;GENE;
PA449690;FLUVOXAMINE;CHEMICAL;PA28115;FGF2;GENE;PD
PA449690;FLUVOXAMINE;CHEMICAL;PA312;SLC6A4;GENE;PD
PA449964;IFOSFAMIDE;CHEMICAL;PA123;CYP2B6;GENE;
PA449964;IFOSFAMIDE;CHEMICAL;PA378;NR1I2;GENE;
PA451131;PROPAFENONE;CHEMICAL;PA128;CYP2D6;GENE;PD
PA451131;PROPAFENONE;CHEMICAL;PA130;CYP3A4;GENE;
PA451131;PROPAFENONE;CHEMICAL;PA212;KCNH2;GENE;
PA451131;PROPAFENONE;CHEMICAL;PA267;ABCB1;GENE;
PA451131;PROPAFENONE;CHEMICAL;PA304;SCN5A;GENE;
PA164754825;BOTULINUM TOXIN TYPE A;CHEMICAL;PA26029;CALCA;GENE;PD
PA164754825;BOTULINUM TOXIN TYPE A;CHEMICAL;PA37329;TRPV1;GENE;PD
PA166184497;PARACETAMOL, COMBINATIONS EXCL. PSYCHOLEPTICS (VICKS MEDINAIT SIRUP);CHEMICAL;PA128;CYP2D6;GENE;
PA166184497;PARACETAMOL, COMBINATIONS EXCL. PSYCHOLEPTICS (VICKS MEDINAIT SIRUP);CHEMICAL;PA28469;G6PD;GENE;
PA164748224;VORINOSTAT;CHEMICAL;PA26455;CHD4;GENE;
PA164748224;VORINOSTAT;CHEMICAL;PA37189;UGT2B17;GENE;
PA166175998;DEXTROMETHORPHAN / QUINIDINE;CHEMICAL;PA128;CYP2D6;GENE;
PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PA117;COMT;GENE;PD
PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PA128;CYP2D6;GENE;PD
PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PA128747823;TPH2;GENE;
PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PA192;HTR1A;GENE;PD
PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PA193;HTR2A;GENE;PD
PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PA267;ABCB1;GENE;PD
PA164713257;SELECTIVE SEROTONIN REUPTAKE INHIBITORS;CHEMICAL;PA27478;DRD2;GENE;PD
