Disease_ID;Disease;Entity1_type;Gene_ID;Gene;Entity2_type;LADME
PA444552;HYPERTENSION;DISEASE;PA162409337;XIRP2;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA164718067;CLNK;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA165660191;C5ORF56;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA18;NAT2;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA213;KCNJ1;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA221;KCNMB1;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA227;LDLR;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA242;NR3C2;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA245;MTHFR;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA24544;ADAMTS18;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA24693;ALDH1A2;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA25107;ATP2B1;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA254;NOS3;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA25435;BST1;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA256;NPPA;GENE;
PA444552;HYPERTENSION;DISEASE;PA267;ABCB1;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA26946;CSK;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA271;PLA2G4A;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA27112;CYP2J2;GENE;
PA444552;HYPERTENSION;DISEASE;PA27118;CYP4A11;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA28016;FBN1;GENE;
PA444552;HYPERTENSION;DISEASE;PA28537;GALNT2;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA288;PTGER3;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA28941;GRK4;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA29091;H19;GENE;
PA444552;HYPERTENSION;DISEASE;PA292;PTGIS;GENE;
PA444552;HYPERTENSION;DISEASE;PA293;PTGS2;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA29338;HMGCS2;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA29524;HSP90AB1;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA296;RELA;GENE;
PA444552;HYPERTENSION;DISEASE;PA30041;KCNIP1;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA30060;KCNK3;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA30086;KDR;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA30864;MME;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA30886;MMP3;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA31;ADD1;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA31534;NEDD4L;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA31581;NFAT5;GENE;
PA444552;HYPERTENSION;DISEASE;PA31699;NPC1L1;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA31709;NPHS1;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA31751;NR1H3;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA31826;NUCB2;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA31844;NUMA1;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA33122;PDE1A;GENE;
PA444552;HYPERTENSION;DISEASE;PA33126;PDE3A;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA33287;PICALM;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA33389;PLCD3;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA33391;PLCE1;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA33705;PRCP;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA33752;PRKAG2;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA33759;PRKCA;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA33765;PRKCE;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA33782;WNK1;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA33812;PROX1;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA34;ADRA1A;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA34013;PTPRD;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA34372;RGS2;GENE;
PA444552;HYPERTENSION;DISEASE;PA35068;HLA-DQB1;GENE;
PA444552;HYPERTENSION;DISEASE;PA35072;HLA-DRB1;GENE;
PA444552;HYPERTENSION;DISEASE;PA35099;HOXC@;GENE;
PA444552;HYPERTENSION;DISEASE;PA35811;SLC14A2;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA35840;SLCO2A1;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA35895;SLC4A1;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA36360;TBX2;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA36394;TCF7L2;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA370;KCNAB1;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA37276;VASP;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA37288;VCL;GENE;
PA444552;HYPERTENSION;DISEASE;PA37302;VEGFA;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA38;ADRB1;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA38055;NELFCD;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA39;ADRB2;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA42;AGT;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA425;ACE2;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA43;AGTR1;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA50;APOB;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA7360;EGFR;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA80;BDKRB2;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA83;CACNA1C;GENE;PD
PA444552;HYPERTENSION;DISEASE;PA85;CACNA1S;GENE;
PA166124372;TREATMENT MODIFICATION;DISEASE;PA130;CYP3A4;GENE;
PA166124372;TREATMENT MODIFICATION;DISEASE;PA145;DPYD;GENE;
PA443532;BONE DISEASES;DISEASE;PA31331;MVK;GENE;PD
PA166183774;SHORT QT SYNDROME 1;DISEASE;PA212;KCNH2;GENE;PD
PA443933;DOWN SYNDROME;DISEASE;PA245;MTHFR;GENE;
PA446199;OVERDOSE;DISEASE;PA30699;MCOLN1;GENE;PD
PA446199;OVERDOSE;DISEASE;PA31945;OPRM1;GENE;PD
PA444756;LYMPHOID LEUKEMIA;DISEASE;PA116;ABCC2;GENE;
PA444756;LYMPHOID LEUKEMIA;DISEASE;PA28469;G6PD;GENE;
PA166123366;EVENT-FREE SURVIVAL;DISEASE;PA124;CYP2C19;GENE;
PA166123366;EVENT-FREE SURVIVAL;DISEASE;PA128;CYP2D6;GENE;
PA166123366;EVENT-FREE SURVIVAL;DISEASE;PA356;TPMT;GENE;
PA166123366;EVENT-FREE SURVIVAL;DISEASE;PA37188;UGT2B15;GENE;
PA166123755;DELAYED GRAFT FUNCTION;DISEASE;PA125;CYP2C8;GENE;
PA166123755;DELAYED GRAFT FUNCTION;DISEASE;PA131;CYP3A5;GENE;
PA443343;ANEMIA, HEMOLYTIC;DISEASE;PA28469;G6PD;GENE;PD
PA443797;CORONARY DISEASE;DISEASE;PA120;CRP;GENE;PD
PA443797;CORONARY DISEASE;DISEASE;PA124;CYP2C19;GENE;
PA443797;CORONARY DISEASE;DISEASE;PA134865839;SLCO1B1;GENE;PD
PA443797;CORONARY DISEASE;DISEASE;PA134906523;CES1P1;GENE;PD
PA443797;CORONARY DISEASE;DISEASE;PA134920075;KIF6;GENE;PD
PA443797;CORONARY DISEASE;DISEASE;PA134971947;P2RY12;GENE;PD
PA443797;CORONARY DISEASE;DISEASE;PA139;ACE;GENE;PD
PA443797;CORONARY DISEASE;DISEASE;PA204;ITGA2;GENE;PD
PA443797;CORONARY DISEASE;DISEASE;PA227;LDLR;GENE;
PA443797;CORONARY DISEASE;DISEASE;PA229;LEPR;GENE;PD
PA443797;CORONARY DISEASE;DISEASE;PA24373;ABCA1;GENE;PD
PA443797;CORONARY DISEASE;DISEASE;PA24536;ADAMTS1;GENE;PD
PA443797;CORONARY DISEASE;DISEASE;PA254;NOS3;GENE;PD
PA443797;CORONARY DISEASE;DISEASE;PA256;NPPA;GENE;PD
PA443797;CORONARY DISEASE;DISEASE;PA267;ABCB1;GENE;PD
PA443797;CORONARY DISEASE;DISEASE;PA280;PPARA;GENE;PD
PA443797;CORONARY DISEASE;DISEASE;PA28075;FDPS;GENE;PD
PA443797;CORONARY DISEASE;DISEASE;PA293;PTGS2;GENE;
PA443797;CORONARY DISEASE;DISEASE;PA55;APOE;GENE;PD
PA166224501;EOSINOPHILIC ESOPHAGITIS;DISEASE;PA124;CYP2C19;GENE;
PA166224501;EOSINOPHILIC ESOPHAGITIS;DISEASE;PA339;STAT6;GENE;PD
PA162373099;SKELETAL DYSPLASIA;DISEASE;PA28129;FGFR3;GENE;
PA444083;ERYTHEMA;DISEASE;PA117;COMT;GENE;PD
PA444083;ERYTHEMA;DISEASE;PA31945;OPRM1;GENE;PD
PA445019;MYOCARDIAL INFARCTION;DISEASE;PA124;CYP2C19;GENE;PD
PA445019;MYOCARDIAL INFARCTION;DISEASE;PA131;CYP3A5;GENE;PD
PA445019;MYOCARDIAL INFARCTION;DISEASE;PA134920075;KIF6;GENE;PD
PA445019;MYOCARDIAL INFARCTION;DISEASE;PA139;ACE;GENE;
PA445019;MYOCARDIAL INFARCTION;DISEASE;PA162399233;PEAR1;GENE;PD
PA445019;MYOCARDIAL INFARCTION;DISEASE;PA176;GNB3;GENE;PD
PA445019;MYOCARDIAL INFARCTION;DISEASE;PA204;ITGA2;GENE;PD
PA445019;MYOCARDIAL INFARCTION;DISEASE;PA205;ITGB3;GENE;PD
PA445019;MYOCARDIAL INFARCTION;DISEASE;PA24346;PTGS1;GENE;PD
PA445019;MYOCARDIAL INFARCTION;DISEASE;PA245;MTHFR;GENE;PD
PA445019;MYOCARDIAL INFARCTION;DISEASE;PA24536;ADAMTS1;GENE;PD
PA445019;MYOCARDIAL INFARCTION;DISEASE;PA267;ABCB1;GENE;PD
PA445019;MYOCARDIAL INFARCTION;DISEASE;PA27093;CYP1A2;GENE;PD
PA445019;MYOCARDIAL INFARCTION;DISEASE;PA27112;CYP2J2;GENE;
PA445019;MYOCARDIAL INFARCTION;DISEASE;PA28590;GATM;GENE;PD
PA445019;MYOCARDIAL INFARCTION;DISEASE;PA292;PTGIS;GENE;
PA445019;MYOCARDIAL INFARCTION;DISEASE;PA293;PTGS2;GENE;
PA445019;MYOCARDIAL INFARCTION;DISEASE;PA31;ADD1;GENE;PD
PA445019;MYOCARDIAL INFARCTION;DISEASE;PA32868;P2RY1;GENE;PD
PA445019;MYOCARDIAL INFARCTION;DISEASE;PA33529;PON1;GENE;PD
PA445019;MYOCARDIAL INFARCTION;DISEASE;PA37301;VDR;GENE;
PA445019;MYOCARDIAL INFARCTION;DISEASE;PA38;ADRB1;GENE;
PA445019;MYOCARDIAL INFARCTION;DISEASE;PA390;ABCG2;GENE;PD
PA445019;MYOCARDIAL INFARCTION;DISEASE;PA55;APOE;GENE;PD
PA443842;DEATH;DISEASE;PA117;COMT;GENE;PD
PA443842;DEATH;DISEASE;PA124;CYP2C19;GENE;
PA443842;DEATH;DISEASE;PA128;CYP2D6;GENE;
PA443842;DEATH;DISEASE;PA139;ACE;GENE;
PA443842;DEATH;DISEASE;PA145;DPYD;GENE;
PA443842;DEATH;DISEASE;PA182;GSTM1;GENE;
PA443842;DEATH;DISEASE;PA267;ABCB1;GENE;PD
PA443842;DEATH;DISEASE;PA27478;DRD2;GENE;PD
PA443842;DEATH;DISEASE;PA311;SLC6A3;GENE;
PA443842;DEATH;DISEASE;PA356;TPMT;GENE;
PA443842;DEATH;DISEASE;PA37;ADRA2C;GENE;PD
PA443842;DEATH;DISEASE;PA397;ABCC4;GENE;
PA443842;DEATH;DISEASE;PA420;UGT1A1;GENE;
PA166123431;HEART VALVE REPLACEMENT;DISEASE;PA126;CYP2C9;GENE;PD
PA166123431;HEART VALVE REPLACEMENT;DISEASE;PA27092;CYP1A1;GENE;PD
PA166123431;HEART VALVE REPLACEMENT;DISEASE;PA27445;DNMT3A;GENE;PD
PA166123431;HEART VALVE REPLACEMENT;DISEASE;PA38345;STX1B;GENE;PD
PA166123431;HEART VALVE REPLACEMENT;DISEASE;PA420;UGT1A1;GENE;PD
PA166123431;HEART VALVE REPLACEMENT;DISEASE;PA50;APOB;GENE;PD
PA444257;GASTROINTESTINAL NEOPLASMS;DISEASE;PA128;CYP2D6;GENE;
PA444257;GASTROINTESTINAL NEOPLASMS;DISEASE;PA131;CYP3A5;GENE;
PA444257;GASTROINTESTINAL NEOPLASMS;DISEASE;PA145;DPYD;GENE;
PA444257;GASTROINTESTINAL NEOPLASMS;DISEASE;PA29028;GSTP1;GENE;PD
PA444257;GASTROINTESTINAL NEOPLASMS;DISEASE;PA359;TYMS;GENE;
PA444257;GASTROINTESTINAL NEOPLASMS;DISEASE;PA420;UGT1A1;GENE;
PA445218;PANCREATIC NEOPLASMS;DISEASE;PA124;CYP2C19;GENE;
PA445218;PANCREATIC NEOPLASMS;DISEASE;PA137;DCK;GENE;PD
PA445218;PANCREATIC NEOPLASMS;DISEASE;PA138;DCTD;GENE;PD
PA445218;PANCREATIC NEOPLASMS;DISEASE;PA142670927;SH2D5;GENE;PD
PA445218;PANCREATIC NEOPLASMS;DISEASE;PA142671588;KLC3;GENE;PD
PA445218;PANCREATIC NEOPLASMS;DISEASE;PA145;DPYD;GENE;PD
PA445218;PANCREATIC NEOPLASMS;DISEASE;PA154;SLC29A1;GENE;PD
PA445218;PANCREATIC NEOPLASMS;DISEASE;PA155;ERCC1;GENE;PD
PA445218;PANCREATIC NEOPLASMS;DISEASE;PA162382539;CMPK1;GENE;PD
PA445218;PANCREATIC NEOPLASMS;DISEASE;PA25411;BRCA1;GENE;
PA445218;PANCREATIC NEOPLASMS;DISEASE;PA26270;CDC5L;GENE;PD
PA445218;PANCREATIC NEOPLASMS;DISEASE;PA27848;ERCC2;GENE;PD
PA445218;PANCREATIC NEOPLASMS;DISEASE;PA27886;ESR2;GENE;PD
PA445218;PANCREATIC NEOPLASMS;DISEASE;PA33523;TENT4A;GENE;PD
PA445218;PANCREATIC NEOPLASMS;DISEASE;PA35020;SERPINA3;GENE;PD
PA445218;PANCREATIC NEOPLASMS;DISEASE;PA359;TYMS;GENE;PD
PA445218;PANCREATIC NEOPLASMS;DISEASE;PA387;SLC28A1;GENE;PD
PA445218;PANCREATIC NEOPLASMS;DISEASE;PA420;UGT1A1;GENE;PD
PA445218;PANCREATIC NEOPLASMS;DISEASE;PA7360;EGFR;GENE;PD
PA445218;PANCREATIC NEOPLASMS;DISEASE;PA98;CDA;GENE;PD
PA444607;INAPPROPRIATE ADH SYNDROME;DISEASE;PA128;CYP2D6;GENE;
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA117;COMT;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA123;CYP2B6;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA128;CYP2D6;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA130;CYP3A4;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA131;CYP3A5;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA134872551;ANKK1;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA134920655;ADAMTSL2;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA134929862;CNIH3;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA134944654;EXOC4;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA134953249;BDNF-AS;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA134960779;ADGRV1;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA134962723;ZSCAN25;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA134991624;NECTIN4;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA136;DBH;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA162378956;LKAAEAR1;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA162397475;NGF;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA162410599;ZNF804A;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA176;GNB3;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA24702;ALDH5A1;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA26681;CNR1;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA267;ABCB1;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA27093;CYP1A2;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA27103;CYP2A7P1;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA27114;CYP3A;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA27478;DRD2;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA27479;DRD3;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA28497;GABRB3;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA28529;GAL;GENE;
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA312;SLC6A4;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA31818;NTRK2;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA31891;BDNF;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA31942;OPRD1;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA31943;OPRK1;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA31944;OPRL1;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA31945;OPRM1;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA33163;PDYN;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA34370;RGS19;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA351;TH;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA35543;CCL11;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA361;UGT2B7;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA36302;TACR1;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA36304;TACR3;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA38302;TXNRD2;GENE;PD
PA445043;OPIOID-RELATED DISORDERS;DISEASE;PA60;ARRB2;GENE;PD
PA445042;NARCOLEPSY;DISEASE;PA117;COMT;GENE;
PA445042;NARCOLEPSY;DISEASE;PA267;ABCB1;GENE;PD
PA445042;NARCOLEPSY;DISEASE;PA35068;HLA-DQB1;GENE;PD
PA444239;GALACTORRHEA;DISEASE;PA128;CYP2D6;GENE;
PA445850;THROMBOSIS;DISEASE;PA124;CYP2C19;GENE;
PA445850;THROMBOSIS;DISEASE;PA159;F5;GENE;PD
PA445850;THROMBOSIS;DISEASE;PA31744;NQO1;GENE;PD
PA445850;THROMBOSIS;DISEASE;PA327;SLC19A1;GENE;
PA445850;THROMBOSIS;DISEASE;PA33529;PON1;GENE;PD
PA166128121;CARDIOTOXICITY;DISEASE;PA124;CYP2C19;GENE;
PA166128121;CARDIOTOXICITY;DISEASE;PA128;CYP2D6;GENE;PD
PA166128121;CARDIOTOXICITY;DISEASE;PA162401542;RNF144A;GENE;
PA166128121;CARDIOTOXICITY;DISEASE;PA29028;GSTP1;GENE;PD
PA166128121;CARDIOTOXICITY;DISEASE;PA34227;RARG;GENE;PD
PA166128121;CARDIOTOXICITY;DISEASE;PA426;SLC28A3;GENE;PD
PA166114942;FAMILIAL HYPERCHOLESTEROLEMIA;DISEASE;PA134865839;SLCO1B1;GENE;PD
PA166114942;FAMILIAL HYPERCHOLESTEROLEMIA;DISEASE;PA227;LDLR;GENE;
PA166114942;FAMILIAL HYPERCHOLESTEROLEMIA;DISEASE;PA33532;POR;GENE;PD
PA166114942;FAMILIAL HYPERCHOLESTEROLEMIA;DISEASE;PA38617;PCSK9;GENE;
PA166114942;FAMILIAL HYPERCHOLESTEROLEMIA;DISEASE;PA50;APOB;GENE;
PA447127;LEWY BODY DISEASE;DISEASE;PA25294;BCHE;GENE;PD
PA447247;LIVER TRANSPLANTATION;DISEASE;PA125;CYP2C8;GENE;
PA447247;LIVER TRANSPLANTATION;DISEASE;PA130;CYP3A4;GENE;PD
PA447247;LIVER TRANSPLANTATION;DISEASE;PA131;CYP3A5;GENE;PD
PA447247;LIVER TRANSPLANTATION;DISEASE;PA134962723;ZSCAN25;GENE;
PA447247;LIVER TRANSPLANTATION;DISEASE;PA134979206;SUMO4;GENE;
PA447247;LIVER TRANSPLANTATION;DISEASE;PA25921;C6;GENE;
PA447247;LIVER TRANSPLANTATION;DISEASE;PA267;ABCB1;GENE;PD
PA447247;LIVER TRANSPLANTATION;DISEASE;PA29778;IL10;GENE;PD
PA447247;LIVER TRANSPLANTATION;DISEASE;PA29973;ITPA;GENE;PD
PA447247;LIVER TRANSPLANTATION;DISEASE;PA356;TPMT;GENE;
PA447247;LIVER TRANSPLANTATION;DISEASE;PA36394;TCF7L2;GENE;PD
PA445555;RHEUMATIC DISEASES;DISEASE;PA356;TPMT;GENE;
PA446654;CHOLANGIOCARCINOMA;DISEASE;PA164722590;MIR21;GENE;
PA443450;ASTHMA;DISEASE;PA124;CYP2C19;GENE;
PA443450;ASTHMA;DISEASE;PA125;CYP2C8;GENE;
PA443450;ASTHMA;DISEASE;PA134879499;PRORP;GENE;PD
PA443450;ASTHMA;DISEASE;PA134881141;TAAR6;GENE;PD
PA443450;ASTHMA;DISEASE;PA134914705;COL22A1;GENE;PD
PA443450;ASTHMA;DISEASE;PA134991391;CEP68;GENE;PD
PA443450;ASTHMA;DISEASE;PA139;ACE;GENE;PD
PA443450;ASTHMA;DISEASE;PA142671750;FSIP1;GENE;PD
PA443450;ASTHMA;DISEASE;PA162;F13A1;GENE;
PA443450;ASTHMA;DISEASE;PA162390303;GSDMB;GENE;
PA443450;ASTHMA;DISEASE;PA165432528;RAP1GAP2;GENE;
PA443450;ASTHMA;DISEASE;PA165478762;DCAF4;GENE;PD
PA443450;ASTHMA;DISEASE;PA18;NAT2;GENE;PD
PA443450;ASTHMA;DISEASE;PA182;GSTM1;GENE;
PA443450;ASTHMA;DISEASE;PA183;GSTT1;GENE;
PA443450;ASTHMA;DISEASE;PA197;IL4;GENE;PD
PA443450;ASTHMA;DISEASE;PA235;LTC4S;GENE;PD
PA443450;ASTHMA;DISEASE;PA24345;LTA4H;GENE;PD
PA443450;ASTHMA;DISEASE;PA244;ABCC1;GENE;PD
PA443450;ASTHMA;DISEASE;PA24571;ADH1B;GENE;
PA443450;ASTHMA;DISEASE;PA24583;ADORA1;GENE;PD
PA443450;ASTHMA;DISEASE;PA24947;ARG1;GENE;PD
PA443450;ASTHMA;DISEASE;PA25985;CA10;GENE;PD
PA443450;ASTHMA;DISEASE;PA26609;CLOCK;GENE;PD
PA443450;ASTHMA;DISEASE;PA26874;CRHR1;GENE;PD
PA443450;ASTHMA;DISEASE;PA26875;CRHR2;GENE;PD
PA443450;ASTHMA;DISEASE;PA27519;DUSP1;GENE;PD
PA443450;ASTHMA;DISEASE;PA27974;FADS2;GENE;
PA443450;ASTHMA;DISEASE;PA28057;FCER1G;GENE;PD
PA443450;ASTHMA;DISEASE;PA281;PPARG;GENE;PD
PA443450;ASTHMA;DISEASE;PA287;PTGER2;GENE;PD
PA443450;ASTHMA;DISEASE;PA288;PTGER3;GENE;PD
PA443450;ASTHMA;DISEASE;PA291;PTGIR;GENE;PD
PA443450;ASTHMA;DISEASE;PA29226;HDAC1;GENE;PD
PA443450;ASTHMA;DISEASE;PA29486;HSD3B1;GENE;PD
PA443450;ASTHMA;DISEASE;PA29832;IL4R;GENE;PD
PA443450;ASTHMA;DISEASE;PA29915;IRF1;GENE;
PA443450;ASTHMA;DISEASE;PA30852;MLLT3;GENE;PD
PA443450;ASTHMA;DISEASE;PA31435;NAGA;GENE;
